Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  
Mi'Cario Stanley,ILB,North Fort Myers,FL,6'1'',245,73.0,South Florida,,103,,,2016,South Florida,559,183,
Andre Polk,ATH,Fort Myers,FL,6'2'',190,73.0,South Florida,,,,,2016,South Florida, None, None,
Michael Hampton,CB,Tampa,FL,6'1'',173,72.0,South Florida,,107,,,2016,South Florida,599,194,
Armunz Mathews,ATH,Tallahassee,FL,5'11'',191,72.0,South Florida,,615,,,2016,South Florida,,,
Michael Wiggs,OG,Lakeland,FL,6'3'',282,72.0,South Florida,,115,,,2016,South Florida,637,211,
Logan MacDonald,OT,Davenport,FL,6'4'',255,71.0,South Florida,,,,,2016,South Florida,706,,
Chris Oladokun,QB-DT,Tampa,FL,6'2'',173,68.0,South Florida,,,,,2016,South Florida, None, None,
Trevon Sands,RB,Miami,FL,5'11'',170,,South Florida,,,,,2016,South Florida,,,
Mackenro Alexander,S,Immokalee,FL,5'11'',200,,South Florida,,NR,,,2016,South Florida,,,
Glen Bethel,OT,Miami,FL,6'6'',300,,South Florida,,,,,2016,South Florida,,,
Kevaughn Dingle,WR,Miami,FL,6'1'',188,80,South Florida,,69,,,2017,South Florida,195,66,
Josh Allen,DE,Hawthorne,CA,6'4'',260,79,South Florida,,11,,,2017,South Florida, None, None,
Naytron Culpepper,CB,Hialeah,FL,6'1'',160,78,South Florida,,46,,,2017,South Florida,,,
Jean Marcellus,OG,Tampa,FL,6'4'',295,78,South Florida,,44,,,2017,South Florida,,,
Nick Roberts,CB,Orange Park,FL,5'10'',169,78,South Florida,,51,,,2017,South Florida,,,
Randall St. Felix,WR,Miami,FL,6'1'',191,77,South Florida,,139,,,2017,South Florida,,,
Jernard Phillips,WR,Miami,FL,5'8'',152,77,South Florida,,148,,,2017,South Florida,382,139,
Keirston Johnson,OLB,Jacksonville,FL,6'1'',210,76,South Florida,,61,,,2017,South Florida,,,
Bentlee Sanders,CB,Tampa,FL,5'9'',164,75,South Florida,,75,,,2017,South Florida,466,171,
Demetris Harris,OG,Jacksonville,FL,6'3'',278,74,South Florida,,,,,2017,South Florida, None, None,
Frederick Lloyd,WR,Tifton,GA,6'4'',210,74,South Florida,,184,,,2017,South Florida,541,119,
Jeremiah Stafford,OG,Citra,FL,6'3'',294,73,South Florida,,,,,2017,South Florida, None, None,
Kelvin Kegler,DT,Madison,FL,6'1'',259,72,South Florida,,93,,,2017,South Florida,608,235,
Jabreel Stephens,DE,Seffner,FL,6'4'',224,70,South Florida,,133,,,2017,South Florida,693,267,
Darrien Grant,DE,Bradenton,FL,6'3'',220,70,South Florida,,137,,,2017,South Florida,,,
Kelvin Pinkney,DT,Sarasota,FL,6'2'',287,70,South Florida,,,,,2017,South Florida, None, None,
Mekhi Lapointe,S,Seffner,FL,6'0'',179,68,South Florida,,124,,,2017,South Florida,,,
Donelle Thomas,,Miami,FL,5'10'',181,0,South Florida,,,,,2017,South Florida, None, None,
Duran Bell Jr.,ATH,Tampa,FL,5'10'',171,0,South Florida,,,,,2017,South Florida, None, None,
Zion Roland,WR,Saint Petersburg,FL,5'11'',184,80,South Florida,,85,,,2018,South Florida,218,84,
Stacy Kirby,DE,Orlando,FL,6'3'',244,79,South Florida,,44,,,2018,South Florida,230,89,
Sebastian Sainterling,OG,Hollywood,FL,Chaminade-Madonna College Preparatory School,6'3'',347,78,South Florida,31,,,2018,South Florida,,,
Rashawn Yates,DE,Port Saint Lucie,FL,Treasure Coast High School,6'2'',247,78,South Florida,337,,,2018,South Florida,,,
Trey Laing,DE,Tallahassee,FL,Leon High School,6'2'',221,77,South Florida,,,,2018,South Florida,,,
Trent Schneider,K,Sydney,AUS,6'0'',190,77,South Florida,,10,,,2018,South Florida,,,
John Waller,DT,Saint Petersburg,FL,Admiral Farragut Academy,6'3'',317,77,South Florida,403,,,2018,South Florida,,,
Ethan Watson,OT,Pensacola,FL,Pensacola Catholic High School,6'5'',300,76,South Florida,90,,,2018,South Florida,433,160,
Donovan Jennings,OT,Tampa,FL,Gaither High School,6'5'',315,76,South Florida,93,,,2018,South Florida,,,
Brad Cecil,OG,Jacksonville,FL,Bartram Trail High School,6'4'',260,76,South Florida,65,,,2018,South Florida,,,
Octavious Battle,QB-PP,Atlanta,GA,Carver High School,6'3'',180,76,South Florida,50,,,2018,South Florida,469,100,
Christopher Carter Jr.,TE-H,Homestead,FL,Keys Gate Charter School,6'2'',220,75,South Florida,24,,,2018,South Florida,491,185,
Jajuan Cherry,CB,Okeechobee,FL,Okeechobee High School,5'8'',166,75,South Florida,,,,2018,South Florida,5,198,
Keyon Helton,S,Pensacola,FL,West Florida Tech High School,6'0'',190,74,South Florida,,,,2018,South Florida,,,
Dwayne Boyles,DE,Miami,FL,Miami Central High School,6'3'',225,74,South Florida,123,,,2018,South Florida,,,
Tyrone Barber,DT,Venice,FL,Venice High School,6'3'',280,74,South Florida,105,,,2018,South Florida,580,221,
Jordan McCloud,QB-DT,Tampa,FL,Sickles High School,5'11'',173,74,South Florida,32,,,2018,South Florida,,,
Eugene Bowman IV,CB,Jacksonville,FL,Robert E. Lee Senior High School,6'0'',170,72,South Florida,131,,,2018,South Florida,664,263,
Vincent Davis,S,Jacksonville,FL,Robert E. Lee Senior High School,5'9'',170,72,South Florida,99,,,2018,South Florida,669,265,
Terrence Horne Jr.,WR,Miramar,FL,Miramar High School,5'8'',161,,South Florida,,,,2018,South Florida,,,
Armon Williams,DE,Lilburn,GA,Parkview High School,6'2'',255,,South Florida,,,,2018,South Florida, None, None,
Johnny Ford,RB,Coral Gables,FL,Coral Gables High School,5'5'',166,,South Florida,NR,,,2018,South Florida,,,
Antonio Grier,OLB,Atlanta,GA,Benjamin E. Mays High School,6'0'',202,,South Florida,NR,,,2018,South Florida,,,
Brian Norris,RB,Chiefland,FL,Chiefland High School,6'1'',220,,South Florida,NR,,,2018,South Florida,NR,NR,
Devin Leacock,DT,Port Charlotte,FL,Port Charlotte High School,6'2'',270,,South Florida,,,,2018,South Florida, None, None,
Randal Copeland,ILB,Havana,FL,East Gadsden High School,6'2'',225,,South Florida,,,,2018,South Florida, None, None,
Matthew McDuffie,OT,Glen Saint Mary,FL,6'4'',310,,78,South Florida,63,,,2019,South Florida,306,97,
Raymond Collins,OT,Largo,FL,6'4'',289,,78,South Florida,64,,,2019,South Florida,,,
Jahquez Evans,QB-DT,Atlanta,GA,6'1'',180,,77,South Florida,28,,,2019,South Florida,438,97,
McArthur Burnett,CB (JC),Pahokee,FL,5'10'',185,,77,South Florida,9,,,2019,South Florida,,,
Kelley Joiner,RB,Groveland,FL,5'9'',180,,76,South Florida,508,,,2019,South Florida,80,168,
Demaurez Bellamy,OLB,Daytona Beach,FL,5'10'',203,,75,South Florida,105,,,2019,South Florida,539,179,
Dustyn Hall,OG,Punta Gorda,FL,6'4'',313,,75,South Florida,74,,,2019,South Florida,,,
Leonard Parker,RB,Tampa Bay,FL,5'11'',190,,75,South Florida,,,,2019,South Florida, 92,574,
Josh Berry,RB,Davenport,FL,5'11'',185,,74,South Florida,104,,,2019,South Florida,626,204,
Thomas Nance,TE-HE,Eagle Lake,FL,6'3'',235,,74,South Florida,33,,,2019,South Florida,,,
Tyrik Jones,OLB (JC),Fort Lauderdale,FL,6'2'',235,,74,South Florida,10,,,2019,South Florida, NR, NR,
Logan Berryhill,WR,Kingsland,GA,6'3'',185,,74,South Florida,172,,,2019,South Florida,648,135,
Darius Williams,ILB,Miami,FL,6'0'',227,,74,South Florida,43,,,2019,South Florida,,,
