Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank ,Year,Team,State_rank,School, Reg_rank, State_rank,State_rank  ,University ,School  
Russell Gage,ATH,Baton Rouge,LA,6'0'',175,4,79,,57,,,2014,LSU,,LSU,,,,,
Cameron Gamble,K,Flower Mound,TX,5'11'',185,4,78,,6,,,2014,LSU,,LSU,,,,,
Darrel Williams,RB,Marrero,LA,5'11'',203,4,77,,77,,,2014,LSU,,LSU,,,,,
Jevonte Domond,OT (JC),Glendale,AZ,6'5'',305,3,none,,NR,NR,,2014,LSU,NR,LSU,,,,,
Colin Jeter,TE-Y (JC),Longview,TX,6'5'',240,3,none,,,,,2014,LSU,,LSU,,,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,,None ,,,,,2016,LSU,,,,,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,,None ,,,,,2016,LSU,,,,,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,None ,,,,,2016,LSU,,,,,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,,None ,,,,,2016,LSU,,,,,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,None ,,,,,2016,LSU,,,,,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,,None ,,,,,2016,LSU,,,,,,,
Steve Jones,CB,Kansas City,MO,,,,None ,,,,,2016,LSU,,,,,,,
Chad Gross,K,Suwanee,GA,,,,None ,,,,,2016,LSU,,,,,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,None ,,,,,2016,LSU,,,,,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,,None ,,,,,2016,LSU,,,,,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,,,,,,,2016,LSU,,,,,,,
Austin Deculus,OT,Cypress,TX,6'6'',331,89,LSU,,5,3,,2017,LSU,3,,,,,,
Kary Vincent,CB,Port Arthur,TX,5'11'',172,87,LSU,,2,,,2017,LSU,,,,,,,
Tyler Shelvin,DT,Crowley,LA,6'3'',376,87,LSU,,3,,,2017,LSU,,,,,,,
JaCoby Stevens,ATH,Murfreesboro,TN,6'2'',200,87,LSU,,3,,,2017,LSU,,,,,,,
K'Lavon Chaisson,DE,Houston,TX,6'4'',217,86,LSU,,4,23,,2017,LSU,10,,,,,,
Grant Delpit,S,Bradenton,FL,6'4'',189,86,LSU,,8,39,,2017,LSU,3,,,,,,
Todd Harris,S,Plaquemine,LA,6'0'',185,84,LSU,,8,,,2017,LSU,,,,,,,
Edward Ingram,OG,DeSoto,TX,6'4'',327,84,LSU,,4,45,,2017,LSU,4,,,,,,
Myles Brennan,QB-PP,Bay Saint Louis,MS,6'4'',181,84,LSU,,5,60,,2017,LSU,5,,,,,,
Lowell Narcisse,QB-DT,Saint James,LA,6'3'',224,83,LSU,,3,,,2017,LSU,,,,,,,
Jacob Phillips,ILB,Nashville,TN,6'4'',228,83,LSU,,27,,,2017,LSU,,,,,,,
Mannie Netherly,WR,Crosby,TX,6'2'',183,82,LSU,,7,95,,2017,LSU,25,,,,,,
Tyler Taylor,ILB,Sugar Hill,GA,6'3'',230,81,LSU,,19,101,,2017,LSU,10,,,,,,
Clyde Edwards-Helaire,RB,Baton Rouge,LA,5'8'',201,81,LSU,,22,,,2017,LSU,,,,,,,
Saahdiq Charles,OG,Madison,MS,6'5'',320,80,LSU,,30,,,2017,LSU,,,,,,,
Patrick Queen,RB,Livonia,LA,6'1'',209,80,LSU,,40,,,2017,LSU,,,,,,,
Neil Farrell,DT,Mobile,AL,6'3'',295,79,LSU,,48,249,,2017,LSU,23,,,,,,
Aaron Moffitt,DE,New Iberia,LA,6'4'',250,79,LSU,,51,256,,2017,LSU,28,,,,,,
Justin Thomas,DE,Spanish Fort,AL,6'4'',255,79,LSU,,50,,,2017,LSU,,,,,,,
Seth Stewart,OT,Point Pleasant,WV,6'8'',320,78,LSU,,110,,,2017,LSU,,,,,,,
Racey McMath,WR,New Orleans,LA,6'3'',207,78,LSU,,61,325,,2017,LSU,29,,,,,,
Jontre Kirklin,ATH,Lutcher,LA,6'0'',170,78,LSU,,3,453,,2017,LSU,100,,,,,,
Tory Carter,FB,Leesburg,GA,6'1'',255,75,LSU,,NR,,,2017,LSU,,,,,,,
Justin Jefferson,WR,Destrehan,LA,6'2'',180,NR,LSU,,,,,2017,LSU,,,,,,,
Thaddeus Moss,TE-H,Charlotte,NC,6'4'',240,TR,LSU,,,,,2017,LSU,,,,,,,
TE,Y,Marietta,GA,6'6'',255,,91,LSU,,,,2020,LSU,,,,,,,
OLB,Sugar Hill,GA,Lanier High School,6'4'',225,,86,LSU,,,,2020,LSU,,,,,,,
WR,New Iberia,LA,Westgate High School,5'10'',180,,86,LSU,,,,2020,LSU,,,,,,,
DT,Baton Rouge,LA,University Laboratory School,6'4'',290,,86,LSU,,,,2020,LSU,,,,,,,
CB,Bradenton,FL,IMG Academy,6'2'',190,,86,LSU,,,,2020,LSU,,,,,,,
OLB,Woodbridge,VA,Woodbridge High School,6'2'',215,,85,LSU,,,,2020,LSU,,,,,,,
OT,Fort Lauderdale,FL,Saint Thomas Aquinas High School,6'5'',295,,84,LSU,,,,2020,LSU,,,,,,,
DE,Marietta,GA,Marietta High School,6'3'',209,,84,LSU,,,,2020,LSU,,,,,,,
QB-PP,Watkinsville,GA,Oconee County High School,6'5'',214,,84,LSU,,,,2020,LSU,,,,,,,
SB,Baltimore,MD,St. Frances Academy,6'2'',190,,83,LSU,,,,2020,LSU,,,,,,,
RB,Lancaster,TX,Lancaster High School,5'11'',190,,83,LSU,,,,2020,LSU,,,,,,,
OLB,Houston,TX,Cypress Creek High School,6'1'',200,,82,LSU,,,,2020,LSU,,,,,,,
DT,Alexandria,LA,Alexandria Senior High School,6'2'',331,,82,LSU,,,,2020,LSU,,,,,,,
DT,Trussville,AL,Hewitt-Trussville High School,6'4'',265,,81,LSU,,,,2020,LSU,,,,,,,
OT,Fort Lauderdale,FL,Saint Thomas Aquinas High School,6'4'',310,,80,LSU,,,,2020,LSU,,,,,,,
ATH,Spring,TX,Klein Oak High School,6'2'',180,,80,LSU,,,,2020,LSU,,,,,,,
QB-PP,Ponchatoula,LA,Ponchatoula High School,6'6'',240,,80,LSU,,,,2020,LSU,,,,,,,
WR,Magnolia,MS,South Pike High School,6'1'',175,,79,LSU,,,,2020,LSU,,,,,,,
DE (JC),Edmonds,WA,Garden City Community College,6'6'',260,,79,LSU,,,,2020,LSU,,,,,,,
OG,Olive Branch,MS,Olive Branch High School,6'3'',320,,79,LSU,,,,2020,LSU,,,,,,,
WR,Metairie,LA,Archbishop Rummel School For Boys,6'0'',172,,79,LSU,,,,2020,LSU,,,,,,,
TE-H,Grand Junction,CO,Central High School,6'5'',225,,78,LSU,,,,2020,LSU,,,,,,,
Harold Perkins,OLB,Cypress,TX,6'3'',210,93.0,None  ,,1,,,2022,LSU,,,1,4,,,
Will Campbell,OT,Monroe,LA,6'6'',275,90.0,None  ,,2,,,2022,LSU,,,8,1,,,
Walker Howard,QB,Lafayette,LA,6'1'',185,87.0,None  ,,3,,,2022,LSU,,,,,,,
Laterrance Welch,CB,Lafayette,LA,6'1'',180,84.0,None  ,,10,,,2022,LSU,,,42,7,,,
Emery Jones,OG,Baton Rouge,LA,6'4'',330,83.0,None  ,,3,,,2022,LSU,,,67,10,,,
DeMario Tolan,OLB,Orlando,FL,6'2'',205,82.0,None  ,,21,,,2022,LSU,,,85,25,,,
Quency Wiggins,DE,Baton Rouge,LA,6'6'',260,82.0,None  ,,19,,,2022,LSU,,,87,13,,,
Tygee Hill,DT,New Orleans,LA,6'2'',280,80.0,None  ,,25,,,2022,LSU,,,129,17,,,
Jordan Allen,CB,Lafayette,LA,6'0'',185,80.0,None  ,,39,,,2022,LSU,,,154,19,,,
Bo Bordelon,OT,New Orleans,LA,6'5'',250,79.0,None  ,,43,,,2022,LSU,,,,,,,
Landon Ibieta,WR,Mandeville,LA,5'10'',180,79.0,None  ,,92,,,2022,LSU,,,249,26,,,
Jaelyn Davis-Robinson,CB,Waxahachie,TX,6'0'',180,78.0,None  ,,65,,,2022,LSU,,,129,99,,,
Fitzgerald West,OG,Lafayette,LA,6'2'',320,78.0,None  ,,27,,,2022,LSU,,,,,,,
Mason Taylor,TE,Fort Lauderdale,FL,6'4'',230,77.0,None  ,,28,,,2022,LSU,,,,,,,
Nathan Dilbert,K,Hartland,MI,5'11'',190,75.0,None  ,,3,,,2022,LSU,,,121,28,,,
Miles Frazier,OT,Camden,NJ,6'5'',305,,None  ,,,,,2022,LSU,,,,,,,
Jay Bramlett,K,Tuscaloosa,AL,6'2'',175,,None  ,,,,,2022,LSU,,, None, None,,,
West Weeks,OLB,Watkinsville,GA,6'2'',210,,None  ,,,,,2022,LSU,,, None, None,,,
Mekhi Williams-Garner,S,Mesquite,TX,6'1'',190,,None  ,,,,,2022,LSU,,,,,,,
Greg Brooks,CB,Harvey,LA,5'11'',185,,None  ,,,,,2022,LSU,,, None, None,,,
Joe Foucha,S,New Orleans,LA,5'11'',200,,None  ,,,,,2022,LSU,,, None, None,,,
Noah Cain,RB,Bradenton,FL,5'10'',210,,None  ,,,,,2022,LSU,,, None, None,,,
Kyren Lacy,WR,Thibodaux,LA,6'1'',210,,None  ,,,,,2022,LSU,,,,,,,
Slade Roy,LS,Charlotte,NC,6'2'',215,,None  ,,,,,2022,LSU,,, None, None,,,
Tre'mond Shorts,OG,Hampton,GA,6'4'',325,,None  ,,,,,2022,LSU,,, None, None,,,
Mekhi Wingo,DT,Saint Louis,MO,6'0'',285,,None  ,,,,,2022,LSU,,, None, None,,,
Jarrick Bernard,CB,Shreveport,LA,6'1'',200,,,,,,,2022,LSU,,,,,,,
Javien Toviano,CB,Arlington,TX,6'1'',185,87.0,,,3,,,2023,LSU,,,7,6,,,
Da'Shawn Womack,DE,Baltimore,MD,6'4'',255,86.0,,,3,,,2023,LSU,,,25,3,,,
Zalance Heard,OT,Monroe,LA,6'5'',300,86.0,,,10,,,2023,LSU,,,31,14,,,
Jalen Brown,WR,Miami,FL,6'1'',170,86.0,,,12,,,2023,LSU,,,37,6,,,
Shelton Sampson Jr.,WR,Baton Rouge,LA,6'4'',185,85.0,,,121,,,2023,LSU,,,9,1,,,
Jaxon Howard,DE,New Hope,MN,6'4'',245,84.0,,,3,,,2023,LSU,,,30,5,,,
Mac Markway,TE,Saint Louis,MO,,250,84.0,,,11,,,2023,LSU,,,35,25,,,
Ryan Yaites,S,Denton,TX,6'0'',175,83.0,,,,,,2023,LSU,,,76,7,,,
Kaleb Jackson,RB,Baton Rouge,LA,5'11'',200,83.0,,,10,,,2023,LSU,,,89,9,,,
Trey Holly,RB,Farmerville,LA,5'8'',180,82.0,,,18,,,2023,LSU,,,101,17,,,
D.J. Chester,OT,McDonough,GA,6'5'',300,82.0,,,199,,,2023,LSU,,,105,10,,,
Rickie Collins,QB,Baton Rouge,LA,6'3'',185,82.0,,,18,,,2023,LSU,,,,,,,
Whit Weeks,OLB,Watkinsville,GA,6'2'',195,81.0,,,17,,,2023,LSU,,,132,12,,,
Kylin Jackson,S,Zachary,LA,6'2'',200,81.0,,,12,,,2023,LSU,,,,,,,
Ka'Morreun Pimpton,TE,Fort Worth,TX,6'5'',215,81.0,,,39,,,2023,LSU,,,,,,,
