Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,Grade  , Reg_rank, State_rank
Trey Harrell,WR,Metairie,LA,6'0'',182,Kent State,,,,,2016,Kent State,,,,,,,
Zach Corrigall,OG,Akron,OH,6'3'',260,Kent State,,,,,2016,Kent State,,,,,,,
Jamal Parker,CB,Cherry Hill,NJ,5'8'',163,Kent State,,NR,,,2016,Kent State,,,,,,,
Kion Holder,S,Miami,FL,5'10'',185,Kent State,,,,,2016,Kent State,,,,,,,
Justin Rankin,RB,Elyria,OH,5'10'',195,Kent State,,,,,2016,Kent State,,,,,,,
Justin Agner,QB,Woodstock,GA,6'0'',195,Kent State,,NR,,,2016,Kent State,,NR,NR,,,,
Mandela Lawrence-Burke,S,Steubenville,OH,6'1'',185,Kent State,,,,,2016,Kent State,,,,,,,
Dalton Hicks,OLB,Delphos,OH,6'1'',225,Kent State,,,,,2016,Kent State,,,,,,,
Theo Majette,DE,West Bloomfield,MI,6'0'',255,Kent State,,,,,2016,Kent State,,,,,,,
Matt Bell,DT,Suwanee,GA,6'1'',255,Kent State,,,,,2016,Kent State,,,,,,,
Adam Gregoire,OT,Massillon,OH,6'5'',275,Kent State,,,,,2016,Kent State,,,,,,,
Bryce Childress,WR,Saint Louis,MO,5'9'',155,Kent State,,, None, None,2019,Kent State,78,,,,,,
Joachim Bangda,RB,Baltimore,MD,5'10'',228,Kent State,,, None, None,2019,Kent State,76,,,,,,
Collin Schlee,QB-P,Linganore-Bartonsville,MD,6'3'',179,Kent State,,60,,,2019,Kent State,70,,,,,,
Dean Clark,,Massillon,OH,,6'0'',Not Rated,Kent State,,,,2019,Kent State,196,,,,,,
Dante Cephas,WR,Pittsburgh,PA,6'0'',180,Kent State,,, None, None,2019,Kent State,Not Rated,,,,,,
Glenn Hayes,S,Lithonia,GA,6'0'',185,Kent State,,, None, None,2019,Kent State,Not Rated,,,,,,
Mario Nunez,CB,Kennesaw,GA,6'1'',173,Kent State,,, None, None,2019,Kent State,Not Rated,,,,,,
Oly Okombi,DT,Silver Spring,MD,6'1'',310,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Jack Bailey,OG,Kirtland,OH,6'3'',290,Kent State,,, None,,2019,Kent State,Not Rated,,,,,,
Logan Swartz,OT,Rock Island,IL,6'5'',290,Kent State,,NR, NR, NR,2019,Kent State,Not Rated,,,,,,
Mike McNicholas,OG,Lombard,IL,6'3'',305,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Jaylen DeCoteau,ATH,Richland,NJ,5'11'',180,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Hayden Junker,TE-Y,Massillon,OH,6'3'',230,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Brian Dallas,DE,Pittsburgh,PA,6'2'',215,Kent State,,, None, None,2019,Kent State,Not Rated,,,,,,
Bryan Bradford,FB,Saint Louis,MO,6'0'' 232,Not Rated,,,NR,,,2019,Kent State,Kent State,,,,,,
Prince Okituama,OLB,Newark,NJ,6'6'',235,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Elijah Lamptey,OT,Chicago,IL,6'5'',260,Kent State,,NR,,,2019,Kent State,Not Rated,,,,,,
Quentin Jones,DT,Tallahassee,FL,6'3'',320,Kent State,,, NR, NR,2019,Kent State,Not Rated,,,,,,
Brandon Coleman,RB,Columbia Station,OH,6'0'',210,Kent State,,NR, NR, NR,2019,Kent State,Not Rated,,,,,,
Ja'Shaun Poke,WR,Hampton,GA,5'10'',175,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Colt Jennings,ILB,Cleveland,OH,6'3'',225,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Brad George,LS,Wheaton,IL,5'9'',205,Kent State,,, None, None,2019,Kent State,Not Rated,,,,,,
Jabbar Price,DE (JC),Youngstown,OH,6'5'',250,Kent State,,NR, NR, NR,2019,Kent State,Not Rated,,,,,,
Adam Tourville,OG (JC),La Habra,CA,6'3'',330,Kent State,,NR, NR, NR,2019,Kent State,Not Rated,,,,,,
Sekou Diaby,DE (JC),Hillside,NJ,6'2'',240,Kent State,,,,,2019,Kent State,Not Rated,,,,,,
Bill Kuduk,OT (TR),Chicago,IL,6'4'',285,Kent State,,,,,2019,Kent State,Transfer,,,,,,
Qwuantrezz Knight,CB (TR),Quincy,FL,6'0'',190,Kent State,,,,,2019,Kent State,Transfer,,,,,,
Tyler Berrong,ILB,Jacksonville,FL,6'3'',215.0,,,23,379,123,2020,Kent State,76,,,,Kent State  ,,
C.J. West,DT,La Grange Park,IL,6'2'',290.0,,,76,98,17,2020,Kent State,76,,,,Kent State  ,,
Luke Floriea,WR,Mentor,OH,5'10'',170.0,,,254,179,60,2020,Kent State,73,,,,Kent State  ,,
Tyler Roberson,DE,Louisville,KY,6'3'',255.0,,,198,832,16,2020,Kent State,72,,,,Kent State  ,,
Josh Henderson,OLB,Simi Valley,CA,6'2'',200.0,,,155,281,157,2020,Kent State,72,,,,Kent State  ,,
Michael West,DE,Saint Louis,MO,6'4'',215.0,,,208,,,2020,Kent State,72,,,,Kent State  ,,
Griffin Brewster,QB-PP,Rome,GA,6'2'',185.0,,,71,,,2020,Kent State,72,,,,Kent State  ,,
Reignings Awah,DE,Mississauga,CAN,6'4'',235.0,,,210,,,2020,Kent State,71,,,,Kent State  ,,
Tyler Thomas,OG,Baltimore,MD,6'3'',280.0,,,171,,,2020,Kent State,71,,,,Kent State  ,,
Marcellus Marshall,OT,Morgantown,WV,6'5'',310.0,,,184,,,2020,Kent State,71,,,,Kent State  ,,
Marquez Cooper,RB,Gaithersburg,MD,5'7'',185.0,,,162,267,58,2020,Kent State,70,,,,Kent State  ,,
Marquail Coaxum,CB,Cartersville,GA,5'10'',165.0,,,202,1000,217,2020,Kent State,70,,,,Kent State  ,,
Savion Washington,OT,Akron,OH,6'8'',340.0,,,198,,,2020,Kent State,70,,,,Kent State  ,,
Tyler Dixon,WR,Saint Louis,MO,6'2'',200.0,,,339,443,42,2020,Kent State,70,,,,Kent State  ,,
Jasper Robinson,TE-Y,Canton,OH,6'5'',235.0,,,66,,,2020,Kent State,70,,,,Kent State  ,,
Brandon Perkins,ILB,Williamstown,NJ,6'1'',215.0,,,71,292,56,2020,Kent State,70,,,,Kent State  ,,
Luke Murphy,S,Massillon,OH,6'1'',185.0,,,175,,,2020,Kent State,69,,,,Kent State  ,,
Thor Kracht,OG,Carmel,IN,6'3'',270.0,,,203,302,38,2020,Kent State,69,,,,Kent State  ,,
Nadir Pineda,DT (JC),Hackensack, NJ,6'3'',245.0,,,37,,,2020,Kent State,69,,,,Kent State  ,,
Adin Huntington,DT,Stafford,VA,6'0'',260.0,,,168,,,2020,Kent State,68,,,,Kent State  ,,
Robie Glass,WR,Lima, OH,6'3'',195.0,,,359,325,108,2020,Kent State,68,,,,Kent State  ,,
Josh Smith,K,Melbourne,AUS,6'0'',,,,NR,,,2020,Kent State,Unkown,,,,Kent State  ,,
Terrell Miller,CB,Fairburn,GA,6'0'',170.0,,,NR, NR, NR,2020,Kent State,Unknown,,,,Kent State  ,,
Tynan Tucker,S,Statesville,NC,5'11'',185.0,,,,,,2020,Kent State,Unknown,,,,Kent State  ,,
Isaiah Wooden,WR (TR),San Diego,CA,5'8'',156.0,,,,,,2020,Kent State,Transfer,,,,Kent State,,
Brad Kemayou,CB,Mississauga,Ontario,5'11'',175,Kent State,,96,,,2021,Kent State,75.0,3,1,,,,
Shakhi Carson,RB,West Orange,NJ,5'9'',180,Kent State,,136,,,2021,Kent State,72.0,,,,,,
Ian Kipp,ATH,Mentor,OH,6'2'',195,Kent State,,,,,2021,Kent State,72.0,,,,,,
Casey Magyar,K,Dublin,OH,5'11'',165,Kent State,,48,,,2021,Kent State,72.0,,,,,,
Macyo Williams,DT,Akron,OH,6'3'',265,Kent State,,121,,,2021,Kent State,71.0,,,,,,
Alex Branch,CB,Twinsburg,OH,6'0'',165,Kent State,,178,,,2021,Kent State,71.0,254,80,,,,
T.J. Spradley,CB,Moultrie,GA,5'10'',180,Kent State,,183,,,2021,Kent State,71.0,,,,,,
Emon Hill Jr.,CB,Hoschton,GA,5'10'',175,Kent State,,897,,,2021,Kent State,71.0,,,,,,
Leon Williams,OLB,Valdosta,GA,6'2'',215,Kent State,,179,,,2021,Kent State,70.0,910,200,,,,
Gage Michael,QB-DT,Fairmont,WV,6'0'',175,Kent State,,52,,,2021,Kent State,70.0,,,,,,
Marcus Harris,WR,Radcliff,KY,6'2'',180,Kent State,,310,,,2021,Kent State,70.0,,,,,,
Naran Buntin,WR,Edison,NJ,6'1'',180,Kent State,,312,,,2021,Kent State,70.0,,,,,,
Jack Loew,DE,Brisbane,,6'5'',245,Kent State,,244,,,2021,Kent State,69.0,,,,,,
Luke Miller,OLB,Gibsonia,PA,6'2'',195,Kent State,,,,,2021,Kent State,69.0,,,,,,
Shane Slattery,ILB,Richfield,OH,6'0'',220,Kent State,,86,,,2021,Kent State,69.0,,,,,,
P.K. Kier,RB,Winchester,VA,6'0'',225,Kent State,,,,,2021,Kent State,, None, None,,,,
Nykeim Johnson,WR,Washington,DC,5'8'',170,Kent State,,,,,2021,Kent State,,,,,,,
Antwain Richardson,S,Delray Beach,FL,6'0'',190,Kent State,,,,,2021,Kent State,,,,,,,
Nico Bolden,S,Woodbury,MN,6'3'',200,Kent State,,,,,2021,Kent State,,,,,,,
