Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University ,School
Spencer Waseem,CB,Apopka,FL,5'9'',171,,73.0,Washington State,636,94,,2011,Washington State,,,,
Darryl Paulo,ILB,Sacramento,CA,6'2'',235,,73.0,Washington State,60,,,2011,Washington State,,,,
Max Gama,ATH,La Mirada,CA,5'11'',185,,73.0,Washington State,180,,,2011,Washington State,,,,
Max Hersey,ILB,University Place,WA,6'3'',235,,72.0,Washington State,69,297,NR,2011,Washington State,,,,
Chester Su'a,RB,Honolulu,HI,6'1'',195,,72.0,Washington State,,,,2011,Washington State,,,,
T.J. Poloai,DT,Sacramento,CA,6'0'',275,,69.0,Washington State,237,,,2011,Washington State,,,,
Henry Eaddy,WR,Orlando,FL,5'8'',152,,68.0,Washington State,148,,,2011,Washington State,,,,
Cody Clements,QB,La Habra,CA,6'0'',190,,68.0,Washington State,244,,,2011,Washington State,,,,
Isiah Myers,WR,Orlando,FL,6'0'',170,,67.0,Washington State,246,,,2011,Washington State,,,,
Marcus Mason,RB,Etiwanda,CA,5'8'',168,,,Washington State,216,,,2011,Washington State,,,,
Wendell Taiese,OT,Oakland,CA,6'6'',360,,,Washington State,267,,,2011,Washington State,,,,
Brock Lutes,ATH,Newberg,OR,6'2'',215,,,Washington State,,,,2011,Washington State,,,,
Demetrius Cherry,OT,Frostproof,FL,6'5'',265,,,Washington State,,,,2011,Washington State,,,,
Rico Forbes,OT,Houston,TX,6'5'',295,,,Washington State,,,,2011,Washington State,,,,
Eli Edwards,DE,Long Beach,CA,6'2'',245,,,Washington State,,,,2011,Washington State,,,,
Niko Aumua,DE,Alameda,CA,6'5'',225,,,Washington State,NR,,,2011,Washington State,,,,
Ian Knight,DE,Wichita,KS,6'2'',245,,,Washington State,,,,2011,Washington State,,,,
Taylor Meighen,OC,Beaumont,TX,6'3'',285,,,Washington State,,,,2011,Washington State,,,,
Lenard Williams,DE,Chesterfield,SC,6'2'',240,,,Washington State,,,,2011,Washington State,,,,
Matt Goetz,OG,Cibolo,TX,6'4'',270,,,Washington State,,,,2011,Washington State,,,,
Robert Lewis,RB,South Gate,CA,5'10'',160,80,Washington State,,12,35,26,2012,Washington State,,,,
Alex Jackson,WR,Culver City,CA,5'10'',180,79,Washington State,,,,,2012,Washington State,,,,
Gabriel Marks,WR,Los Angeles,CA,5'11'',175,78,Washington State,,,,,2012,Washington State,,,,
Jeremiah Allison,OLB,Los Angeles,CA,6'0'',200,78,Washington State,,61,,,2012,Washington State,,,,
Khalil Pettway,OLB,Culver City,CA,6'3'',205,78,Washington State,,63,86,61,2012,Washington State,,,,
Teondray Caldwell,ATH,LQ,Los Angeles,CA,5'10'',185,76,Washington State,,,,2012,Washington State,,,,
Jacob Tuivaiave,DE,Tacoma,WA,6'4'',250,75,Washington State,,,,,2012,Washington State,,,,
Pierson Villarrubia,OT,Mandeville,LA,6'4'',260,75,Washington State,,134,,,2012,Washington State,,,,
Brett Bartolone,WR,La Habra,CA,5'10'',175,75,Washington State,,195,157,125,2012,Washington State,,,,
David Bucannon,S,Fairfield,CA,6'2'',180,75,Washington State,,,93,129,2012,Washington State,,,,
Rahmel Dockery,ATH,LQ,Tacoma,WA,5'10'',170,74,Washington State,,,,2012,Washington State,,,,
Raymond Ford,CB,Gardena,CA,5'8'',170,74,Washington State,,,,,2012,Washington State,,,,
Alex Mitchell,OG,LQ,Portland,OR,6'2'',309,74,Washington State,,,,2012,Washington State,,,,
Austin Apodaca,QB,Longmont,CO,6'1'',175,74,Washington State,,,,,2012,Washington State,,,,
Sam Flor,OG,Seattle,WA,6'3'',265,74,Washington State,,113,,,2012,Washington State,,,,
Denzell Dotson,OG,Glendale,AZ,6'2'',300,72,Washington State,,39,,,2012,Washington State,,,,
Feddie Davey,OLB,Miami,FL,5'8'',185,72,Washington State,,,,,2012,Washington State,,,,
