Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,School,Reg_rank,State_rank
Isiah Macklin,WR,Henderson,NV,6'4'',187.0,San Diego State,,219,,,2016,San Diego State,68,,254,6
Will Stricklin,ATH,San Marcos,CA,6'0'',190.0,San Diego State,,132,,,2016,San Diego State,68,,,
Dwayne Johnson,Murrieta,CA,6'1'',184,68.0,,,132,,,2016,San Diego State,San Diego State,,,
Obi Obialo,Coppell,TX,6'1'',200,,,,,,,2016,San Diego State,San Diego State,, None, None
Douglas Tucker,DT,Dallas,TX,6'4'',295.0,San Diego State,,,,,2016,San Diego State,,,,
Parker Houston,TE,Sparks,NV,6'4'',230.0,San Diego State,,,,,2016,San Diego State,,,,
Kyle Spalding,TE,McKinleyville,CA,6'6'',256.0,San Diego State,,,,,2016,San Diego State,,,,
Keoni Stallworth,Elk Grove,CA,6'2'',190,,,,,,,2016,San Diego State,San Diego State,,,
Trenton Fincher,OT,Kentwood,MI,6'7'',315.0,San Diego State,,NR,,,2016,San Diego State,,,,
Trenton Thompson,Palm Springs,CA,6'1'',190,,,,,,,2016,San Diego State,San Diego State,,,
Forrest Hanlon,DE,La Mesa,CA,6'2'',235.0,San Diego State,,NR,,,2016,San Diego State,,,,
Tyler Roemer,OT,Fernley,NV,6'7'',280.0,San Diego State,,NR,,,2016,San Diego State,,,,
Zachary Thomas,OT,Carlsbad,CA,6'5'',270.0,San Diego State,,,,,2016,San Diego State,,,,
Donnell Greene,OT,Marietta,GA,6'5'',310.0,San Diego State,,,,,2016,San Diego State,,,,
JonDarius Gardner,DT,Pensacola,FL,6'3'',285.0,San Diego State,,,,,2016,San Diego State,,,,
Chibueze Onyeukwu,DE,Costa Mesa,CA,6'5'',240.0,San Diego State,,,,,2016,San Diego State,,,,
Joey Wright,OT,Reno,NV,6'6'',300,77,San Diego State,71,,,2020,San Diego State,,,103,5
Vai Kaho,OLB,Reno,NV,6'0'',194,75,San Diego State,102,,,2020,San Diego State,,,,
Aaron Greene,TE-YPrescott,AZ,Prescott High School,6'4'',250,NRSan Diego State,,,,,2020,San Diego State,,,,
Sebastian Hernandez,OT,Norwalk,CA,Cerritos College,6'4'',290,NRSan Diego State,,,,2020,San Diego State,,,,
Jack Sears,QB-PP (TR),Los Angeles,CA,University of Southern California,6'3'',205,TRSan Diego State,,,,2020,San Diego State,,,,
Nolan Givan,TE-H (TR),Berkley,MI,Ball State University,6'3'',240,TRSan Diego State,,,,2020,San Diego State,,,,
Josh Simmons,OG,La Mesa,CA,6'5'',325,80,,16,47,25,2021,San Diego State,,San Diego State,,
Noah Avinger,ATH,Anaheim,CA,5'11'',170,78,,43,78,43,2021,San Diego State,,San Diego State,,
C.J. Baskerville,S,North Richland Hills,TX,6'2'',180,77,,51,146,113,2021,San Diego State,,San Diego State,,
Ross Maseuli,OG,San Diego,CA,6'3'',315,76,,51,,,2021,San Diego State,,San Diego State,,
Zyrus Fiaseu,OLB,Henderson,NV,6'1'',200,76,,80,,,2021,San Diego State,,San Diego State,,
Phillippe Wesley,WR,Eureka,CA,5'11'',185,75,,161,144,85,2021,San Diego State,,San Diego State,,
New Zealand Williams,S,Eureka,CA,6'1'',175,74,,97,166,100,2021,San Diego State,,San Diego State,,
Darrion Dalton,DT,Scottsdale,AZ,6'2'',255,74,,91,186,19,2021,San Diego State,,San Diego State,,
D.J. Herman,ILB,Las Vegas,NV,6'1'',230,74,,49,189,10,2021,San Diego State,,San Diego State,,
