Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School, Pos, City, State, Height, Weight, Grade, University
Freddie Warner,ATH,Dallas,TX,5'9'',175,76,North Texas,,122,,,2011,North Texas,,220,170,,,,,,,,
Kerry Swarn,S,Dallas,TX,6'2'',190,75,North Texas,,228,,,2011,North Texas,,79,175,,,,,,,,
Chad Polk,OLB,Dallas,TX,6'0'',200,74,North Texas,,,,,2011,North Texas,, None, None,,,,,,,,
Marcus Smith,WR,San Antonio,TX,6'3'',205,74,North Texas,,169,,,2011,North Texas,,,,,,,,,,,
Alexander Lincoln,DT,Cibolo,TX,6'3'',240,73,North Texas,,133,,,2011,North Texas,,,,,,,,,,,
Antoinne Jimmerson,RB,DeSoto,TX,5'9'',198,71,North Texas,,186,,,2011,North Texas,,396,298,,,,,,,,
Derek Akunne,ILB,Garland,TX,5'11'',227,71,North Texas,,403,,,2011,North Texas,,,,,,,,,,,
Cooper Jones,QB,Lone Oak,TX,6'4'',195,70,North Texas,,126,,,2011,North Texas,,409,306,,,,,,,,
Kendrick Ruben,S,Galena Park,TX,5'11'',170,68,North Texas,,145,,,2011,North Texas,,433,319,,,,,,,,
Jamone Greer,CB,Sugar Land,TX,5'11'',167,North Texas,,,128,,,2011,North Texas,,,,,,,,,,,
Zac Whitfield,RB,Sherman,TX,5'9'',180,North Texas,,,246,,,2011,North Texas,, None, None,,,,,,,,
Chaz Sampson,WR,Arlington,TX,6'5'',178,North Texas,,,,,,2011,North Texas,,,,,,,,,,,
Andrew McNulty,QB,Iowa City,IA,6'1'',200,North Texas,,,172,,,2011,North Texas,, NR, NR,,,,,,,,
Micah Thompson,DT,Jones,OK,6'3'',290,North Texas,,,180,,,2011,North Texas,,,,,,,,,,,
Daryl Mason,DE,Rowlett,TX,6'3'',210,North Texas,,,238,,,2011,North Texas,,,,,,,,,,,
Grant Shaw,OT,Forney,TX,6'4'',285,North Texas,,,216,,,2011,North Texas,,,,,,,,,,,
Michael Stojkovic,OLB,Katy,TX,Valley Forge Military College,6'2'',215,North Texas,,,,,2011,North Texas,,,,,,,,,,,
Austin Orr,DE,Houston,TX,6'3'',245,North Texas,,,238,,,2011,North Texas,, NR, NR,,,,,,,,
Terell Brooks,DT,Duncanville,TX,6'3'',290,North Texas,,,180,,,2011,North Texas,, NR, NR,,,,,,,,
Laramie Lee,CB,Tyler,TX,5'10'',180,North Texas,,,128,,,2011,North Texas,, NR, NR,,,,,,,,
Cyril Lemon,OG,Marble Falls,TX,6'3'',315,North Texas,,,212,,,2011,North Texas,, NR, NR,,,,,,,,
Travis Ellard,OG,Deer Park,TX,6'3'',270,North Texas,,,212,,,2011,North Texas,, NR, NR,,,,,,,,
Andrew Power,TE,Myrtle Beach,SC,Arizona Western College,6'4'',260,North Texas,,,,,2011,North Texas,,,,,,,,,,,
Brent Osborn,QB,Valley,AL,Northwest Mississippi Comm. College,6'3'',210,North Texas,,,,,2011,North Texas,, None, None,,,,,,,,
OC,Buda,TX,6'3'',275.0,77.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
S,Baton Rouge,LA,5'11'',180.0,76.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
CB,Coppell,TX,5'10'',180.0,75.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
RB,Livonia,LA,5'11'',205.0,75.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
DT,Cedar Hill,TX,6'4'',243.0,75.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
DE,Denton,TX,6'5'',225.0,73.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
CB,Houston,TX,5'11'',165.0,72.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
WR,Beaumont,TX,6'1'',200.0,72.0,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
DE,Midland,TX,6'3'',240.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
OT,Arlington,TX,6'5'',279.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
WR,Dallas,TX,6'1'',189.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
DT,Tyler,TX,6'2'',300.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
RB,Tyler,TX,6'0'',185.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
ILB,Clarksville,TX,6'2'',220.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
DT,Wichita Falls,TX,6'2'',300.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
OG,Flower Mound,TX,6'4'',280.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
OLB,Borger,TX,6'0'',200.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
S,Missouri City,TX,6'3'',185.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
RB,Houma,LA,5'10'',195.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
OLB,Laplace,LA,6'0'',218.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
RB,Frisco,TX,5'7'',152.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
DE,Arlington,TX,6'2'',240.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
CB,Council Bluffs,IA,5'11'',185.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
OT,Pilot Point,TX,6'5'',308.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
CB,Norman,OK,5'8'',190.0,,,North Texas,,,,,2012,North Texas,,,,,,,,,,,
,,,,,,,,,,,,2012,North Texas,, None, None,,,,,,,,
,,,,,,,,,10,,,2012,North Texas,,145,114,,,,,,,,
,,,,,,,,,,,,2012,North Texas,, None, None,,,,,,,,
Caleb Chumley,ATH,Longview,TX,6'6'',225,,77.0,North Texas,162,78,120,2014,North Texas,,,,,,,,,,,
Trevor Moore,K,Edmond,OK,5'11'',175,,75.0,North Texas,27,240,19,2014,North Texas,,,,,,,,,,,
Jalen Adams,WR,Moore,OK,5'10'',161,,74.0,North Texas,,,,2014,North Texas,,,,,,,,,,,
Fonzale Davis,WR,Dallas,TX,5'11'',181,,72.0,North Texas,207,,,2014,North Texas,,,,,,,,,,,
Andrew Jones,CB,Mesquite,TX,5'11'',170,,72.0,North Texas,100,,,2014,North Texas,,,,,,,,,,,
Connor Means,QB-PP,Deer Park,TX,6'3'',205,,71.0,North Texas,346,,,2014,North Texas,,,,,,,,,,,
Brandon Garner,OLB,Arlington,TX,5'11'',205,,70.0,North Texas,153,,,2014,North Texas,,,,,,,,,,,
Willy Ivery,WR,Sulphur Springs,TX,5'8'',183,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Tee Goree,WR,Carthage,TX,6'2'',168,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Kishawn McClain,ATH,Rosenberg,TX,5'11'',190,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Jalen Montgomery,ILB,Mesquite,TX,5'11'',205,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Sam Wells,QB-DT,Commerce,TX,5'11'',181,,,North Texas,NR,NR,NR,2014,North Texas,,,,,,,,,,,
Chris Miles,OT,Flower Mound,TX,6'4'',285,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
O'Keeron Rutherford,WR,Carthage,TX,6'5'',181,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Tillman Johnson,DE,Austin,TX,6'1'',225,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Johnavhan Grahm,DT,DeSoto,TX,6'1'',260,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Shaquel Jackson,DT,DeSoto,TX,6'1'',265,,,North Texas,NR,,,2014,North Texas,,,,,,,,,,,
Jeffery Wilson,RB,Elkhart,TX,6'0'',190,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Avery Fortenberry,OT (LQ),Era,TX,6'5'',220,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
T.J. Tauaalo,DT,Keller,TX,6'1'',285,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
A.J. Smith,OLB (JC),Stilwell,OK,6'2'',225,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Josh Greer,QB-PP (JC),Arlington,TX,6'5'',225,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
Anthony Wallace,ILB (TR),Eugene,OR,6'0'',235,,,North Texas,,,,2014,North Texas,,,,,,,,,,,
William Johnson,OLB,Pompano Beach,FL,6'3'',225,81.0,Air Force,,3,,,2016,North Texas,, None,25,,,,,,,,
Nic Smith,RB,Arlington,TX,5'9'',170,70.0,Air Force,,118,,,2016,North Texas,,287,220,,,,,,,,
La'Darius Hamilton,OLB,Corrigan,TX,6'2'',230,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Deion Hair-Griffin,ATH,Fort Worth,TX,5'8'',150,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Jason Pirtle,WR,Locust Grove,OK,6'1'',191,,Air Force,,,,,2016,North Texas,,,,,,,,,,,
Rico Bussey,WR,Lawton,OK,6'0'',167,,Air Force,,NR,,,2016,North Texas,,,,,,,,,,,
Mason Fine,QB-DT,Locust Grove,OK,5'11'',165,,Air Force,,NR,,,2016,North Texas,, NR, NR,,,,,,,,
Jameel Moore,CB,Cedar Hill,TX,5'10'',165,,Air Force,,NR,,,2016,North Texas,, NR, NR,,,,,,,,
Tyrone Middleton,RB,Fort Worth,TX,6'0'',185,,Air Force,,,,,2016,North Texas,, None, None,,,,,,,,
