Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Deion Belue,ATH,Tuscumbia,AL,6'0'',175.0,40.0,78.0,Alabama,,,,2010,Alabama,,,,
Darius McKeller,OT,Jonesboro,GA,6'6'',319.0,,78.0,Alabama,, None, None,2010,Alabama,,,,
Ronald Carswell,WR,Macon,GA,6'0'',175.0,65.0,78.0,Alabama,65,,,2010,Alabama,,,,
Blake Sims,ATH,Gainesville,GA,6'0'',175.0,64.0,78.0,Alabama,64, NR, NR,2010,Alabama,,,,
Austin Shepherd,OT,Suwanee,GA,6'5'',316.0,46.0,77.0,Alabama,46, NR, NR,2010,Alabama,,,,
Jalston Fowler,OLB,Prichard,AL,6'0'',230.0,,77.0,Alabama,, None, None,2010,Alabama,,,,
Brandon Ivory,DT,Memphis,TN,6'3'',330.0,58.0,77.0,Alabama,58,,,2010,Alabama,,,,
Jay Williams,K,Thomasville,AL,6'3'',210.0,9.0,77.0,Alabama,9,,,2010,Alabama,,,,
Anthony Orr,DE,Mobile,AL,6'4'',270.0,,76.0,Alabama,,,,2010,Alabama,,,,
Cade Foster,K,Southlake,TX,6'2'',220.0,12.0,76.0,Alabama,,,,2010,Alabama,,,,
Brandon Lewis,DE,Pleasant Valley,AL,6'3'',270.0,,76.0,Alabama,, None, None,2010,Alabama,,,,
Dequan Menzie,CB,Columbus,GA,5'11'',195.0,,,Alabama,NR, NR, NR,2010,Alabama,,,,
Cyrus Kouandjio,OT,Hyattsville,MD,6'7'',325.0,5,87,Alabama,1,,,2011,Alabama,1,1,,
Ha'Sean Clinton-Dix,S,Orlando,FL,6'2'',194.0,4,84,Alabama,4,,,2011,Alabama,15,4,,
Xzavier Dickson,DE,Griffin,GA,6'4'',242.0,4,83,Alabama,2,,,2011,Alabama,2,2,,
Trey DePriest,OLB,Akron,OH,6'1'',225.0,4,82,Alabama,5,,,2011,Alabama,24,4,,
Bradley Sylve,WR,Port Sulphur,LA,5'10'',175.0,4,82,Alabama,,,,2011,Alabama,,,,
Jeoffrey Pagan,DE,Asheville,NC,6'3'',260.0,4,81,Alabama,14,,,2011,Alabama,43,,,
Marvin Shinn,WR,Prichard,AL,6'3'',180.0,3,81,Alabama,8,,,2011,Alabama,,,,
Demetrius Hart,RB,Orlando,FL,5'8'',190.0,4,81,Alabama,4,,,2011,Alabama,48,,,
Malcolm Faciane,TE,Picayune,MS,6'5'',260.0,4,81,Alabama,22,,,2011,Alabama,,,,
Danny Woodson Jr.,WR,Mobile,AL,6'1'',209.0,3,80,Alabama,23,,,2011,Alabama,72,,,
Brent Calloway,ATH,Russellville,AL,6'2'',215.0,3,80,Alabama,14,,,2011,Alabama,,,,
LaMichael Fanning,DE,Hamilton,GA,6'7'',269.0,3,80,Alabama,10,,,2011,Alabama,,,,
Christion Jones,CB,Adamsville,AL,5'11'',185.0,3,80,Alabama,21,,,2011,Alabama,110,,,
D.J. Pettway,DE,Pensacola,FL,6'3'',246.0,3,80,Alabama,29,,,2011,Alabama,120,2,,
Jabriel Washington,ATH,Jackson,TN,5'10'',165.0,3,79,Alabama,18,,,2011,Alabama,,,,
