Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank, State_rank  ,School,University 
Tre'Vante Porter,S,Midwest City,OK,5'11'',185,Texas Tech Red Raiders,,,,,2010,Texas Tech,77.0,,,,,
Brandon Smith,CB,Raceland,LA,6'1'',170,Texas Tech Red Raiders,,6,,,2010,Texas Tech,76.0, NR, NR,,,
Cqualin Hubert,OLB,Houston,TX,6'1'',216,Texas Tech Red Raiders,,,,,2010,Texas Tech,76.0,,,,,
Aleon Calhoun,OT,Navasota,TX,6'7'',320,Texas Tech Red Raiders,,55,,,2010,Texas Tech,76.0, NR, NR,,,
Urell Johnson,CB,New Orleans,LA,6'0'',175,Texas Tech Red Raiders,,,,,2010,Texas Tech,76.0, None, None,,,
Benjamin McRoy,CB,Lakeland,FL,5'9'',159,Texas Tech Red Raiders,,,,,2010,Texas Tech,76.0,,,,,
Scotty Young,QB,Denton,TX,6'2'',180,Texas Tech Red Raiders,,86,,,2010,Texas Tech,75.0,,,,,
Don Hursey,CB,Washington,DC,5'11'',177,Texas Tech Red Raiders,,,,,2010,Texas Tech,74.0,157.0,,,,
Russell Polk,S,Dallas,TX,5'10'',185,Texas Tech Red Raiders,,144,,,2010,Texas Tech,73.0,,,,,
James Polk,OT,Houston,TX,6'6'',289,Texas Tech Red Raiders,,NR,,,2010,Texas Tech,71.0, NR, NR,,,
LaVaughn Whigham,CB,Miami,FL,6'1'',175,Texas Tech Red Raiders,,,,,2010,Texas Tech,, None, None,,,
Mike Jones,DE,Sugar Land,TX,6'3'',255,Texas Tech Red Raiders,,,,,2010,Texas Tech,, None, None,,,
Phillip Warren,CB,Miami,FL,5'9'',180,Texas Tech Red Raiders,,,,,2010,Texas Tech,, NR, None,,,
Lawrence Cayou,DE,New Orleans,LA,6'3'',230,Texas Tech Red Raiders,,,,,2010,Texas Tech,, None, None,,,
Terrell Hartsfield,OLB,Wake Forest,NC,6'3'',210,Texas Tech Red Raiders,,,,,2010,Texas Tech,, None, None,,,
Lawrence Rumph,DT (JC),Keller,TX,6'3'',270,Texas Tech Red Raiders,,,,,2010,Texas Tech,, None, None,,,
Scott Smith,DE (JC),Honolulu,HI,6'6'',270,Texas Tech Red Raiders,,,,,2010,Texas Tech,,,,,,
Donald Langley,DT (JC),Germantown,MD,6'2'',295,Texas Tech Red Raiders,,,,,2010,Texas Tech,,,,,,
Dominique Wheeler,WR,Crockett,TX,6'1'',180,Texas Tech,,8,,,2012,Texas Tech,82.0,7,5,,,
Reginald Davis,WR,Tenaha,TX,6'0'',185,Texas Tech,,15,,,2012,Texas Tech,81.0,18,12,,,
Michael Starts,OT,Waco,TX,6'4'',280,Texas Tech,,14,,,2012,Texas Tech,80.0,25,18,,,
