Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank
David Long,ILB,Cincinnati,OH,5'11'',205,77,West Virginia,,,59,403,2015,West Virginia,,,
Kevin Williams,S,Pompano Beach,FL,6'0'',175,77,West Virginia,,11,,,2015,West Virginia,,,
Xavier Pegues,DE (JC),Oxford,MS,6'3'',275,75,West Virginia,,113,115,47,2015,West Virginia,,,
Colton McKivitz,OT,Belmont,OH,6'6'',265,75,West Virginia,,12,,,2015,West Virginia,,,
Larry Jefferson,DE (JC),College Park,GA,6'5'',230,75,West Virginia,,51,,,2015,West Virginia,,,
Chris Chugunov,QB-PPSkillman,NJ,6'1'',179,75,West Virginia,,,112,,,2015,West Virginia,,,
Adam Shuler,DELongwood,FL,6'5'',250,74,West Virginia,,,143,,,2015,West Virginia,,,
Alec Shriner,OG,Oviedo,FL,6'4'',280,72,West Virginia,,, None, None,2015,West Virginia,,,
Ka'Raun White,WR (JC),Scranton,PA,6'2'',200,NR,West Virginia,,, None, None,2015,West Virginia,,,
Michael Ferns,ILB (TR),Saint Clairsville,OH,6'3'',240,TR,West Virginia,,,,,2015,West Virginia,,,
Kyle Bosch,OT (TR),Saint Charles,IL,6'5'',303,TR,West Virginia,,,,,2015,West Virginia,,,
Brendan Ferns,ILB,Saint Clairsville,OH,6'3'',223,82,West Virginia,,7,,,2016,West Virginia,,12,6
Steven Smothers,WR,Reisterstown,MD,5'9'',151,81,West Virginia,,41,,,2016,West Virginia,,28,9
Kyzir White,S,Scranton,PA,6'2'',210,81,West Virginia,,20th,,,2016,West Virginia,,,
Martell Pettaway,RB,Saint Clair Shores,MI,5'9'',203,80,West Virginia,,19,,,2016,West Virginia,,,
Cody Saunders,QB-DTPanama City Beach,FL,6'2'',199,80,West Virginia,,,17,,,2016,West Virginia,,,
Marcus Simms,WR,Sandy Spring,MD,6'1'',170,80,West Virginia,,77,,,2016,West Virginia,,,
Justin Crawford,RB (JC),Columbus,GA,6'0'',200,79,West Virginia,,6,,,2016,West Virginia,,,
Jacquez Adams,ATH (POST),Reisterstown,MD,6'0'',170,78,West Virginia,,,,,2016,West Virginia,,,
Kennedy McKoy,RB,Lexington,NC,6'1'',198,77,West Virginia,,59,,,2016,West Virginia,,328,33
Elijah Battle,CB (JC),Newark,NJ,6'0'',190,76,West Virginia,,13,,,2016,West Virginia,,NR,NR
Tyrhee Pratt,QB-DT,Charleston,WV,6'1'',195,76,West Virginia,,33,,,2016,West Virginia,,109,1
Josh Sills,OT,Byesville,OH,6'5'',300,75,West Virginia,,97,,,2016,West Virginia,,,
Chase Behrndt,OG,Saint Joseph,MO,6'3'',295,75,West Virginia,,58,,,2016,West Virginia,,,
Jacob Buccigrossi,OT,Pittsburgh,PA,6'4'',280,74,West Virginia,,81,,,2016,West Virginia,,134,26
Toyous Avery,S (JC),Covington,GA,6'0'',200,74,West Virginia,,9,,,2016,West Virginia,,,
Adam Hensley,ILB,Centerville,OH,6'2'',210,73,West Virginia,,41,,,2016,West Virginia,,135,49
Jonn Young,K,Mocksville,NC,6'0'',185,73,West Virginia,,40,,,2016,West Virginia,,530,50
Zach Sandwisch,OLB,Toledo,OH,6'2'',215,73,West Virginia,,,,,2016,West Virginia,,,
Jacob Long,CB,Columbus,OH,5'11'',174,73,West Virginia,,,,,2016,West Virginia,,,
Trevon Wesco,TE-Y (JC),Inwood,WV,6'4'',255,72,West Virginia,,3,,,2016,West Virginia,,NR,NR
Logan Thimons,OLB,Sarver,PA,6'2'',214,71,West Virginia,,104,,,2016,West Virginia,,185,41
Sean Mahone,CB,West Chester,OH,6'0'',195,71,West Virginia,,109,,,2016,West Virginia,,,
JoVanni Stewart,S,Katy,TX,5'9'',185,71,West Virginia,,122,,,2016,West Virginia,,,
Reese Donahue,DE,Ona,WV,6'4'',235,71,West Virginia,,152,,,2016,West Virginia,,,
Jeffery Pooler,DT,Dayton,OH,6'3'',286,71,West Virginia,,102,,,2016,West Virginia,,193,68
Dylan Tonkery,RB,Bridgeport,WV,6'0'',185,69,West Virginia,,126,,,2016,West Virginia,,,
Damon Johnson,LS,Glendora,CA,6'0'',205,68,West Virginia,,11,,,2016,West Virginia,,,
Mike Daniels,CB (JC),New York,NY,6'0'',195,,West Virginia,,,,,2016,West Virginia,,,
Craig Smith,OT (JC),Royal Palm Beach,FL,6'6'',330,,West Virginia,,NR,,,2016,West Virginia,,NR,NR
Kelby Wickline,OT,Stillwater,OK,6'5'',280,79,,,47th,,,2017,West Virginia,,,
Reggie Roberson,WR,Mesquite,TX,6'0'',175,79,,,82,,,2017,West Virginia,,,
Alec Sinkfield,ATH,Delray Beach,FL,5'10'',185,79,,,,,,2017,West Virginia,,,
Dominique Maiden,WR,Temecula,CA,6'5'',210,78,,,10,,,2017,West Virginia,,NR,NR
Derrek Pitts Jr.,S,South Charleston,WV,6'1'',174,78,,,46,,,2017,West Virginia,,,
Lamonte McDougle,DT,Deerfield Beach,FL,6'1'',295,77,,,59,,,2017,West Virginia,,,
Quondarius Qualls,OLB,Senatobia,MS,6'2'',220,77,,,6,,,2017,West Virginia,,,
Eugene Brown,S,Stone Mountain,GA,6'0'',182,77,,,50,,,2017,West Virginia,,,
Hakeem Bailey,CB,Mableton,GA,6'0'',187,77,,,14,,,2017,West Virginia,, None, None
Tevin Bush,ATH,New Orleans,LA,5'6'',155,77,,,5,,,2017,West Virginia,,390,
Ricky Johns,WR,Lansdale,PA,6'3'',180,77,,,156,,,2017,West Virginia,,,
David Sills,QB-PP,Wilmington,DE,6'4'',210,77,,,7,,,2017,West Virginia,,,
Collin Smith,ATH,Ligonier,PA,6'0'',170,76,,,74,,,2017,West Virginia,,114,17
Jalen Harvey,DT,Pinson,AL,6'2'',310,76,,,,,,2017,West Virginia,,,
Ezekiel Rose,DE,Scooba,MS,6'3'',260,75,,,6,,,2017,West Virginia,,,
Tyler Thurmond,OT,Buford,GA,6'5'',275,75,,,88,,,2017,West Virginia,,,
Darius Stills,DT,Fairmont,WV,6'2'',280,74,,,78,,,2017,West Virginia,,,
Isaiah Hardy,OT,Sicklerville,NJ,6'6'',345,73,,,16,,,2017,West Virginia,,,
Kenny Robinson,ATH,Pittsburgh,PA,6'2'',188,72,,,173,,,2017,West Virginia,,24,
Exree Loe,CB,Johnstown,PA,6'0'',190,70,,,139,,,2017,West Virginia,,,
Maverick Wolfley,OLB,Morgantown,WV,6'2'',205,67,,,123,,,2017,West Virginia,,,
Dreshun Miller,CB,Marietta,GA,6'1'',185,81,West Virginia,,11, None, None,2019,West Virginia,,,
Osita Smith,WR,Columbia,MD,6'1'',195,81,West Virginia,,38,,,2019,West Virginia,,,
Terence Doston,ATH,Tampa,FL,5'11'',175,79,West Virginia,,43,,,2019,West Virginia,,,
Nicktroy Fortune,CB,Lawrenceville,GA,5'11'',178,78,West Virginia,,61,346,76,2019,West Virginia,,,
