Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Location,HT,WT
Stephan Clark,WR,Sebastian River,FL,6'3'',175,,Florida Atlantic,,275, NR, NR,2011,Florida Atlantic,,,,,,
Marcus Hagins,OLB,Ocala,FL,6'1'',200,,Florida Atlantic,,217,,,2011,Florida Atlantic,,,,,,
Antonio Washington,RB,Arcadia,FL,6'1'',190,,Florida Atlantic,,246,NR,NR,2011,Florida Atlantic,,,,,,
Derek Moise,WR,Miami,FL,6'1'',175,,Florida Atlantic,,, None, None,2011,Florida Atlantic,,,,,,
Colton Kane,QB,Navarre,FL,6'2'',190,,Florida Atlantic,,172,,,2011,Florida Atlantic,,,,,,
Matt Chaney,DE,Jacksonville,FL,6'3'',255,,Florida Atlantic,,NR, None, None,2011,Florida Atlantic,,,,,,
Vinnie Davino,OT,Sarasota,FL,6'4'',265,,Florida Atlantic,,216, None, None,2011,Florida Atlantic,,,,,,
Andrae Kirk,ILB,Miami,FL,6'1'',225,,Florida Atlantic,,116,,,2011,Florida Atlantic,,,,,,
Diondre Lewis,OLB,Miami,FL,5'11'',200,,Florida Atlantic,,217, None, None,2011,Florida Atlantic,,,,,,
Cary White,RB,Tampa,FL,5'10'',210,,Florida Atlantic,,246,,,2011,Florida Atlantic,,,,,,
David Lozandier,S,Miami,FL,6'0'',190,,Florida Atlantic,,,,,2011,Florida Atlantic,,,,,,
Austin Bland,OG,Fort Lauderdale,FL,6'2'',270,75,Florida Atlantic,,453,,,2013,Florida Atlantic,,,167,,,
Lance Burlingame,DT,New Bedford,MA,Dean College,6'4'',280,70,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Quez Johnson,QB-PP,Starkville,MS,East Mississippi Community College,6'1'',225,70,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Lincoln Stewart,ILB,DeLand,FL,DeLand High School,5'11'',218,69,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Robert Relf,OLB,Phoenix,AZ,Brophy Prep,6'1'',210,67,Florida Atlantic,146,,,2013,Florida Atlantic,,,,,,
Andrew Curtis,OLB,Phoenix,AZ,Brophy Prep School,6'1'',215,64,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Kamrin Solomon,WR,Jacksonville,FL,Mandarin High School,5'11'',175,62,Florida Atlantic,248,,,2013,Florida Atlantic,,773,293,,,
Robert Miller,SC,Coral Springs,FL,J. P. Taravella High School,6'1'',190,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Marcus Clark,RB,Tallahassee,FL,North Florida Christian High School,5'7'',183,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
D.J. Juste,ATH,Port Saint Lucie,FL,Port St. Lucie High School,6'0'',175,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Lester Thomas,CB,Tallahassee,FL,Godby High School,5'10'',165,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,,,,,
Trey Hendrickson,TE-Y,Apopka,FL,Apopka High School,6'4'',207,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Jeremy Faulk,DT,Palatka,FL,Palatka High School,6'3'',250,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Jakobi Smith,OG,Miami,FL,Coral Reef High School,6'2'',256,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
JonDarius Gardner,DT,Pensacola,FL,Pine Forest High School,6'2'',276,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,NR,NR,,,
Jace Banfell,OG,Pensacola,FL,Pensacola Catholic High School,6'3'',274,NR,Florida Atlantic,,,,2013,Florida Atlantic,, NR, NR,,,
Rashaad Lee,RB,Pensacola,FL,Pine Forest High School,5'5'',171,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
Jay Warren,RB,Navarre,FL,Navarre High School,5'11'',200,NR,Florida Atlantic,NR,,,2013,Florida Atlantic,,,,,,
Greg Hankerson,QB-DT,Fort Lauderdale,FL,Boyd Anderson High School,5'11'',168,NR,Florida Atlantic,,,,2013,Florida Atlantic,,,,,,
