Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Christyn Lewis,CB,Bloomington,CA,6'1'',165,,,,,,,2010,Minnesota,,,
Tiree Eure,TE,Allentown,PA,6'6'',245,,,,,,,2010,Minnesota,,,
Dwight Tillman,CB,Baltimore,MD,5'11'',185,,,,,,,2010,Minnesota,,,
Herschel Thornton,S,Norristown,PA,6'1'',205,,,,,,,2010,Minnesota,,,
Ray Cottman,ILB,Tucson,AZ,6'1'',225,,,,NR,,,2010,Minnesota,,,
Brendan Beal,ILB,Bethlehem,PA,6'3'',245,,,,, None, None,2010,Minnesota,,,
Isaac Hayes,OG,Mendota Heights,MN,6'2'',270.0,,80,Minnesota,9,8,1,2012,Minnesota,,,
Jamel Harbison,WR,Charlotte,NC,5'11'',190.0,,80,Minnesota,32,93,11,2012,Minnesota,,,
Andre McDonald,WR,Minnetonka,MN,6'2'',200.0,,80,Minnesota,37,25,2,2012,Minnesota,,,
Jonah Pirsig,OT,Blue Earth,MN,6'8'',300.0,,79,Minnesota,48,,,2012,Minnesota,,,
Lincoln Plsek,DE,Waco,TX,6'4'',235.0,,77,Minnesota,174,,,2012,Minnesota,,,
K.J. Maye,ATH,Mobile,AL,5'10'',190.0,,76,Minnesota,38,,,2012,Minnesota,,,
Yoshoub Timms,DT,Fort Walton Beach,FL,6'2'',260.0,,76,Minnesota,497,,,2012,Minnesota,,,
Philip Nelson,QB,Mankato,MN,6'2'',215.0,,74,Minnesota,, None, None,2012,Minnesota,,,
Rodrick Williams Jr.,RB,Lewisville,TX,5'10'',215.0,,74,Minnesota,87,,,2012,Minnesota,,,
Mitchell Leidner,QB,Lakeville,MN,6'4'',220.0,,74,Minnesota,110,227,9,2012,Minnesota,,,
Alex Keith,DE,Columbia,MO,6'3'',220.0,,74,Minnesota,192,316,19,2012,Minnesota,,,
Jordan Hinojosa,DT,Miami,FL,6'3'',272.0,,73,Minnesota,,,,2012,Minnesota,,,
Scott Ekpe,DT,Lewisville,TX,6'3'',255.0,,73,Minnesota,147,,,2012,Minnesota,,,
Antonio Johnson,S,Cleveland,OH,5'11'',190.0,,72,Minnesota,309,158,134,2012,Minnesota,,,
