Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Matt Green,K,Lexington,KY,6'2'',225,,73.0,Oklahoma State,42,,,2011,Oklahoma State,,,
Alex Villarreal,DT,Hidalgo,TX,6'3'',290,,,Oklahoma State,,,,2011,Oklahoma State,,,
Torrance Carr,S,Richardson,TX,6'2'',195,,,Oklahoma State,162,,,2011,Oklahoma State,,,
Michael Bowie,OT,Sand Springs,OK,6'5'',320,,,Oklahoma State,,,,2011,Oklahoma State,,,
Ryan Robinson,DE,Hoschton,GA,6'4'',240,,,Oklahoma State,NR,,,2011,Oklahoma State,,,
Alex Elkins,OLB,Keller,TX,6'4'',235,,,Oklahoma State,,,,2011,Oklahoma State,,,
Maurice Hayes,DT,Lindale,GA,6'4'',325,,,Oklahoma State,NR,,,2011,Oklahoma State,NR,NR,
Dominic Ramacher,TE,Denton,TX,6'3'',225,,80.0,Oklahoma State,3,26,19,2012,Oklahoma State,,,
Seth Jacobs,OLB,Arroyo Grande,CA,6'1'',205,,80.0,Oklahoma State,14,,,2012,Oklahoma State,,,
Michael Wilson,OT,Aledo,TX,6'6'',265,,79.0,Oklahoma State,22,52,40,2012,Oklahoma State,,,
Jeremiah Tshimanga,ILB,North Richland Hills,TX,6'2'',225,,79.0,Oklahoma State,25,53,41,2012,Oklahoma State,,,
Wes Lunt,QB,Rochester,IL,6'5'',190,,78.0,Oklahoma State,42,60,12,2012,Oklahoma State,,,
Eric Davis,DE,Tyler,TX,6'3'',240,,78.0,Oklahoma State,65,111,87,2012,Oklahoma State,,,
Brandon Sheperd,WR,Chesterfield,MO,6'2'',190,,78.0,Oklahoma State,123,,,2012,Oklahoma State,,,
Trace Clark,DE,Wichita,KS,6'5'',240,,78.0,Oklahoma State,126,,,2012,Oklahoma State,,,
C.J. Curry,WR,Flowery Branch,GA,6'2'',195,,78.0,Oklahoma State,, None, None,2012,Oklahoma State,,,
