Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School,University 
Micklos Blake,WR,Staten Island,NY,5'10'',170,none,Akron,,,,2010,Akron,,,,,
Patrick McCloskey,OG,Wilmington,DE,6'4'',290,none,Akron,,,,2010,Akron,,,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,Air Force,,,,2011,Akron,,,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,Air Force,,,,2011,Akron,,,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,Air Force,,,,2011,Akron,,,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,Air Force,,,,2011,Akron,,,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,Air Force,,,,2011,Akron,,,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,Air Force,,,,2011,Akron,,,,,
Steve Jones,CB,Kansas City,MO,,,,Air Force,,,,2011,Akron,,,,,
Chad Gross,K,Suwanee,GA,,,,Air Force,,,,2011,Akron,,,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,Air Force,,,,2011,Akron,,,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,Air Force,,,,2011,Akron,,,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,Air Force,,,,2011,Akron,,,,,
Carnell Boyd,WR,Lithonia,GA,5'11'',185,79.0,Akron,44,,,2012,Akron,,185,54,,
Jatavis Brown,OLB,Belle Glade,FL,6'1'',190,77.0,Akron,77,,,2012,Akron,,403,137,,
Benny Cunningham,S,Medina,OH,6'1'',190,75.0,Akron,,,,2012,Akron,, None, None,,
Steven Franco,QB,Tyrone,PA,6'2'',180,74.0,Akron,183,,,2012,Akron,,,,,
Quaison Osborne,OG,Hudson,OH,6'3'',305,74.0,Akron,110,,,2012,Akron,,222,97,,
Kevin Mills,OG,Canton,OH,6'3'',285,73.0,Akron,126,,,2012,Akron,,266,115,,
John Rachal,OLB,Fort Lauderdale,FL,6'1'',210,72.0,Akron,144,,,2012,Akron,,860,308,,
David Jones,RB,Waldorf,MD,5'11'',177,70.0,Akron,199,,,2012,Akron,,311,59,,
Rodney Carroll,OT,Orange,VA,6'5'',290,69.0,Akron,,,,2012,Akron,,,,,
Wade Edwards,RB,Seffner,FL,5'8'',170,68.0,Akron,,,,2012,Akron,, None, None,,
De'Andre Scott,WR,Frederick,MD,5'11'',190,67.0,Akron,,,,2012,Akron,, None, None,,
Imani Davis,RB,Miami,FL,5'9'',166,,Akron,,,,2012,Akron,,,,,
