Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,Location,Grades,School
Cody Riggs,CB,Fort Lauderdale,FL,5'8'',154,5.0,81.0,Florida,79th,,,2010,Florida,,,,,,
Leon Orr,DT,New Port Richey,FL,6'5'',315,5.0,81.0,Florida,81,,,2010,Florida,,,,,,
Solomon Patton,WR,Mobile,AL,5'10'',175,5.0,81.0,Florida,17,,,2010,Florida,,,,,,
Chris Martin,DE,Aurora,CO,6'5'',240,5.0,81.0,Florida,10,,,2010,Florida,NR,NR,,,,
Michael Taylor,OLB,Atlanta,GA,6'0'',193,5.0,81.0,Florida,12,,,2010,Florida,,,,,,
Trey Burton,ATH,Nokomis,FL,6'3'',204,4.0,79.0,Florida,30,,,2010,Florida,,,,,,
Gideon Ajagbe,OLB,Coconut Creek,FL,6'2'',201,4.0,79.0,Florida,6.0,,,2010,Florida,,,,,,
Quinton Dunbar,WR,Miami,FL,6'2'',168,4.0,79.0,Florida,42,,,2010,Florida,,,,,,
Neiron Ball,OLB,Jackson,GA,6'4'',200,4.0,79.0,Florida,6,,,2010,Florida,,,,,,
Tyler Murphy,ATH,Wethersfield,CT,6'2'',185,4.0,78.0,Florida,,,,2010,Florida,,,,,,
Lynden Trail,DE,Miami,FL,6'7'',203,4.0,78.0,Florida,,,,2010,Florida,,,,,,
Jordan Haden,S,Fort Washington,MD,5'11'',195,4.0,78.0,Florida,44,,,2010,Florida,,,,,,
Robert Clark,CB,Palm Beach Gardens,FL,5'10'',175,4.0,77.0,Florida,48,,,2010,Florida,,,,,,
Darrin Kitchens,OLB,Homestead,FL,6'2'',196,,,Florida,,,,2010,Florida,,,,,,
Michael McFarland,TE,Tampa,FL,6'5'',230,,,Florida,,,,2010,Florida,,,,,,
Jeff Driskel,QB,Oviedo,FL,6'4'',224,85,Florida,,1,,,2011,Florida,7,,,,,
Ja'Juan Story,WR,Brooksville,FL,6'3'',190,81,Florida,,61,,,2011,Florida,33,,,,,
A.C. Leonard,ATH,Jacksonville,FL,6'3'',232,81,Florida,,7,,,2011,Florida,,,,,,
Mike Blakely,RB,Bradenton,FL,5'9'',193,81,Florida,,8,,,2011,Florida,,,,,,
De'Ante Saunders,ATH,DeLand,FL,5'11'',185,81,Florida,,9,,,2011,Florida,,,,,,
Jabari Gorman,S,Miami,FL,6'0'',180,81,Florida,,28,,,2011,Florida,,,,,,
Marcus Roberson,S,Fort Lauderdale,FL,6'0'',170,81,Florida,,22,,,2011,Florida,,,,,,
Javares McRoy,WR,Lakeland,FL,5'9'',165,80,Florida,,31,,,2011,Florida,129,NR,,,,
Clay Burton,DE,Venice,FL,6'3'',225,79,Florida,,4,,,2011,Florida,,,,,,
Loucheiz Purifoy,ATH,Pensacola,FL,6'0'',170,79,Florida,,51,,,2011,Florida,,,,,,
Kyle Christy,K,Brownsburg,IN,6'2'',180,79,Florida,,25,,,2011,Florida,195,,,,,
Valdez Showers,ATH,Madison Heights,MI,5'11'',180,78,Florida,,53,,,2011,Florida,86,1,,,,
Jacoby Brissett,QB,Palm Beach Gardens,FL,6'4'',220,78,Florida,,126,,,2011,Florida,68,,,,,
Graham Stewart,OLB,Middletown,CT,6'1'',220,78,Florida,,56,,,2011,Florida,336,NR,,,,
Trip Thurman,OT,Dover,DE,6'6'',305,77,Florida,,122,,,2011,Florida,,,,,,
Chris Johnson,S,Ocala,FL,5'10'',193,77,Florida,,,,,2011,Florida,7,647,,,,
Tommy Jordan,OT,Ridgefield,CT,6'5'',280,75,Florida,,238,,,2011,Florida,,,,,,
Hunter Joyer,FB,Tampa,FL,5'11'',249,73,Florida,,,,,2011,Florida,,,,,,
Tevin Westbrook,DE,Coconut Creek,FL,6'5'',235,0,Florida,,,,,2011,Florida,,,,,,
