Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Star,School, Reg_rank, State_rank, State_rank 
Sean Welsh,OG,Springboro,OH,6'3'',275,79.0,Iowa,,34,,,2013,Iowa,,,,,
Colin Goebel,OG,Naperville,IL,6'3'',275,79.0,Iowa,,35,,,2013,Iowa,,,,,
John Kenny,OLB,Carmel,IN,6'2'',215,79.0,Iowa,,,,,2013,Iowa,,,,,
Reggie Spearman,OLB,Chicago,IL,6'1'',218,79.0,Iowa,,52,,,2013,Iowa,,,,,
Andre Harris,ATH,Kirkwood,MO,6'1'',170,78.0,Iowa,,,,,2013,Iowa,,, None, None,
Damond Powell,WR (JC),Toledo,OH,5'11'',175,77.0,Iowa,,18,,,2013,Iowa,,,,,
Solomon Warfield,S,Lakewood,OH,6'0'',175,77.0,Iowa,,36,,,2013,Iowa,,,83,36,
Malik Rucker,S,New Hope,MN,5'11'',175,77.0,Iowa,,37,,,2013,Iowa,,,,,
Derrick Mitchell Jr.,ATH,Saint Louis,MO,6'0'',185,76.0,Iowa,,108,,,2013,Iowa,,,170,15,
Brant Gressel,DT,Centerville,OH,6'2'',280,76.0,Iowa,,114,,,2013,Iowa,,,63,51,
Nic Shimonek,QB-PP,Corsicana,TX,6'4'',205,74.0,Iowa,,53,,,2013,Iowa,,,,,
Derrick Willies,WR,Rock Island,IL,6'4'',195,74.0,Iowa,,,,,2013,Iowa,,, None, None,
Desmond King,ATH,Detroit,MI,5'11'',178,73.0,Iowa,,148,,,2013,Iowa,,,169,26,
Nathan Bazata,DT,Howells,NE,6'2'',270,72.0,Iowa,,97,,,2013,Iowa,,,,,
Matt Vandeberg,WR,Brandon,SD,6'1'',170,71.0,Iowa,,197,,,2013,Iowa,,,300,2,
LeShun Daniels,RB,Warren,OH,5'11'',217,71.0,Iowa,,,,,2013,Iowa,,,,,
Ike Boettger,TE-H,Cedar Falls,IA,6'5'',220,69.0,Iowa,,33,,,2013,Iowa,,,225,9,
Tyler Kluver,LS,Marshalltown,IA,6'0'',215,68.0,Iowa,,4,,,2013,Iowa,,,236,11,
Jonathan Parker,RB,Saint Louis,MO,5'9'',175,,Iowa,,9,,,2013,Iowa,,, None, None,
Anjeus Jones,WR,Dallas,TX,6'3'',195,,Iowa,,,,,2013,Iowa,,, None, None,
Akrum Wadley,ATH,Newark,NJ,5'10'',180,,Iowa,,,,,2013,Iowa,,, None, None,
Josey Jewell,OLB,Decorah,IA,6'2'',200,,Iowa,,,,,2013,Iowa,,,,,
Drew Cook,ATH,Iowa City,IA,6'4'',205,80.0,Iowa,,,,,2015,Iowa,,,,,
James Daniels,OC,Warren,OH,6'2'',282,79.0,Iowa,,5,,,2015,Iowa,,,,,
Jacob Newborg,OG,Inwood,IA,6'2'',271,77.0,Iowa,,54,64,2,2015,Iowa,,,,,
Emmanuel Ogwo,WR,Mesquite,TX,6'0'',170,77.0,Iowa,,120,,,2015,Iowa,,,,,
Anthony Nelson,DE,Waukee,IA,6'6'',215,76.0,Iowa,,80,83,3,2015,Iowa,,,,,
Justin Jinning,OLB,The Colony,TX,6'2'',210,76.0,Iowa,,179,147,77,2015,Iowa,,,,,
Adrian Falconer,WR,Leesburg,FL,6'0'',185,76.0,Iowa,,146,485,169,2015,Iowa,,,,,
Levi Paulsen,OT,Moville,IA,6'5'',255,76.0,Iowa,,106,,,2015,Iowa,,,,,
Landan Paulsen,OG,Moville,IA,6'5'',267,75.0,Iowa,,,,,2015,Iowa,,,,,
Brett Waechter,DE,Hartley,IA,6'4'',260,75.0,Iowa,,6,,,2015,Iowa,,,,,
Garret Jansen,DE,Pella,IA,6'1'',243,75.0,Iowa,,99,123,8,2015,Iowa,,,,,
Jack Hockaday,ATH,Maroa,IL,6'0'',200,75.0,Iowa,,116,,,2015,Iowa,,,,,
Ryan Boyle,QB,West Des Moines,IA,6'2'',205,75.0,Iowa,,39,125,9,2015,Iowa,,,,,
Brady Reiff,DE,Parkston,SD,6'3'',215,74.0,Iowa,,125,245,2,2015,Iowa,,,,,
Jerminic Smith,WR,Garland,TX,6'0'',175,72.0,Iowa,,193,290,229,2015,Iowa,,,,,
Nate Vejvoda,TE,New Lenox,IL,6'5'',217,72.0,Iowa,,24,199,46,2015,Iowa,,,,,
Michael Slater Jr.,DE,Chesterfield,MO,6'3'',250,71.0,Iowa,,149,,,2015,Iowa,,,,,
Angelo Garbutt,OLB,Carrollton,TX,6'1'',206,70.0,Iowa,,141,,,2015,Iowa,,,,,
Eric Graham,RB,Prattville,AL,5'8'',190,,Iowa,,NR,NR,NR,2015,Iowa,,,,,
Michael Ojemudia,OLB,Farmington Hills,MI,6'1'',190,,Iowa,,NR,,,2015,Iowa,,,,,
Nick Wilson,OLB,West Des Moines,IA,6'2'',210,,Iowa,,,,,2015,Iowa,,,,,
A.J. Epenesa,DE,Edwardsville,IL,6'5'',240,,84.0,,7,,,2017,Iowa,,Iowa,6,2,
Mark Kallenberger,OT,Bettendorf,IA,6'5'',250,,80.0,,29,,,2017,Iowa,,Iowa,,,
Peyton Mansell,QB-PP,Belton,TX,6'2'',193,,79.0,,19,,,2017,Iowa,,Iowa,78,64,
Max Cooper,WR,Waukesha,WI,6'0'',175,,79.0,,73,,,2017,Iowa,,Iowa,43,4,
Kyshaun Bryan,RB,Fort Lauderdale,FL,5'10'',188,,79.0,,37,,,2017,Iowa,,Iowa,224,79,
Levi Duwa,DE,Wellman,IA,6'2'',230,,78.0,,58,,,2017,Iowa,,Iowa,,,
Tristan Wirfs,OT,Mount Vernon,IA,6'5'',290,,78.0,,56,,,2017,Iowa,,Iowa,66,7,
Brandon Smith,WR,Lake Cormorant,MS,6'3'',197,,77.0,,131,,,2017,Iowa,,Iowa,356,20,
Ivory Kelly-Martin,RB,Oswego,IL,5'11'',195,,76.0,,74,,,2017,Iowa,,Iowa,,,
Ryan Gersonde,K,Milwaukee,WI,6'4'',180,,74.0,,31,,,2017,Iowa,,Iowa,134,9,
Henry Marchese,WR,Lincolnshire,IL,6'2'',185,,74.0,,182,,,2017,Iowa,,Iowa,135,25,
Coy Kirkpatrick,DT,Madrid,IA,6'4'',245,,73.0,,146,,,2017,Iowa,,Iowa,91,13,
Jacob Coons,TE-H,Solon,IA,6'3'',215,,73.0,,25,,,2017,Iowa,,Iowa,151,14,
Ihmir Smith-Marsette,CB,Newark,NJ,6'1'',175,,72.0,,118,,,2017,Iowa,,Iowa,,,
Matt Hankins,CB,Flower Mound,TX,6'0'',158,,72.0,,123,,,2017,Iowa,,Iowa,249,190,
Camron Harrell,ATH,Bradley,IL,5'10'',185,,72.0,,94,,,2017,Iowa,,Iowa,159,34,
Josh Turner,CB,Delray Beach,FL,5'11'',180,,71.0,,127,,,2017,Iowa,,Iowa,659,252,
Djimon Colbert,CB,Shawnee Mission,KS,6'1'',186,,70.0,,140,,,2017,Iowa,,Iowa,,,
Nate Wieland,,Iowa City,IA,6'2'',205,,,,,,,2017,Iowa,,Iowa,,,
Trey Creamer,CB,Cartersville,GA,6'0'',168,,,,,,,2017,Iowa,,Iowa,,,
Geno Stone,S,New Castle,PA,5'11'',190,,,,,,,2017,Iowa,,Iowa,,,
Daviyon Nixon,DT,Kenosha,WI,6'3'',272,,,,,,,2017,Iowa,,Iowa, None, None,
John Waggoner,DE,West Des Moines,IA,6'6'',242,,Iowa,,33,17,1,2018,Iowa,80.0,,,,
Spencer Petras,QB,Kentfield,CA,6'5'',207,,Iowa,,22,,,2018,Iowa,80.0,,,,
Dallas Craddieth,S,Florissant,MO,6'0'',194,,Iowa,,24,,,2018,Iowa,80.0,,,,
Daviyon Nixon,DT,Kenosha,WI,6'3'',290,,Iowa,,45th,,,2018,Iowa,79.0,,,,
Calvin Lockett,WR,Largo,FL,6'2'',160,,Iowa,,98,238,90,2018,Iowa,79.0,,,,
Tyler Linderbaum,DT,Solon,IA,6'2'',260,,Iowa,,47,48,2,2018,Iowa,78.0,,,,
Noah Shannon,DT,Oswego,IL,6'1'',306,,Iowa,,61,59,9,2018,Iowa,78.0,,,,
Samson Evans,ATH,Crystal Lake,IL,6'0'',200,,Iowa,,80,,,2018,Iowa,76.0,,,,
D.J. Johnson,CB,Indianapolis,IN,6'0'',170,,Iowa,,75,90,7,2018,Iowa,76.0,,,,
Jeff Jenkins,OG,Crystal Lake,IL,6'3'',260,,Iowa,,76,,,2018,Iowa,76.0,,,,
Julius Brents,S,Indianapolis,IN,6'2'',179,,Iowa,,61,104,10,2018,Iowa,76.0,,,,
Tyrone Tracy,RB,Indianapolis,IN,5'11'',185,,Iowa,,15,,,2018,Iowa,75.0,,,,
Cody Ince,OT,Balsam Lake,WI,6'5'',260,,Iowa,,104,,,2018,Iowa,74.0,,,,
Jack Plumb,OT,Green Bay,WI,6'7'',240,,Iowa,,115,,,2018,Iowa,74.0,,,,
Henry Geil,RB,Green Bay,WI,6'1'',203,,Iowa,,86,,,2018,Iowa,74.0,,,,
