Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank, Reg_rank, State_rank,Year,Team,University,Reg_rank,State_rank,School,University 
Martay Mattox,ATH,Athens,GA,6'1'',182,74.0,South Carolina,,147,,,2011,South Carolina,,,,,
Gerald Dixon Jr.,DT,Rock Hill,SC,6'2'',250,71.0,South Carolina,,152,,,2011,South Carolina,,,,,
Kaleb Broome,OT,Aiken,SC,6'6'',315,,South Carolina,,,,,2011,South Carolina,,,,,
Shaq Roland,WR,Lexington,SC,6'1'',180,82,South Carolina,,5,,,2012,South Carolina,,21,1,,
Mike Davis,RB,Stone Mountain,GA,5'10'',200,81,South Carolina,,6,,,2012,South Carolina,,,,,
Chaz Elder,S,College Park,GA,6'2'',185,80,South Carolina,,5,,,2012,South Carolina,,,,,
Brock Stadnik,OT,Greensboro,NC,6'5'',290,80,South Carolina,,16,,,2012,South Carolina,,,,,
Jody Fuller,WR,Monroe,NC,6'0'',203,80,South Carolina,,31,,,2012,South Carolina,,90,9,,
Kaiwan Lewis,ILB,Hammonton,NJ,6'2'',230,80,South Carolina,,9,,,2012,South Carolina,,,,,
Kwinton Smith,WR,Dillon,SC,6'3'',192,80,South Carolina,,33,,,2012,South Carolina,,,,,
Kelvin Rainey,TE,Yulee,FL,6'3'',212,79,South Carolina,,12,,,2012,South Carolina,,,,,
Joe Harris,OG,Lithonia,GA,6'3'',327,79,South Carolina,,18,,,2012,South Carolina,,,,,
Jordan Diggs,S,Cape Coral,FL,6'0'',195,79,South Carolina,,17,,,2012,South Carolina,,,,,
Jhaustin Thomas,DE,Decatur,GA,6'6'',240,79,South Carolina,,38,,,2012,South Carolina,,154,37,,
Darius English,DE,Powder Springs,GA,6'5'',215,79,South Carolina,,47,,,2012,South Carolina,,179,41,,
Chris Moody,ATH,McDonough,GA,6'1'',190,79,South Carolina,,37,,,2012,South Carolina,,,,,
Cody Waldrop,OG,Seffner,FL,6'3'',315,79,South Carolina,,33,,,2012,South Carolina,,,,,
Carlos Hood,DT,Stone Mountain,GA,6'3'',270,78,South Carolina,,40,,,2012,South Carolina,,215,53,,
Brendan Nosovitch,QB,Allentown,PA,6'1'',195,78,South Carolina,,41,,,2012,South Carolina,,,,,
Kendric Salley,RB,Williston,SC,5'10'',205,78,South Carolina,,29,,,2012,South Carolina,,,,,
T.J. Holloman,OLB,Atlanta,GA,6'2'',220,78,South Carolina,,60,,,2012,South Carolina,,269,63,,
Clayton Stadnik,OC,Greensboro,NC,6'2'',250,78,South Carolina,,,,,2012,South Carolina,,,,,
Nicholas St. Germain,K,Powder Springs,GA,5'10'',165,78,South Carolina,,8,,,2012,South Carolina,,,,,
Kyle Fleetwood,ATH,Stone Mountain,GA,6'0'',195,77,South Carolina,,,,,2012,South Carolina,,,,,
