Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,University, Reg_rank, State_rank,University ,Stars
Winston Venable,S,Glendale,AZ,6'1'',210,,,,,,2009,Boise State,,,,,,,,,,,,Boise State,
Troy Ware,WR,Vista,CA,6'2'',166,76,,122,,,2010,Boise State,,,,,,,,,Boise State,138,95,,
Matt Miller,ATH,Helena,MT,6'4'',205,76,,111,,,2010,Boise State,,,,,,,,,Boise State,,,,
Bryan Douglas,CB,Harbor City,CA,5'10'',156,73,,100,,,2010,Boise State,,,,,,,,,Boise State,,,,
Grant Hedrick,QB,Independence,OR,6'0'',174,67,,168,,,2010,Boise State,,,,,,,,,Boise State,441, None,,
Holden Huff,WR,Rocklin,CA,,NR,Boise State,,,,,2010,Boise State,,,,,,,,,, None, None,,
Kyle Sosnowski,TE,Boise,ID,6'3'',215,NR,,NR,,,2010,Boise State,,,,,,,,,Boise State, NR, NR,,
Jeremy Ioane,S,Honolulu,HI,5'10'',190,NR,,,,,2010,Boise State,,,,,,,,,Boise State,,,,
Tyler Horn,DE,Meridian,ID,6'4'',225,NR,,NR,,,2010,Boise State,,,,,,,,,Boise State, NR, NR,,
Darren Lee,OLB,Susanville,CA,6'2'',203,NR,,NR,,,2010,Boise State,,,,,,,,,Boise State,,,,
Tyrone Crawford,DE,Windsor,ON,6'5'',260,NR,,,,,2010,Boise State,,,,,,,,,Boise State, NR, NR,,
Ben Weaver,ILB,Klein,TX,6'1'',225,Boise State,,17,,,2012,Boise State,,,,,,,,,,80,64,,79
Mario Yakoo,OG,Spring Valley,CA,6'3'',325,Boise State,,46,,,2012,Boise State,,,,,,,,,,93,64,,78
Travis Averill,OG,Anaheim,CA,6'4'',275,Boise State,,56,,,2012,Boise State,,,,,,,,,,,,,77
Donte Deayon,CB,Fontana,CA,5'9'',145,Boise State,,,,,2012,Boise State,,,,,,,,,, None, None,,77
Chanceller James,Spring Valley,CA,Steele Canyon High School,6'2'',182,Boise State,,48,,,2012,Boise State,,,,,,,,,,,,,76
Andrew Pint,ILB,Highlands Ranch,CO,6'2'',220,Boise State,,35,,,2012,Boise State,,,,,,,,,,194,12,,76
Christopher Santini,SS,San Jose,CA,Leland High School,6'1'',76,,,,,2012,Boise State,,,,,,,,,Boise State, None, None,,197
Devan Demas,RB,Houston,TX,Cypress Creek High School,5'7'',76,,214,,,2012,Boise State,,,,,,,,,Boise State,,,,170
Jack Fields,RB,El Paso,TX,Americas High School,5'10'',75,,248,,,2012,Boise State,,,,,,,,,Boise State,,,,200
