Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  
Corbin Grassman,LS,Johnstown,OH,,215,NR,Buffalo,,,,,2013,Buffalo,,,,
Tedroy Lynch,DE,Mechanicsburg,PA,,245,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Brandon Manosalvas,OT,Paramus,NJ,,280,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Joseph Schillace,FB,Auburn,NY,,230,NR,Buffalo,,,,,2013,Buffalo,,,,
Zach Smekal,DT,Medford,NJ,,255,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Chris Ford,DT,Medina,OH,,302,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Solomon Jackson,ILB,Tucker,GA,,218,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Jarrett Franklin,OLB,Saint Charles,MO,,190,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Blake Bean,ILB,Wichita,KS,,232,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Gary Hosey,ILB,Detroit,MI,5'10'',226,,74.0,Buffalo,45,,,2014,Buffalo,177,27,,
William White,ILB,Detroit,MI,6'0'',220,,71.0,Buffalo,54,,,2014,Buffalo,241,40,,
Nolan Jackson-Daniel,WR,Shaker Heights,OH,6'0'',175,,,Buffalo,,,,2014,Buffalo,,,,
Randy Anyanwu,DE,Lovejoy,GA,6'3'',220,,,Buffalo,,,,2014,Buffalo, None, None,,
Marquel Dickerson,ATH,Waldorf,MD,5'9'',187,,,Buffalo,,,,2014,Buffalo,,,,
Zach Abey,ATH,Severn,MD,6'1'',190,,,Buffalo,,,,2014,Buffalo,,,,
Jake Khoury,DT,Traverse City,MI,6'2'',274,,,Buffalo,NR,,,2014,Buffalo,,,,
Andy Fidler,OT,Port Washington,WI,6'6'',255,,,Buffalo,,,,2014,Buffalo, None, None,,
Ishmael Hargrove,S,Bedford,OH,6'1'',190,,,Buffalo,NR,,,2014,Buffalo, NR, NR,,
Skylar Hartley,OG,Hilliard,OH,6'1'',317,,,Buffalo,,,,2014,Buffalo, None, None,,
Kevin Rogers,QB-PP,Cincinnati,OH,6'3'',195,,,Buffalo,,,,2014,Buffalo,,,,
Myles Nicholas,OLB,Rochester,NY,6'2'',220,,,Buffalo,NR,,,2014,Buffalo, NR, NR,,
Zach Nicholas,S,Ellicott City,MD,5'11'',190,,,Buffalo,,,,2014,Buffalo, None, None,,
Brandon Williams,CB,Hampton,GA,5'10'',170,,,Buffalo,,,,2014,Buffalo,,,,
Corey Henderson,ILB,King George,VA,6'2'',240,,,Buffalo,NR,,,2014,Buffalo, NR, NR,,
Adam Mitcheson,K,Vandergrift,PA,6'1'',190,,,Buffalo,,,,2014,Buffalo,,,,
James O'Hagan,OG,Seaford,NY,6'3'',285,,,Buffalo,NR,,,2014,Buffalo, NR, NR,,
Ryan Williamson,CB,Cincinnati,OH,5'9'',165,,,Buffalo,,,,2014,Buffalo, None, None,,
J.R. Zazzara,QB-DT,Syracuse,NY,6'2'',185,,,Buffalo,,,,2014,Buffalo,,,,
August Schwartzmeier,DT,Hilton,NY,6'4'',275,,,Buffalo,NR,,,2014,Buffalo, NR, NR,,
Terrance Wilson,CB,Buford,GA,5'10'',180,,,Buffalo,,,,2014,Buffalo,,,,
Juwan Jackson,ATH,Newark,NJ,6'4'',195,,,Buffalo,,,,2014,Buffalo, None, None,,
Gusty Schwartzmeier,DT,Hilton,NY,6'4'',280,,,Buffalo,,,,2014,Buffalo,,,,
Johnathan Hawkins,RB,Hoschton,GA,5'11'',213,,78.0,Buffalo,60,308,69,2015,Buffalo,,,,
Cameron Lewis,WR,Detroit,MI,5'10'',156,,69.0,Buffalo,224,241,43,2015,Buffalo,,,,
Tyree Jackson,QB,North Shores,MI,6'3'',200,,66.0,Buffalo,47,,,2015,Buffalo,,,,
K.J. Osborn,ATH,Ypsilanti,MI,5'11'',170,,,Buffalo,,,,2015,Buffalo,,,,
Brandon Smiley,WR,Buffalo,NY,6'1'',195,,,Buffalo,,,,2015,Buffalo,,,,
Matt Seybert,TE,Traverse City,MI,6'4'',230,,,Buffalo,,,,2015,Buffalo,,,,
Brandon Stanback,S,Harrisburg,PA,5'11'',190,,,Buffalo,NR,,,2015,Buffalo,,,,
Tyler Mabry,TE,Bradenton,FL,6'4'',235,,,Buffalo,NR,NR,NR,2015,Buffalo,,,,
Duke Hwang,DT,Williamsville,NY,6'1'',280,,,Buffalo,,,,2015,Buffalo,,,,
Dev Lamour,S,Montreal,QC,6'0'',190,,,Buffalo,,,,2015,Buffalo,,,,
Christian Gonzalez,DT,New Berlin,NY,6'2'',290,,,Buffalo,,,,2015,Buffalo,,,,
Cameron Skipworth,CB,Baldwinsville,NY,5'10'',160,,,Buffalo,,,,2015,Buffalo,,,,
Alex Curts,OG,Mount Vernon,OH,6'3'',260,,,Buffalo,NR,NR,NR,2015,Buffalo,,,,
Charles Harris,DE,Southfield,MI,6'3'',240,,,Buffalo,,,,2015,Buffalo,,,,
Justin Brandon,DT,Indianapolis,IN,6'0'',280,,,Buffalo,,,,2015,Buffalo,,,,
Evin Ksiezarczyk,OT,West Seneca,NY,6'5'',295,,,Buffalo,,,,2015,Buffalo,,,,
Jeremiah Dadeboe,S,York,PA,6'2'',185,,,Buffalo,,,,2015,Buffalo,,,,
Emmanuel Reed,RB,Crestview,FL,5'6'',187,,,Buffalo,NR,NR,NR,2015,Buffalo,,,,
Roubbens Joseph,OG,Troy,NY,6'4'',300,,,Buffalo,,,,2015,Buffalo,,,,
Torey Hendrick,DE,Brooklyn,NY,6'4'',225,,,Buffalo,,,,2015,Buffalo,,,,
Jordan Collier,S,Birmingham,AL,5'10'',185,,,Buffalo,,,,2015,Buffalo,,,,
Colin Lisa,WR,Birmingham,AL,5'10'',177,,,Buffalo,,,,2015,Buffalo,,,,
Tyrone Hill,S,Ramsey,NJ,6'1'',190.0,,77,Buffalo,59,,,2016,Buffalo,96,21,,
Taylor Sheets,K,Fort Mill,SC,6'3'',205.0,,74,Buffalo,28,,,2016,Buffalo,484,21,,
Jordan Overton,WR,Lyndhurst,OH,5'8'',170.0,,69,Buffalo,212,,,2016,Buffalo,221,78,,
Roy Baker,CB,Miami,FL,6'1'',165.0,,,Buffalo,,,,2016,Buffalo,,,,
Jonathan Lee,RB,Riverdale,MD,5'11'',187.0,,,Buffalo,,,,2016,Buffalo,,,,
Kameron Pickett,RB,Suwanee,GA,5'11'',205.0,,,Buffalo,NR,,,2016,Buffalo,,,,
Kayode Awosika,OT,Maple Grove,MN,6'4'',255.0,,,Buffalo,,,,2016,Buffalo,,,,
Kadofi Wright,OLB,Richmond,VA,6'3'',184.0,,,Buffalo,,,,2016,Buffalo,,,,
Matt Otwinowski,ILB,La Porte,IN,6'2'',220.0,,,Buffalo,NR,,,2016,Buffalo, NR, NR,,
Jake Fuzak,DT,Williamsville,NY,6'4'',265.0,,,Buffalo,,,,2016,Buffalo,,,,
Justin Mullbah,S,Laurel,MD,5'11'',205.0,,,Buffalo,NR,,,2016,Buffalo, NR, NR,,
Antonio Nunn,WR,Tampa,FL,6'0'',190.0,,,Buffalo,NR,,,2016,Buffalo,,,,
Alex Curts,OG Mount Vernon,OH,6'3'',260,,,Buffalo,,,,,2016,Buffalo, None, None,,
Tomas Jack-Kurdyla,OT,Montreal,CAN,6'4'',295.0,,,Buffalo,NR,,,2016,Buffalo, NR, NR,,
Dominic Johnson,QB London,ONT,CAN,6'6'',205.0,,,Buffalo,,,,2016,Buffalo, None, None,,
Zac Lefebvre,TE Victor,NY,6'5'',245,,,Buffalo,,,,,2016,Buffalo,,,,
Connor Morehart,OG Reading,PA,6'4'',315,,,Buffalo,,NR,,,2016,Buffalo, NR, NR,,
Tim Roberts,S Fullerton,CA,6'1'',195,,,Buffalo,,,,,2016,Buffalo, None, None,,
Levarious Varnado,CB Fulton,MS,5'9'',175,,,Buffalo,,,,,2016,Buffalo,,,,
Khalil Hodge,ILB Stockton,CA,6'2'',240,,,Buffalo,,NR,,,2016,Buffalo,,,,
Caleb Wilson,ILB Coalinga,CA,6'1'',250,,,Buffalo,,,,,2016,Buffalo,,,,
Kamathi Holsey,WR Chesapeake,VA,6'4'',210,,,Buffalo,,NR,,,2016,Buffalo,,,,
O.J. O'Neal,CB Raymond,MS,6'1'',195,,,Buffalo,,,,,2016,Buffalo, None, None,,
Grant Rohach,QB Moorpark,CA,6'2'',217,,,Buffalo,,,,,2016,Buffalo,,,,
Rodney Scott,WR,Miami,FL,6'0'',166,4,79,Buffalo,253,,,2017,Buffalo,95,89,,
Jeremiah Riordan,LS,Detroit,MI,6'1'',220,3,68,Buffalo,9,,,2017,Buffalo,187,34,,
Rick Squires,WR,Pittsburgh,PA,6'0'',195,NR,,,,,,2017,Buffalo,,,,
Kobe Green,S,Deerfield Beach,FL,5'11'',186,NR,,,NR,,,2017,Buffalo, NR, NR,,
James Patterson,ILB,Laurel,MD,6'0'',210,NR,,,NR,,,2017,Buffalo, NR, NR,,
Jaret Patterson,RB,Laurel,MD,5'8'',170,NR,,,,,,2017,Buffalo, None, None,,
