Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University  
Tevin Mitchel,CB,Mansfield,TX,5'11'',175,Arkansas,,16,,,2011,Arkansas,79.0,,,,
Demarcus Hodge,DT,Monroe,LA,6'1'',290,Arkansas,,40,,,2011,Arkansas,78.0,,,,
Davyon McKinney,WR,Forrest City,AR,6'2'',180,Arkansas,,60,,,2011,Arkansas,78.0,185,,,
Kelvin Fisher Jr.,RB,Gilbert,AZ,5'11'',180,Arkansas,,32,,,2011,Arkansas,78.0,,,,
Brandon Allen,QB,Fayetteville,AR,6'2'',210,Arkansas,,30,,,2011,Arkansas,78.0,,,,
Rohan Gaines,ATH,Bainbridge,GA,6'1'',180,Arkansas,,70,,,2011,Arkansas,78.0,245,56,,
Austin Beck,DT,Nowata,OK,6'7'',285,Arkansas,,62,,,2011,Arkansas,77.0,,,,
Grady Ollison,DT,Malvern,AR,6'4'',270,Arkansas,,76,,,2011,Arkansas,77.0,,,,
Trey Flowers,DE,Huntsville,AL,6'3'',240,Arkansas,,108,,,2011,Arkansas,76.0,,,,
Horace Arkadie,DE,Irving,TX,6'3'',220,Arkansas,,123,,,2011,Arkansas,76.0,,,,
Kody Walker,RB,Jefferson City,MO,6'1'',230,Arkansas,,99,,,2011,Arkansas,75.0,,,,
Marquel Wade,WR (POST),Jacksonville,FL,5'11'',180,Arkansas,,,,,2011,Arkansas,74.0,,,,
Brock Haman,ATH,Scottsdale,AZ,6'3'',225,Arkansas,,152,,,2011,Arkansas,74.0,209,22,,
Kane Whitehurst,ATH,Alpharetta,GA,5'11'',175,Arkansas,,,,,2011,Arkansas,74.0,,,,
Jashaud Sims,S,Dickinson,TX,6'4'',190,Arkansas,,115,,,2011,Arkansas,74.0,,,,
Marcus Danenhauer,OG,Bentonville,AR,6'5'',315,Arkansas,,112,,,2011,Arkansas,73.0,681,,,
Darrell Kelly-Thomas,DE,Lufkin,TX,6'2'',220,Arkansas,,238,,,2011,Arkansas,,,,,
Tyler Gilbert,ILB (POST),River Ridge,LA,6'3'',245,Arkansas,,,,,2011,Arkansas,,,,,
Brett Weir,TE,London,ONT, CAN,6'5'',,Arkansas,109,,,2011,Arkansas,220.0,,,,
Robert Thomas,DT (JC),Muskogee,OK,6'1'',310,Arkansas,,,,,2011,Arkansas,,,,,
Jason Peacock,OT (JC),Milledgeville,GA,6'4'',315,Arkansas,,,,,2011,Arkansas,,,,,
Alonzo Highsmith,OLB (JC),Missouri City,TX,6'1'',220,Arkansas,,,,,2011,Arkansas,,,,,
Kiero Small,FB (JC),Baltimore,MD,5'9'',255,Arkansas,,NR,,,2011,Arkansas,,NR,NR,,
Chris Stringer,OT (JC),Rancho Cucamonga,CA,6'6'',305,Arkansas,,,,,2011,Arkansas,,,,,
Robert Atiga,OLB (JC),West Valley City,UT,6'3'',240,Arkansas,,,,,2011,Arkansas,,,,,
D'Arthur Cowan,WR,Olive Branch,MS,6'1'',175,80.0,Arkansas,28,,,2012,Arkansas,,37,4,,
Keon Hatcher,WR,Owasso,OK,6'2'',205,80.0,Arkansas,,,,2012,Arkansas,,,,,
Demetrius Dean,TE,Fayetteville,AR,6'3'',240,80.0,Arkansas,15,,,2012,Arkansas,,,,,
Jeremy Ward,OG,Pottsville,AR,6'3'',280,79.0,Arkansas,17,,,2012,Arkansas,,,,,
Jonathan Williams,RB,Allen,TX,6'0'',205,79.0,Arkansas,38,,,2012,Arkansas,,,,,
Otha Peters,OLB,Covington,LA,6'1'',215,79.0,Arkansas,,,,2012,Arkansas,,,,,
Taiwan Johnson,DE,Alvin,TX,6'3'',230,79.0,Arkansas,29,,,2012,Arkansas,,164,16,,
Darius Philon,DT,Prichard,AL,6'1'',263,79.0,Arkansas,46,,,2012,Arkansas,,177,7,,
Brandon Lewis,DE,Memphis,TN,6'4'',225,79.0,Arkansas,24,,,2012,Arkansas,,,,,
Donovan Roberts,RB,Norman,OK,5'11'',195,79.0,Arkansas,32,,,2012,Arkansas,,198,10,,
Cordale Boyd,OG,Memphis,TN,6'2'',303,79.0,Arkansas,,,,2012,Arkansas,,,,,
Nathan Holmes,ATH,Port Arthur,TX,6'0'',175,78.0,Arkansas,,,,2012,Arkansas,,,,,
JaMichael Winston,DE,Prichard,AL,6'5'',230,78.0,Arkansas,,,,2012,Arkansas,,,,,
Defonta Lowe,ATH,Bearden,AR,6'2'',185,77.0,Arkansas,40,,,2012,Arkansas,,361,6,,
Jeremy Sprinkle,TE,White Hall,AR,6'5'',210,77.0,Arkansas,48,,,2012,Arkansas,,385,84,,
Ray Buchanan Jr.,CB,Suwanee,GA,5'10'',175,77.0,Arkansas,150,,,2012,Arkansas,,,,,
Deatrich Wise,DE,Carrollton,TX,6'5'',217,75.0,Arkansas,206,,,2012,Arkansas,,260,206,,
