Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Jair Anderson,WR,Duluth,GA,6'1'',186.0,79.0,Georgia Tech,,95,,,2016,Georgia Tech,264,52,
Dedrick Mills,RB,Waycross,GA,5'11'',215.0,78.0,Georgia Tech,,55,,,2016,Georgia Tech,305,56,
Jay Jay Jones,ATH,McCalla,AL,6'1'',174.0,78.0,Georgia Tech,,48,,,2016,Georgia Tech,310,22,
Chris Martin,DT,Loganville,GA,6'2'',260.0,78.0,Georgia Tech,,50,,,2016,Georgia Tech,,,
Desmond Branch,DE,Rio Rancho,NM,6'3'',265.0,76.0,Georgia Tech,,13,,,2016,Georgia Tech,,,
Emanuel Bridges,OLB,Newnan,GA,6'3'',215.0,76.0,Georgia Tech,,41,,,2016,Georgia Tech,,,
Jarett Cole,S,Norcross,GA,5'10'',180.0,76.0,Georgia Tech,,387,,,2016,Georgia Tech,,,
Jalen Camp,ATH,Cumming,GA,6'1'',201.0,76.0,Georgia Tech,,,,,2016,Georgia Tech,,,
Jahaziel Lee,DE,Ponchatoula,LA,6'3'',243.0,75.0,Georgia Tech,,96,,,2016,Georgia Tech,,,
Brandon Adams,DT,Brentwood,TN,6'2'',327.0,73.0,Georgia Tech,,85,,,2016,Georgia Tech,,,
Steve Dolphus,WR,Macon,GA,6'4'',205.0,72.0,Georgia Tech,,176,,,2016,Georgia Tech,,,
Kenny Cooper,OG,Calhoun,GA,6'3'',287.0,71.0,Georgia Tech,,627,,,2016,Georgia Tech,96,134,
Jakob Brashear,OLB,Dacula,GA,6'1'',210.0,71.0,Georgia Tech,,109,,,2016,Georgia Tech,,,
Lucas Johnson,QB,San Diego,CA,6'3'',189.0,68.0,Georgia Tech,,,,,2016,Georgia Tech,,,
Ajani Kerr,,Powder Springs,GA,,,,Georgia Tech,,,,,2016,Georgia Tech,,,
Bruce Jordan-Swilling,RB,New Orleans,LA,6'1'',209,,82,Georgia Tech,17,89,9,2017,Georgia Tech,,,
Tre Swilling,CB,New Orleans,LA,6'0'',185,,80,Georgia Tech,27,133,13,2017,Georgia Tech,,,
Jaquan Henderson,OLB,Covington,GA,6'1'',197,,80,Georgia Tech,23,158,39,2017,Georgia Tech,,,
Jaytlin Askew,CB,Powder Springs,GA,5'9'',187,,80,Georgia Tech,32,165,41,2017,Georgia Tech,,,
Cortez Alston,DE,Atlanta,GA,6'3'',247,,78,Georgia Tech,59,290,67,2017,Georgia Tech,,,
