Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University,Stars, Reg_rank, State_rank
Garrett Dickerson,TE-Y,Oradell,NJ,6'4'',240,82.0,,4,,,2014,Northwestern,Northwestern,,,
Justin Jackson,RB,Carol Stream,IL,5'11'',175,81.0,,31,,,2014,Northwestern,Northwestern,,,
Solomon Vault,RB,Gaithersburg,MD,5'10'',185,80.0,,37,46,6,2014,Northwestern,Northwestern,,,
Auston Anderson,RB,Plano,TX,5'9'',180,79.0,,53,,,2014,Northwestern,Northwestern,,,
Fred Wyatt,DT,Lawrence,KS,6'4'',260,78.0,,6,,,2014,Northwestern,Northwestern,,,
Nathan Hall,WR,Sylvania,OH,6'3'',200,77.0,,102,,,2014,Northwestern,Northwestern,,,
Ben Oxley,OT,Avon Lake,OH,6'6'',260,76.0,,76,,,2014,Northwestern,Northwestern,,,
James Prather,DE,Memphis,TN,6'4'',237,75.0,,96,,,2014,Northwestern,Northwestern,,,
Blake Hance,OT,Jacksonville,IL,6'6'',260,75.0,,99,,,2014,Northwestern,Northwestern,,,
Tommy Doles,OT,Grand Rapids,MI,6'5'',250,73.0,,134,208,33,2014,Northwestern,Northwestern,,,
Cameron Queiro,OLB,Oradell,NJ,6'0'',195,70.0,,155,258,54,2014,Northwestern,Northwestern,,,
Xavier Washington,DE,Cedar Hill,TX,6'1'',235,,,NR,NR,NR,2014,Northwestern,Northwestern,,,
Jared McGee,S,Mansfield,TX,6'1'',190,,,NR,,,2014,Northwestern,Northwestern,,,
Flynn Nagel,WR,Chicago,IL,5'11'',184,Northwestern,,43,,,2015,Northwestern,,78, None,12
Nathan Fox,ILB,Houston,TX,6'3'',222,Northwestern,,22,,,2015,Northwestern,,78,131,109
Jared Thomas,OG,Indianapolis,IN,6'3'',255,Northwestern,,46,,,2015,Northwestern,,78,56,6
Cameron Green,WR,Lincolnshire,IL,6'2'',201,Northwestern,,,,,2015,Northwestern,,78, None, None
Trent Goens,DE,Chino Hills,CA,6'3'',239,Northwestern,,83,,,2015,Northwestern,,78,121, None
Simba Short,OLB,Concord,CA,6'2'',200,Northwestern,,47,,,2015,Northwestern,,77,,
John Moten,RB,Saint Louis,MO,6'0'',188,Northwestern,,154,,,2015,Northwestern,,77,82,9
Jordan Thompson,DE,Cincinnati,OH,6'2'',240,Northwestern,,70,,,2015,Northwestern,,77,,
Adam Lemke-Bell,OT,Oak Park,IL,6'5'',260,Northwestern,,91,,,2015,Northwestern,,77,77,21
Tommy Vitale,OLB,Wheaton,IL,6'2'',215,Northwestern,,70,,,2015,Northwestern,,76,,
Charles Fessler,WR,Erie,PA,6'4'',195,Northwestern,,142,,,2015,Northwestern,,76,127,24
Steven Reese,S,Buford,GA,6'1'',190,Northwestern,,90,,,2015,Northwestern,,75,540,125
Joe Gaziano,DE,Westwood,MA,6'3'',230,Northwestern,,121,,,2015,Northwestern,,74,176,5
Jacob Murray,S,Coppell,TX,6'1'',194,Northwestern,,101,,,2015,Northwestern,,74,234,188
Lloyd Yates,QB-DT,Oak Park,IL,6'1'',180,Northwestern,,44,,,2015,Northwestern,,74,,
Andrew Otterman,OG,Morristown, NJ,6'3'',285,Northwestern,,120,,,2015,Northwestern,,73,,
Jelani Roberts,WR,Baltimore,MD,5'7'',153,Northwestern,,203,,,2015,Northwestern,,73,35, None
Trae Williams,RB,The Plains,OH,5'11'',195,Northwestern,,163,,,2015,Northwestern,,71,,
Alonzo Mayo,CB,Baltimore,MD,5'10'',172,Northwestern,,147,,,2015,Northwestern,,67,,
Montre Hartage,CB,Cordele,GA,5'11'',180,Northwestern,,NR,,,2015,Northwestern,,NR,,
Earnest Brown,DE,Denton,TX,6'5'',233,Northwestern,,31,,,2017,Northwestern,,80,70,60
Austin Hiller,S,Austin,TX,6'1'',196,Northwestern,,27,,,2017,Northwestern,,80,71,61
Sam Miller,DE,Houston,TX,6'3'',250,Northwestern,,39,,,2017,Northwestern,,79,84,69
Sam Gerak,OC,Avon,OH,6'3'',270,Northwestern,,6,,,2017,Northwestern,,79,48,19
Trey Pugh,TE,Plain City,OH,6'5'',225,Northwestern,,14,,,2017,Northwestern,,79,,
Trevor Kent,ATH,Pittsburg,KS,6'4'',252,Northwestern,,44,,,2017,Northwestern,,79,,
Rashawn Slater,OG,Sugar Land,TX,6'3'',269,Northwestern,,49,,,2017,Northwestern,,78,,
J.R. Pace,S,College Park,GA,6'1'',183,Northwestern,,47,,,2017,Northwestern,,77,345,75
Ethan Wiederkehr,OT,Shoreham,NY,6'5'',280,Northwestern,,65,,,2017,Northwestern,,77,,
Berkeley Holman,WR,Bellflower,CA,5'11'',178,Northwestern,,135,,,2017,Northwestern,,77,116,70
Andrew Marty,QB-PP,Wyoming,OH,6'4'',200,Northwestern,,32,,,2017,Northwestern,,77,77,30
Jace James,WR,Carol Stream,IL,6'0'',185,Northwestern,,,,,2017,Northwestern,,77, None, None
Kyric McGowan,ATH,Dalton,GA,5'10'',184,Northwestern,,,,,2017,Northwestern,,76,,
Peter McIntyre,OLB,Toledo,OH,6'2'',213,Northwestern,,59,,,2017,Northwestern,,76,,
Charlie Kuhbander,K,Springboro,OH,5'11'',185,Northwestern,,10,,,2017,Northwestern,,76,98,36
Blake Gallagher,ILB,Needham,MA,6'1'',220,Northwestern,,32,,,2017,Northwestern,,75,,
Bryce Jackson,S,Denton,TX,6'0'',181,Northwestern,,,,,2017,Northwestern,,74, None, None
Cameron Ruiz,CB,Lake Villa,IL,5'10'',165,Northwestern,,,,,2017,Northwestern,,72, None, None
Chee Anyanwu,S,Buford,GA,6'1'',190,Northwestern,,111,,,2017,Northwestern,,71,,
Luke Otto,K,Normal,IL,5'11'',225,Northwestern,,,,,2017,Northwestern,,TR,,
Devin O'Rourke,DE,Frankfort,IL,"6'6""",244,80.0,,19,,,2018,Northwestern,Northwestern,,20,4
Wyatt Blake,OG,Crystal Lake,IL,"6'4""",308,80.0,,25,,,2018,Northwestern,Northwestern,,23,4
Jason Whittaker,QB,Rockford,MI,"6'5""",200,80.0,,12,,,2018,Northwestern,Northwestern,,,
