Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,University 
Aviante Collins,OT,Houston,TX,6'5'',300,76.0,Texas Christian University,,52,209,158,2012,Texas Christian,,,,
Gerren Ballard,TE,Whitewright,TX,6'5'',230,76.0,Texas Christian University,,19,,,2012,Texas Christian,,,,
Jaden Oberkrom,K,Arlington,TX,6'2'',176,76.0,Texas Christian University,,137,257,203,2012,Texas Christian,,,,
Chad Childs,OT,La Grange,TX,6'5'',275,75.0,Texas Christian University,,31,326,257,2012,Texas Christian,,,,
Ethan Perry,K,Spring Branch,TX,6'4'',205,74.0,Texas Christian University,,NR,,,2012,Texas Christian,,,,
Derrick Kindred,CB,San Antonio,TX,5'9'',175,,Texas Christian University,,,,,2012,Texas Christian,,,,
Josh Carraway,DE,Flower Mound,TX,6'4'',225,,Texas Christian University,,,,,2012,Texas Christian,,,,
Ricky Collins,WR,Tyler,TX,6'0'',185,,Texas Christian University,,,,,2012,Texas Christian,,,,
Keivon Gamble,CB (JC),Dallas,TX,5'10'',185,,Texas Christian University,,,,,2012,Texas Christian,,,,
Tevin Lawson,OG,Denham Springs,LA,6'4'',275,83.0,,,6,,,2013,Texas Christian,,71,6,
Kyle Hicks,RB,Arlington,TX,5'10'',190,83.0,TCU,,18,,,2013,Texas Christian,,,,
Paul Whitmill,OLB,Bastrop,TX,6'0'',200,81.0,TCU,,29,,,2013,Texas Christian,,,,
Ty Slanina,ATH,East Bernard,TX,6'0'',185,79.0,TCU,,,,,2013,Texas Christian,,,,
Bryson Henderson,DE,Mansfield,TX,6'4'',240,78.0,TCU,,52,,,2013,Texas Christian,,,,
Charlie Reid,TE,Fort Worth,TX,6'3'',225,77.0,TCU,,14,,,2013,Texas Christian,,,,
Sammy Douglas,OLB,Arlington,TX,6'2'',190,77.0,TCU,,70,,,2013,Texas Christian,,,,
Dac Shaw,OLB,Mineola,TX,6'2'',205,77.0,TCU,,74,,,2013,Texas Christian,,143,112,
Eason Fromayan,OT,Alpharetta,GA,6'5'',270,77.0,TCU,,338,,,2013,Texas Christian,,62,79,
Patrick Morris,OG,Denton,TX,6'2'',280,77.0,TCU,,50,,,2013,Texas Christian,,,,
George Baltimore,S,Mansfield,TX,6'0'',195,76.0,TCU,,45,,,2013,Texas Christian,,,,
Trevorris Johnson,RB,Houston,TX,5'11'',206,76.0,TCU,,165,,,2013,Texas Christian,,,,
