Name,Pos,City,State,Height,Weight,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,Stars,University  ,University,Location,School, Reg_rank, State_rank
Nick Bowers,TE,Kittanning,PA,6'4'',235,77,,14,,,2015,Penn State,,,,,,,,,,,Penn State,,,89,13
Jake Cooper,ILB,Warminster,PA,6'1'',234,77,,24,,,2015,Penn State,,,,,,,,,,,Penn State,,,91,14
Tommy Stevens,QB,Indianapolis,IN,6'4'',193,77,,24,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
John Petrishen,ATH,Pittsburgh,PA,6'2'',200,77,,97.0,,,2015,Penn State,,,,,,,,,,,Penn State,,, None, None
Kevin Givens,OLB,Altoona,PA,6'3'',230,76,,76,,,2015,Penn State,,,,,,,,,,,Penn State,,,121,22
Ryan Buchholz,DE,Malvern,PA,6'6'',240,76,,129,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Jarvis Miller,S,Suffield,CT,6'2'',195,75,,145,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
C.J. Thorpe,OG,Pittsburgh,PA,6'4'',290,84,,5,8,3,2017,Penn State,,,,,,,,,,,Penn State,,,,
Sean Clifford,QB-PP,Cincinnati,OH,6'2'',210,84,,,,80,2017,Penn State,,,,,,,,,,,Penn State,,,,
Lamont Wade,CB,Clairton,PA,5'10'',187,83,,10,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Fred Hansard,DT,Princeton,NJ,6'3'',305,83,,12,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Ellis Brooks,ILB,Richmond,VA,6'2'',230,81,,8,23,5,2017,Penn State,,,,,,,,,,,Penn State,,,,
Yetur Matos,DE,Fredericksburg,VA,6'5'',238,81,,17,28,7,2017,Penn State,,,,,,,,,,,Penn State,,,,
Michael Miranda,OG,Stow,OH,6'3'',303,80,,21,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Jonathan Sutherland,S,Alexandria,VA,6'0'',188,80,,23,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
K.J. Hamler,WR,Bradenton,FL,5'9'',156,80,,59,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Corey Bolds,DT,Paramus,NJ,6'3'',286,80,,34,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
Tariq Castro-Fields,CB,Upper Marlboro,MD,6'1'',177,79,,10,,,2017,Penn State,,,,,,,,,,,Penn State,,,,
