Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Darin Gooch,OC (JC),Reno,NV,6'2'',305,,Tennessee,,,,,2010,Tennessee,,,,,,,,,,,
Malik Jackson,DE (TR),Van Nuys,CA,6'5'',245,,Tennessee,,,,,2010,Tennessee,,,,,,,,,,,
Drae Bowles,WR,Jackson,TN,6'1'',205,4.0,80.0,Tennessee,16,47,2,2012,Tennessee,,,,,,,,,,,
Dante Phillips,OT,Venice,FL,6'5'',270,4.0,80.0,Tennessee,12,,,2012,Tennessee,,,,,,,,,,,
Alton Howard,WR,Orlando,FL,5'9'',175,4.0,80.0,Tennessee,22,,,2012,Tennessee,,,,,,,,,,,
LaDarrell McNeil,S,Dallas,TX,6'1'',190,4.0,80.0,Tennessee,12,,,2012,Tennessee,,,,,,,,,,,
Justin Meredith,TE,Anderson,SC,6'5'',220,4.0,80.0,Tennessee,7,97,5,2012,Tennessee,,,,,,,,,,,
Deion Bonner,CB,Columbus,GA,5'11'',185,4.0,80.0,Tennessee,15,105,20,2012,Tennessee,,,,,,,,,,,
LaTroy Lewis,DE,Akron,OH,6'4'',225,4.0,79.0,Tennessee,30,33,14,2012,Tennessee,,,,,,,,,,,
Nathan Peterman,QB,Jacksonville,FL,6'1'',210,4.0,79.0,Tennessee,25,,,2012,Tennessee,,,,,,,,,,,
Trent Taylor,DT,Lakeland,FL,6'3'',245,4.0,79.0,Tennessee,28,161,57,2012,Tennessee,,,,,,,,,,,
Jason Croom,WR,Norcross,GA,6'4'',212,4.0,79.0,Tennessee,,,,2012,Tennessee,,,,,,,,,,,
Justin King,OLB,Dunwoody,GA,6'2'',210,4.0,79.0,Tennessee,46,,,2012,Tennessee,,,,,,,,,,,
Kenneth Bynum,OLB,Jacksonville,FL,6'0'',214,4.0,78.0,Tennessee,56,230,77,2012,Tennessee,,,,,,,,,,,
Davante Bourque,ATH,Crowley,LA,6'2'',205,4.0,78.0,Tennessee,50,,,2012,Tennessee,,,,,,,,,,,
Danny O'Brien,DT,Flint,MI,6'2'',290,4.0,77.0,Tennessee,50,389,86,2012,Tennessee,,,,,,,,,,,
Quenshaun Watson,RB,Athens,GA,5'9'',175,4.0,77.0,Tennessee,,,,2012,Tennessee,,,,,,,,,,,
Tino Thomas,ATH,Melrose, TN,5'11'',190,3.0,75.0,Tennessee,127,,,2012,Tennessee,,,,,,,,,,,
Cody Blanc,ATH,Knoxville,TN,6'1'',190,3.0,75.0,Tennessee,100,217,94,2012,Tennessee,,,,,,,,,,,
Alden Hill,RB,Alliance,OH,6'1'',220,3.0,74.0,Tennessee,105,686,251,2012,Tennessee,,,,,,,,,,,
Daniel Gray,CB,Fort Lauderdale,FL,5'11'',170,3.0,74.0,Tennessee,32,,,2012,Tennessee,,,,,,,,,,,
George Bullock,K,Knoxville,TN,6'2'',195,4.0,74.0,Tennessee,NR,NR,NR,2012,Tennessee,,,,,,,,,,,
Cordarrelle Patterson,WR,Rock Hill,SC,6'3'',200,,,Tennessee,,,,2012,Tennessee,,,,,,,,,,,
Daniel McCullers,DT,Raleigh,NC,6'6'',375,,,Tennessee,,,,2012,Tennessee,,,,,,,,,,,
Darrington Sentimore,DT,Destrehan,LA,6'3'',275,,,Tennessee,,,,2012,Tennessee,,,,,,,,,,,
Marquez North,WR,Charlotte,NC,6'3'',225.0,3,83,Tennessee,16,,,2013,Tennessee,,60,4,,,,,,,,
Joshua Dobbs,QB,Alpharetta,GA,6'3'',190.0,3,83,Tennessee,4,,,2013,Tennessee,,84,21,,,,,,,,
Riley Ferguson,QB,Matthews,NC,6'2'',190.0,3,83,Tennessee,16,,,2013,Tennessee,,,,,,,,,,,
Ryan Jenkins,WR,Marietta,GA,5'11'',179.0,3,82,Tennessee,47,,,2013,Tennessee,,,,,,,,,,,
Corey Vereen,OLB,Winter Garden,FL,6'2'',230.0,3,82,Tennessee,21,,,2013,Tennessee,,,,,,,,,,,
Austin Sanders,OT,Cleveland,TN,6'6'',286.0,3,81,Tennessee,24,,,2013,Tennessee,,180,8,,,,,,,,
Jaylen Miller,DE,Gaffney,SC,6'2'',263.0,3,80,Tennessee,36,,,2013,Tennessee,,197,5,,,,,,,,
Lemond Johnson,ATH,Cooper City,FL,6'0'',190.0,3,79,Tennessee,63,,,2013,Tennessee,,,,,,,,,,,
Cameron Sutton,WR,Jonesboro,GA,5'11'',170.0,3,79,Tennessee,65,,,2013,Tennessee,,231,46,,,,,,,,
Jason Carr,DT,Memphis,TN,6'5'',255.0,3,77,Tennessee,53,,,2013,Tennessee,,294,14,,,,,,,,
Paul Harris,WR,Upper Marlboro,MD,6'3'',190.0,3,77,Tennessee,,,,2013,Tennessee,,88,18,,,,,,,,
Dylan Wiesman,OG,Cincinnati,OH,6'4'',280.0,3,77,Tennessee,46,,,2013,Tennessee,,89,37,,,,,,,,
Malik Brown,DE,Palm Beach Gardens,FL,6'3'',220.0,3,76,Tennessee,63,,,2013,Tennessee,, None, None,,,,,,,,
Jalen Reeves-Maybin,ATH,Clarksville,TN,6'1'',198.0,3,76,Tennessee,375,,,2013,Tennessee,,107,16,,,,,,,,
Riyahd Jones,CB,Columbus,GA,6'0'',185.0,3,76,Tennessee,11,,,2013,Tennessee,,,,,,,,,,,
A.J. Branisel,TE-H,Chardon,OH,6'4'',225.0,3,76,Tennessee,18,,,2013,Tennessee,,,,,,,,,,,
Brett Kendrick,OT,Knoxville,TN,6'5'',289.0,3,75,Tennessee,432,,,2013,Tennessee,,,,,,,,,,,
Joshua Smith,WR,Knoxville,TN,6'1'',183.0,3,75,Tennessee,,,,2013,Tennessee,,146,27,,,,,,,,
Malik Foreman,ATH,Kingsport,TN,5'10'',164.0,3,73,Tennessee,140,,,2013,Tennessee,,540,33,,,,,,,,
Jabo Lee,RB,Dillon,SC,5'9'',180.0,3,73,Tennessee,113,,,2013,Tennessee,,,,,,,,,,,
Woody Quinn,TE-Y,Santa Ana,CA,6'5'',250.0,3,69,Tennessee,5,,,2013,Tennessee,,,,,,,,,,,
Johnathon Johnson,ATH,,,,,NR,Tennessee,,NR,,,2013,Tennessee,,,,,,,,,,,
