Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University  , Pos, City, State, Height, Weight, Grade, University,Grade 
Carter Lees,OG,Sugar Land,TX,6'5'',325,NR,Arizona,,, None, None,2010,Arizona,,,,,,,,,,,
Daniel Pettinato,DE,Grass Valley,CA,6'5'',222,NR,Arizona,,,,,2010,Arizona,,,,,,,,,,,
Fabbians Ebbele,OT,Chicago,IL,6'7'',290,NR,Arizona,,, None, None,2010,Arizona,,,,,,,,,,,
Aiulua Fanene,DT,Nu'uuli, American Samoa,SP,6'4'',280,NR,Arizona,,,,2010,Arizona,,,,,,,,,,,
Dexter Ransom,WR (JC),Seguin,TX,Blinn College,6'3'',215,NR,Arizona,NR,NR,NR,2010,Arizona,,,,,,,,,,,
Derek Earls,OLB (JC),Waconia,MN,North Dakota State College of Sci.,6'3'',220,NR,Arizona,,,,2010,Arizona,,,,,,,,,,,
Paul Vassallo,ILB (JC),Reno,NV,Sierra College,6'3'',240,NR,Arizona,,,,2010,Arizona,,,,,,,,,,,
Willie Mobley,DT (JC),Eden Prairie,MN,Orange Coast College,6'2'',270,NR,Arizona,,,,2010,Arizona,,,,,,,,,,,
Mohammed Usman,DE (JC),Arlington,TX,Navarro College,6'1'',240,NR,Arizona,,,,2010,Arizona,,,,,,,,,,,
Dan Buckner,WR (TR),Allen,TX,University of Texas,6'4'',215,TR,Arizona,,,,2010,Arizona,,,,,,,,,,,
Rob Hankins,ILB,Dallas,TX,6'1'',214,80,Arizona  ,,10,,,2011,Arizona,25,22,,,,,,,,,
Dominique Petties,OLB,Duncan,OK,6'0'',210,79,Arizona  ,,15,,,2011,Arizona,36,  None,,,,,,,,,
Hank Hobson, OLB, Bakersfield, CA, 6'2'', 213, 79, Arizona  ,,27,,,2011,Arizona,,,,,,,,,,,
Ka'Deem Carey, RB, Tucson, AZ, 5'9'', 184, 78, Arizona  ,,36,,,2011,Arizona,,,,,,,,,,,
Jared Baker, RB, Los Angeles, CA, 5'9'', 180, 78, Arizona  ,,,,,2011,Arizona,,,,,,,,,,,
Patrick Onwuasor, WR, Inglewood, CA, 6'2'', 194, 78, Arizona  ,,105,,,2011,Arizona,,,,,,,,,,,
