Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank, Reg_rank, State_rank,Year,Team,University,School,Reg_rank,State_rank,City State
Nolan Ulizio,OT,West Chester,OH,6'5'',295,78,Michigan,,78,,,2015,Michigan,,,,,
Grant Perry,WR,Bloomfield Hills,MI,5'11'',180,76,Michigan,,128,,,2015,Michigan,,,,,
Jon Runyan Jr.,OT,Philadelphia,PA,6'4'',276,76,Michigan,,119,,,2015,Michigan,,,,,
Andrew David,K,Massillon,OH,5'8'',165,75,Michigan,,10,,,2015,Michigan,,,109,45,
Keith Washington,ATH,Prattville,AL,6'1'',161,75,Michigan,,117,,,2015,Michigan,,,,,
Rashan Gary,DT,Paramus,NJ,6'4'',287,,94,,1,1,1,2016,Michigan,Michigan,,,,
Devin Asiasi,TE,Concord,CA,6'5'',272,,85,,3,,,2016,Michigan,Michigan,,,,
Kareem Walker,RB,Wayne,NJ,6'0'',200,,85,,4,6,2,2016,Michigan,Michigan,,,,
Ben Bredeson,OT,Hartland,WI,6'5'',293,,85,,4,,,2016,Michigan,Michigan,,,,
Brandon Peters,QB,Avon,IN,6'4'',209,,85,,4,,,2016,Michigan,Michigan,,,,
David Long,ATH,Los Angeles,CA,5'10'',176,,83,,5,,,2016,Michigan,Michigan,,,,
Ronald Johnson Jr.,DE,Camden,NJ,6'4'',226,,83,,15,13,4,2016,Michigan,Michigan,,,,
Michael Onwenu,OG,Detroit,MI,6'3'',370,,83,,8,11,2,2016,Michigan,Michigan,,,,
Dylan Crawford,WR,Rancho Santa Margarita,CA,6'1'',183,,82,,,,,2016,Michigan,Michigan,,,,
Devin Bush,OLB,Pembroke Pines,FL,5'11'',227,,82,,12,88,33,2016,Michigan,Michigan,,,,
Eddie McDoom,WR,Winter Garden,FL,5'11'',178,,82,,23,91,35,2016,Michigan,Michigan,,,,
Brad Hawkins,WR,Camden,NJ,6'1'',194,,82,,26,23,6,2016,Michigan,Michigan,,,,
Ahmir Mitchell,WR,Egg Harbor City,NJ,6'3'',206,,82,,33,25,7,2016,Michigan,Michigan,,,,
Nick Eubanks,TE,Plantation,FL,6'5'',215,,81,,2,122,46,2016,Michigan,Michigan,,,,
Lavert Hill,CB,Detroit,MI,5'10'',176,,80,,21,27,7,2016,Michigan,Michigan,,,,
Joshua Metellus,S,Pembroke Pines,FL,5'11'',180,,80,,22,,,2016,Michigan,Michigan,,,,
Carlo Kemp,DE,Boulder,CO,6'3'',262,,80,,42,63,1,2016,Michigan,Michigan,,,,
Elysee Mbem-Bosse,ILB,Ellenwood,GA,6'3'',230,,80,,13,172,37,2016,Michigan,Michigan,,,,
Khaleke Hudson,S,McKeesport,PA,5'11'',200,,78,,67, None,13,2016,Michigan,Michigan,,,,
Devin Gil,S,Pembroke Pines,FL,6'0'',205,,78,,46,,,2016,Michigan,Michigan,,,,
Michael Dwumfour,DT,Wayne,NJ,6'2'',286,,78,,48,78,15,2016,Michigan,Michigan,,,,
Sean McKeon,TE,Dudley,MA,6'5'',227,,77,,23,,,2016,Michigan,Michigan,,,,
Chris Evans,RB,Indianapolis,IN,5'11'',194,,76,,69,,,2016,Michigan,Michigan,,,,
Quinn Nordin,K,Rockford,MI,6'1'',200,,76,,9,87,19,2016,Michigan,Michigan,,,,
Joshua Uche,OLB,Miami,FL,6'2'',212,,76,,44,398,133,2016,Michigan,Michigan,,,,
Kingston Davis,RB,Prattville,AL,6'0'',225,,75,,,77,31,2016,Michigan,Michigan,,,,
Stephen Spanellis,OG,Baltimore,MD,6'5'',313,,75,,60,,,2016,Michigan,Michigan,,,,
Dytarious Johnson,OLB,Prattville,AL,6'0'',215,,73,,76,539,41,2016,Michigan,Michigan,,,,
Nate Johnson,WR,Franklin,TN,6'0'',170,,72,,180,,,2016,Michigan,Michigan,,,,
Donovan Peoples-Jones,WR,Detroit,MI,6'2'',200,88,Maryland,,4,2,1,2017,Michigan,,,,,
Cesar Ruiz,OC,Bradenton,FL,6'3'',321,86,Nebraska,,1,15,6,2017,Michigan,,,,,
Aubrey Solomon,DT,Leesburg,GA,6'3'',300,84,Syracuse,,5,,,2017,Michigan,,,,,
Luiji Vilain,DE,Alexandria,VA,6'4'',238,84,USC,,6,7,2,2017,Michigan,,,,,
Dylan McCaffrey,QB,Highlands Ranch,CO,6'5'',197,83,Washington,,117,21,1,2017,Michigan,,,,,
Jordan Anthony,ATH,Bradenton,FL,6'1'',226,83,Pittsburg,,124,59,24,2017,Michigan,,,,,
Chuck Filiaga,OT,Aledo,TX,6'6'',334,83,West Virginia,,137,,,2017,Michigan,,,,,
Nico Collins,WR,Pinson,AL,6'5'',202,82,Georgia,,21,72,5,2017,Michigan,,,,,
Drew Singleton,ILB,Paramus,NJ,6'2'',214,82,Florida,,4,19,5,2017,Michigan,,,,,
Ja'Raymond Hall,OT,Oak Park,MI,6'5'',280,82,Columbia,,,,,2017,Michigan,,,,,
Brad Hawkins,WR,Camden,NJ,6'1'',200,82,Syracuse,,17,,,2017,Michigan,,,,,
Ambry Thomas,CB,Detroit,MI,6'0'',174,82,Penn State,,22,,,2017,Michigan,,,,,
Joel Honigford,OT,Sugarcreek,OH,6'6'',273,82,Ohio State,,23,17,4,2017,Michigan,,,,,
Deron Irving-Bey,DT,Flint,MI,6'4'',265,81,Northwestern,,33,25,1,2017,Michigan,,,,,
Tarik Black,WR,Cheshire,CT,6'4'',206,81,Boston College,,15,19,5,2017,Michigan,,,,,
Joshua Ross,OLB,Orchard Lake,MI,6'2'',221,81,Maryland,,18,,,2017,Michigan,,,,,
O'Maury Samuels,RB,Los Lunas,NM,5'10'',192,81,Texas,,19,,,2017,Michigan,,,,,
Jaylen Kelly-Powell,S,Detroit,MI,6'0'',175,81,Syracuse,,26,40,1,2017,Michigan,,,,,
Corey Malone-Hatcher,DE,Saint Joseph,MI,6'3'',240,80,USC,,28,,,2017,Michigan,,,,,
J'Marick Woods,S,Florence,AL,6'3'',195,80,LSU,,60,35,3,2017,Michigan,,,,,
Kwity Paye,DE,Warwick,RI,6'4'',226,80,Boston College,,30,37,10,2017,Michigan,,,,,
Donovan Jeter,DE,Beaver Falls,PA,6'5'',270,80,LSU,,30,38,14,2017,Michigan,,,,,
Oliver Martin,WR,Iowa City,IA,6'1'',192,80,Indiana,,30,51,3,2017,Michigan,,,,,
Phillip Paea,DT,Berrien Springs,MI,6'3'',280,80,Penn State,,41,54,4,2017,Michigan,,,,,
James Hudson,DE,Toledo,OH,6'5'',275,80,Rutgers,,87,384,56,2017,Michigan,,,,,
Ben Mason,OLB,Sandy Hook,CT,6'3'',247,80,Vanderbilt,,14,,,2017,Michigan,,,,,
Andrew Stueber,OT,Darien,CT,6'7'',290,80,USC,,3,,,2017,Michigan,,,,,
Kurt Taylor,RB,Loganville,GA,5'8'',197,77,Mississippi State,,,,,2017,Michigan,,,,,
Brad Robbins,K,Westerville,OH,6'1'',180,76,Army,,,,,2017,Michigan,,,,,
Benjamin St-Juste,CB,Montreal,Quebec,CA,6'3'',189,75,,,,,2017,Michigan,Oregon,,,,
Braiden McGregor,ATH,Port Huron,MI,6'5'',230,86,Michigan,,2,2,1,2020,Michigan,,,,,
A.J. Henning,WR,Frankfort,IL,5'10'',175,84,Michigan,,16,5,1,2020,Michigan,,,,,
Blake Corum,RB,Laurel,MD,5'9'',178,84,Michigan,,13,15,5,2020,Michigan,,,,,
Andre Seldon Jr.,CB,Belleville,MI,5'8'',160,83,Michigan,,,13,4,2020,Michigan,,,,,
Jaylen Harrell,ILB,Tampa,FL,6'3'',235,83,Michigan,,6,,,2020,Michigan,,,,,
Jordan Morant,S,Oradell,NJ,6'0'',201,82,Michigan,,6,,,2020,Michigan,,,,,
Kalel Mullings,OLB,Milton,MA,6'1'',215,82,Michigan,,18,,,2020,Michigan,,,,,
Makari Paige,S,West Bloomfield,MI,6'2'',185,81,Michigan,,, None, None,2020,Michigan,,,,,
Darion Green-Warren,CB,Harbor City,CA,5'11'',190,81,Michigan,,19,,,2020,Michigan,,,,,
R.J. Moten,ATH,Delran,NJ,6'0'',195,81,Michigan,,16,34,7,2020,Michigan,,,,,
Zak Zinter,OG,North Andover,MA,6'5'',300,80,Michigan,,14,37,3,2020,Michigan,,,,,
Nikhai Hill-Green,OLB,Baltimore,MD,6'2'',220,80,Michigan,,30,38,11,2020,Michigan,,,,,
Aaron Lewis,DE,Williamstown,NJ,6'5'',235,80,Michigan,,32,39,9,2020,Michigan,,,,,
Roman Wilson,WR,Honolulu,HI,5'11'',167,80,Michigan,,54,,,2020,Michigan,,,,,
Jeffrey Persi,OT,San Juan Capistrano,CA,6'7'',265,80,Michigan,,36,,,2020,Michigan,,,,,
Osman Savage,OLB,Baltimore,MD,6'1'',220,79,Michigan,,35,,,2020,Michigan,,,,,
Eamonn Dennis,ATH,Shrewsbury,MA,5'11'',175,79,Michigan,,39,68,5,2020,Michigan,,,,,
Cornell Wheeler,ILB,West Bloomfield,MI,6'0'',230,79,Michigan,,12,,,2020,Michigan,,,,,
Reece Atteberry,OT,Aurora,CO,6'4'',262,79,Michigan,,51,90,5,2020,Michigan,,,,,
