Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  ,School
Laith Harlow,TE,Tallahassee,FL,6'4'',235,78.0,Oklahoma,,25,,,2012,Oklahoma,276,93,,
Charles Tapper,DE,Baltimore,MD,6'3'',235,78.0,Oklahoma,,74,,,2012,Oklahoma,,,,
Eric Striker,S,Seffner,FL,6'0'',190,76.0,Oklahoma,,,,,2012,Oklahoma,,,,
Zack Sanchez,CB,Keller,TX,6'0'',165,75.0,Oklahoma,,,,,2012,Oklahoma,,,,
Daniel Brooks,ATH,Rockdale,TX,5'9'',170,75.0,Oklahoma,,124,,,2012,Oklahoma,,,,
David Smith,ATH,Midlothian,IL,6'0'',197,75.0,Oklahoma,,167,,,2012,Oklahoma, None,30,,
Will Latu,OT,Saint Petersburg,FL,6'5'',315,,Oklahoma,,,,,2012,Oklahoma, None, None,,
Brannon Green,TE,Altamont,KS,6'4'',260,,Oklahoma,,,,,2012,Oklahoma,,,,
Courtney Gardner,WR,Reno,NV,6'2'',215,,Oklahoma,,NR,,,2012,Oklahoma, NR,,,
Damien Williams,RB,San Diego,CA,6'0'',210,,Oklahoma,,,,,2012,Oklahoma,,,,
Kasseim Everett,CB,Philadelphia,PA,5'11'',185,,Oklahoma,,,,,2012,Oklahoma, None, None,,
Chaz Nelson,DE,Columbus,OH,6'2'',235,,Oklahoma,,,,,2012,Oklahoma,,,,
LaColtan Bester,WR,De Kalb,MS,6'3'',205,,Oklahoma,,,,,2012,Oklahoma,,,,
Justin Brown,WR,Wilmington,DE,6'3'',214,,Oklahoma,,,,,2012,Oklahoma,,,,
Keith Ford,RB,Cypress,TX,5'10'',200,5,88,,3,,,2013,Oklahoma,2,2,Oklahoma  ,
Josiah St. John,OT (JC),Athens,TX,6'7'',300,5,83,,6,,,2013,Oklahoma, None, None,Oklahoma  ,
D.J. Ward,DE,Moore,OK,6'3'',225,5,83,,12,,,2013,Oklahoma,20,1,Oklahoma  ,
Cody Thomas,QB-PP,Colleyville,TX,6'5'',220,5,83,,13,,,2013,Oklahoma,,,Oklahoma  ,
Stanvon Taylor,ATH,Tulsa,OK,5'11'',170,5,83,,199,,,2013,Oklahoma,28,2,Oklahoma  ,
Dannon Cavil,WR,San Antonio,TX,6'5'',205,5,83,,35,,,2013,Oklahoma,,,Oklahoma  ,
Matt Dimon,DE,Katy,TX,6'3'',250,5,82,,,,,2013,Oklahoma,,,Oklahoma  ,
Hatari Byrd,S,Fresno,CA,6'1'',192,5,82,,14,,,2013,Oklahoma,40,32,Oklahoma  ,
L.J. Moore,CB,Fresno,CA,6'0'',164,5,80,,29,,,2013,Oklahoma,,,Oklahoma  ,
Quincy Russell,DT (JC),San Antonio,TX,6'4'',308,4,79,,8,,,2013,Oklahoma,,,Oklahoma  ,
Jordan Smallwood,WR,Jenks,OK,6'2'',190,4,79,,66,,,2013,Oklahoma,,,Oklahoma  ,
Kerrick Huggins,DT,Dallas,TX,6'3'',285,4,79,,39,,,2013,Oklahoma,,,Oklahoma  ,
Charles Walker,DT,Garland,TX,6'4'',280,4,79,,40,,,2013,Oklahoma,92,75,Oklahoma  ,
K.J. Young,WR,Perris,CA,6'0'',183,4,78,,,,,2013,Oklahoma,,,Oklahoma  ,
Matthew Romar,DT,Port Arthur,TX,6'3'',265,4,78,,50,,,2013,Oklahoma,,,Oklahoma  ,
Ogbonnia Okoronkwo,DE,Houston,TX,6'3'',220,3,76,,60,,,2013,Oklahoma,,,Oklahoma  ,
Jed Barnett,K (JC),Camas,WA,6'2'',215,3,76,,1,,,2013,Oklahoma,,,Oklahoma  ,
Dominique Alexander,ATH,Tulsa,OK,6'0'',190,3,75,,,,,2013,Oklahoma,195,12,Oklahoma  ,
Austin Bennett,ATH,Manvel,TX,5'11'',170,3,75,,117,,,2013,Oklahoma,,,Oklahoma  ,
Ahmad Thomas,S,Miami,FL,6'0'',195,3,75,,58,,,2013,Oklahoma,,,Oklahoma  ,
Christian Daimler,OT,Houston,TX,6'6'',270,3,75,,203,,,2013,Oklahoma,95,158,Oklahoma  ,
Jordan Evans,DE,Norman,OK,6'3'',205,3,74,,14,,,2013,Oklahoma,216, None,Oklahoma  ,
Dionte Savage,OG (JC),Flint,MI,6'5'',340,3,73,,5,,,2013,Oklahoma, None, None,Oklahoma  ,
Dakota Austin,CB,Lancaster,TX,5'10'',149,NR,Oklahoma  ,,,,,2013,Oklahoma, None, None,,
Tony Feo,OG (JC),Pago Pago,AS,6'3'',275,NR,Oklahoma,,NR,,,2013,Oklahoma,,,,
P.J. Mbanasor,CB,Pflugerville,TX,6'1'',183,,84,Oklahoma,6,14,12,2015,Oklahoma,,,,
DeDe Westbrook,WR,Cameron,TXBlinn College,6'1'',175,,82,Oklahoma,14,,,2015,Oklahoma,,,,
Prentice McKinney Jr.,S,Dallas,TXSouth Oak Cliff High,6'2'',180,,80,Oklahoma,27,,,2015,Oklahoma,,,,
Antoine Stephens,CB,Dallas,TXJustin F. Kimball High School,6'1'',187,,79,Oklahoma,30,,,2015,Oklahoma,,,,
A.D. Miller,WR,Dallas,TXBishop Dunne High School,6'3'',175,,79,Oklahoma,78,105,85,2015,Oklahoma,,,,
