Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University , Pos, City, State, Height, Weight, Grade, University
Torri Singletary,DE,Baldwin,FL,6'4'',215,,,Tulane,, None, None,2017,Tulane,,,,,,,,,,
Kevin LeDee,WR,Houston,TX,6'3'',180,,,Tulane,NR,NR,NR,2017,Tulane,,,,,,,,,,
Will Wallace,TE,Natchez,MS,6'4'',240,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Corey Dublin,OG,New Orleans,LA,6'3'',272,,,Tulane,NR,NR,NR,2017,Tulane,,,,,,,,,,
Dane Ledford,QB,Argyle,TX,6'0'',182,,,Tulane,NR,NR,NR,2017,Tulane,,,,,,,,,,
Marvin Moody Jr.,OLB,Bryant,AR,6'1'',200,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Stephon Huderson,RB,Petal,MS,5'9'',178,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Chase Kuerschen,S,Knoxville,TN,6'0'',200,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Willie Langham,WR,McCalla,AL,6'0'',175,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Jaylon Monroe,CB,Mesquite,TX,5'10'',165,,,Tulane,NR,NR,NR,2017,Tulane,,,,,,,,,,
Joey Claybrook,OT,Starkville,MS,6'6'',250,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Travis Tucker,TE-H,Senatobia,MS,6'3'',215,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Cameron Jackel,OT,Marrero,LA,6'5'',300,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Jaetavian Toles,WR,Houston,TX,6'0'',175,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Cameron Sample,DE,Snellville,GA,6'3'',240,,,Tulane,NR,NR,NR,2017,Tulane,,,,,,,,,,
Tirise Barge,S,Moultrie,GA,5'11'',180,,,Tulane,,,,2017,Tulane,,,,,,,,,,
Monty Montgomery,S,Norcross,GA,5'10'',,,Tulane,,,,,2017,Tulane,,,,,,,,,,
Patrick Johnson,DE,Chattanooga,TN,6'2'',250,,,Tulane,NR,NR,NR,2017,Tulane,,,,,,,,,,
Jonathan Banks,QB-DT,Independence,KS,6'2'',225,,,Tulane,NR,NR,NR,2017,Tulane,,,,,,,,,,
Jabril Clewis,WR, San Diego, CA, 6'2'', 225, None, None, Tulane,NR,,,2017,Tulane,,,,,,,,,,
Dominique Briggs, OC (JC) Coffeyville, KS Coffeyville Community College, 6'3'', 295, None, None, Tulane,,,,,2017,Tulane,,,,,,,,,,
Corey Dauphine, RB (TR) Port Arthur, TX Texas Tech University, 6'0'', 190, None, None, Tulane,,,,,2017,Tulane,,,,,,,,,,
Hunter Knighton, OT (TR) Pottstown, PA University of Miami-FL, 6'5'', 300, None, None, Tulane,,,,,2017,Tulane,,,,,,,,,,
Keith Cooper,DE,Dickinson,TX,6'5'',240,77.0,,Tulane,,,,2021,Tulane,,,,,,,,,,
Iverson Celestine,RB,Mandeville,LA,5'10'',190,77.0,,Tulane,56,339,26,2021,Tulane,,,,,,,,,,
T.J. Huggins,WR,Miami,FL,6'2'',165,77.0,,Tulane,127,,,2021,Tulane,,,,,,,,,,
Kai Horton,QB-PP,Carthage,TX,6'4'',210,75.0,,Tulane,54,239,181,2021,Tulane,,,,,,,,,,
Michael Lunz,ILB,Radcliff,KY,6'3'',230,75.0,,Tulane,35,,,2021,Tulane,,,,,,,,,,
Kriston Esnard,K,Decatur,GA,5'10'',170,75.0,,Tulane,9,,,2021,Tulane,,,,,,,,,,
Kolby Phillips,CB,Nashville,TN,6'0'',175,74.0,,Tulane,119,,,2021,Tulane,,,,,,,,,,
Corey Platt Jr.,ATH,Little Rock,AR,6'1'',195,74.0,,Tulane,12,,,2021,Tulane,,,,,,,,,,
Hutson Lillibridge,OG,Saint Louis,MO,6'4'',303,73.0,,Tulane,21,,,2021,Tulane,,,,,,,,,,
Devean Deal,TE-Y,Garland,TX,6'4'',225,73.0,,Tulane,56,,,2021,Tulane,,,,,,,,,,
Mandel Eugene,OLB,Laplace,LA,6'0'',195,73.0,,Tulane,146,711,48,2021,Tulane,,,,,,,,,,
Jadon Canady,CB,Jacksonville,FL,6'0'',170,73.0,,Tulane,145,712,241,2021,Tulane,,,,,,,,,,
Jaden Handy,RB,New Orleans,LA,5'9'',190,73.0,,Tulane,,,,2021,Tulane,,,,,,,,,,
Hayden Shook,OG (JC),Madison,MS,6'4'',315,72.0,,Tulane,4,,,2021,Tulane,,,,,,,,,,
Parker Peterson,DE,Nashville,TN,6'5'',240,72.0,,Tulane,193,808,51,2021,Tulane,,,,,,,,,,
Jeff Nwankwo,WR,Oklahoma City,OK,6'5'',200,72.0,,Tulane,264,,,2021,Tulane,,,,,,,,,,
Bryce Bohanon,WR,Conway,AR,5'10'',175,72.0,,Tulane,,,,2021,Tulane,,,,,,,,,,
Bailey Despanie,S,Lafayette,LA,6'1'',165,71.0,,Tulane,154,868,55,2021,Tulane,,,,,,,,,,
Elijah Champaigne,DE,Tomball,TX,6'3'',260,,,Tulane,,,,2021,Tulane,,,,,,,,,,
Derrion Rakestraw,CB (TR),Canton,GA,6'1'',185,,,Tulane,,,,2021,Tulane,,,,,,,,,,
Devin Brumfield,RB (TR),Covington,LA,5'10'',220,,,Tulane,,,,2021,Tulane,,,,,,,,,,
Lance Robinson,CB (TR),New Orleans,LA,5'10'',185,,,Tulane,,,,2021,Tulane,,,,,,,,,,
Jalen Rogers,,,,,,,,,131,,,2022,Tulane,396,126,,WR,Fort Lauderdale,FL,5'11'',160.0,77.0,Tulane
Blake Gunter,,,,,,,,,25,,,2022,Tulane,468,29,,TE,Madison,MS,6'3'',235.0,76.0,Tulane
Maxie Baudoin,,,,,,,,,476,,,2022,Tulane, None,41,,DT,Youngsville,LA,6'4'',285.0,76.0,Tulane
Taylor Love,,,,,,,,,,,,2022,Tulane, None, None,,OL,Opelika,AL,5'11'',215.0,76.0,Tulane
Makhi Hughes,,,,,,,,,513,,,2022,Tulane, None,50,,RB,Birmingham,AL,5'10'',190.0,75.0,Tulane
Keanon McNally,,,,,,,,,114,,,2022,Tulane,242,21,,OT,Kearney,MO,6'9'',285.0,75.0,Tulane
Chris Brazzell,,,,,,,,,,,,2022,Tulane,,,,WR,Midland,TX,6'3'',170.0,75.0,Tulane
Alex Bauman,,,,,,,,,125,,,2022,Tulane,152,26,,DE,Red Bank,NJ,6'4'',230.0,75.0,Tulane
Kentrell Webb,,,,,,,,,88,,,2022,Tulane,,,,S,Katy,TX,5'11'',180.0,74.0,Tulane
Kameron Hamilton,,,,,,,,,118,,,2022,Tulane,703,53,,DT,Zachary,LA,6'4'',280.0,73.0,Tulane
Gerrod Henderson,,,,,,,,,154,,,2022,Tulane,331,242,,DE,Spring,TX,6'1'',255.0,73.0,Tulane
Isaiah Boyd,,,,,,,,,120,,,2022,Tulane,,,,DT,Haverford,PA,6'2'',265.0,73.0,Tulane
Rayshawn Pleasant,,,,,,,,,110,,,2022,Tulane,,,,S,West Monroe,LA,6'0'',180.0,73.0,Tulane
Carson Haggard,,,,,,,,,80,,,2022,Tulane,740,233,,QB,Miami,FL,6'0'',170.0,73.0,Tulane
Cadien Robinson,,,,,,,,,149,,,2022,Tulane,364,265,,CB,Rockwall,TX,6'0'',170.0,72.0,Tulane
Shadre Hurst,,,,,,,,,120,,,2022,Tulane,,,,OG,Cartersville,GA,6'2'',290.0,71.0,Tulane
Sully Burns,,,,,,,,,202,,,2022,Tulane,387,285,,OT,Plano,TX,6'5'',300.0,70.0,Tulane
Lawrence Keys III,,,,,,,,,,,,2022,Tulane,,,,WR,New Orleans,LA,5'11'',170.0,,Tulane
Ashaad Clayton,,,,,,,,,,,,2022,Tulane, None, None,,RB,New Orleans,LA,5'11'',200.0,,Tulane
Patrick Jenkins,,,,,,,,,,,,2022,Tulane, None, None,,DT,Marrero,LA,6'2'',285.0,,Tulane
