Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Darrian Miller,RB,Blue Springs,MO,5'10'',190,80.0,Kansas,,18,,,2011,Kansas,30,1,
Brock Berglund,QB,Highlands Ranch,CO,6'3'',205,79.0,Kansas,,13,,,2011,Kansas,,,
Marquis Jackson,WR,Fort Worth,TX,6'1'',205,79.0,Kansas,,43,,,2011,Kansas,,,
Anthony Pierson,RB,East Saint Louis,IL,5'10'',175,78.0,Kansas,,28,,,2011,Kansas,,,
JaCorey Shepherd,WR,Mesquite,TX,5'10'',170,78.0,Kansas,,53,,,2011,Kansas,,,
Damon Martin,OT,Arlington,TX,6'5'',265,78.0,Kansas,,,,,2011,Kansas,,,
Michael Cummings,QB,Killeen,TX,5'11'',190,78.0,Kansas,,37,,,2011,Kansas,119,96,
Luke Luhrsen,OG,Wheaton,IL,6'4'',275,77.0,Kansas,,36,,,2011,Kansas,90,NR,
Ben Goodman,DE,Beaumont,TX,6'3'',230,77.0,Kansas,,77,,,2011,Kansas,,,
Jake Love,OLB,Tonkawa,OK,6'0'',195,77.0,Kansas,,76,,,2011,Kansas,,,
Dylan Admire,OG,Overland Park,KS,6'3'',265,77.0,Kansas,,41,,,2011,Kansas,,,
Dreamius Smith,RB,Wichita,KS,5'11'',200,77.0,Kansas,,NR,,,2011,Kansas,163,,
Bryan Peters,OT,La Mirada,CA,6'4'',300,76.0,Kansas,,91,,,2011,Kansas,134,91,
Collin Garrett,OLB,Beaumont,TX,6'1'',190,76.0,Kansas,,101,,,2011,Kansas,,,
Jason Hensley,ILB,Alma,AR,6'2'',215,76.0,Kansas,,41,,,2011,Kansas,,,
Alex Matlock,S,Pflugerville,TX,6'1'',185,76.0,Kansas,,73,,,2011,Kansas,,,
Travis Bodenstein,OT,Springdale,AR,6'4'',290,76.0,Kansas,,100,,,2011,Kansas,,,
Phil Ford,OT,Shawnee Mission,KS,6'5'',345,76.0,Kansas,,101,,,2011,Kansas,,,
Victor Simmons,S,Olathe,KS,6'1'',190,75.0,Kansas,,78,,,2011,Kansas,,,
Michael Reynolds,DE,Wichita,KS,6'4'',225,75.0,Kansas,,136,,,2011,Kansas,242,NR,
Javonte Daniel,DE,LaGrange,GA,6'3'',210,75.0,Kansas,,150,,,2011,Kansas,,,
Chris Robinson,CB,Sanford,FL,5'9'',154,74.0,Kansas,,74,,,2011,Kansas,,,
Ben Heeney,OLB,Hutchinson,KS,6'0'',195,74.0,Kansas,,134,,,2011,Kansas,,,
Adonis Saunders,CB,Olathe,KS,5'11'',185,74.0,Kansas,,75,,,2011,Kansas,306,NR,
Alex Mueller,K,Grapevine,TX,5'10'',160,74.0,Kansas,,32,,,2011,Kansas,,,
Tanner Gibas,ATH,Covina,CA,6'2'',205,,Kansas,,267,,,2011,Kansas,,,
Julius Green,DE,Houston,TX,6'7'',270,,Kansas,,,,,2011,Kansas,,,
Tunde Bakare,S,Woodbridge,VA,5'10'',210,,Kansas,,,,,2011,Kansas,,,
Schyler Miles,ILB,Tampa,FL,6'1'',220,78.0,Kansas,,, None, None,2012,Kansas,,,
Jordan Smith,TE,Waco,TX,6'5'',225,77.0,Kansas,,35,148,116,2012,Kansas,,,
Neal Page,DE,Birmingham,MI,6'5'',220,76.0,Kansas,,, None, None,2012,Kansas,,,
Brian Beckmann,OG,Overland Park,KS,6'5'',280,76.0,Kansas,,, None, None,2012,Kansas,,,
Greg Allen,S,Houston,TX,5'11'',190,75.0,Kansas,,, None, None,2012,Kansas,,,
Tyler Holmes,DT,Sachse,TX,6'3'',270,75.0,Kansas,,105,,,2012,Kansas,,,
Tre Parmalee,WR,Shawnee Mission,KS,5'10'',165,74.0,Kansas,,, None, None,2012,Kansas,,,
Tevin Shaw,RB,Piscataway,NJ,5'11'',190,73.0,Kansas,,152,,,2012,Kansas,,,
Sean Connolly,,Lakewood,OH,,280,,Kansas,,, None, None,2012,Kansas,,,
Tyree Williams,ATH,Sugar Land,TX,6'0'',190,,Kansas,,,,,2012,Kansas,,,
Courtney Arnick,OLB,Dallas,TX,6'1'',200,,Kansas,,,,,2012,Kansas,,,
Ty McKinney,DT,Athens,TX,6'3'',310,,Kansas,,, None, None,2012,Kansas,,,
Keon Stowers,DT,Rock Hill,SC,6'2'',270,,Kansas,,,,,2012,Kansas,,,
Charles Brooks,TE,Scottsdale,AZ,6'5'',245,,Kansas,,,,,2012,Kansas,,,
Dayne Crist,QB,Canoga Park,CA,6'4'',235,,Kansas,,,,,2012,Kansas,,,
Jake Heaps,QB,Sammamish,WA,6'1'',205,,Kansas,,,,,2012,Kansas,,,
Taylor Cox,RB,Mill Creek,WA,5'11'',205,,Kansas,,, None, None,2012,Kansas,,,
Joshua Ford,WR,Washington,DC,6'3'',200,,Kansas,,,,,2012,Kansas,,,
Justin McCay,WR,Shawnee Mission,OK,6'3'',220,,Kansas,,, None, None,2012,Kansas,,,
Jordan Tavai,DT,Manhattan Beach,CA,6'2'',275,,Kansas,,NR, NR, NR,2012,Kansas,,,
