Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank
Jake Arceneaux,QB-PP,Lafayette,LA,6'1'',180,,65.0,Louisiana Ragin' Cajuns,738,,,2016,Louisiana-Lafayette,,63,74
Nicholas Wiggins,DE,Baton Rouge,LA,6'3'',220,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Masen Mitchell,RB,,,5'8'',181,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Blair Brooks,S,Thibodaux,LA,6'1'',180,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Cody Mitchell,TE-Y,Jasper,TX,6'5'',220,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Austin Davis,TE-H,Spring,TX,6'3'',220,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Raymond Calais,RB,Cecilia,LA,5'9'',167,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Jacques Boudreaux,OLB,New Orleans,LA,6'2'',222,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,, None, None
Tanner Holmes,ILB,Newton,TX,6'1'',220,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,, None, None
Damar'ren Mitchell,ATH,Magnolia,TX,5'11'',180,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,, NR, NR
Tra'Vontae Booker,OG,Jackson,LA,6'3'',315,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Akkai Ward,OG,Brusly,LA,6'3'',300,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,, None, None
Calif Gossett,WR,Pensacola,FL,6'5'',180,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Randon Haynes,OG,Waxahachie,TX,6'4'',330,,,Louisiana Ragin' Cajuns,NR,,,2016,Louisiana-Lafayette,,,
Kendall Renardo Baker,OT,McCalla,AL,6'5'',268,,,Louisiana Ragin' Cajuns,NR,,,2016,Louisiana-Lafayette,,,NR
Kevon Perry,DT,Santa Maria,CA,6'1'',290,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,, None, None
Jarvis Jefferies,DE,Moorhead,MS,6'3'',245,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Trevara Miller,DT,Noxapater,MS,6'1'',285,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Artez Williams,S,Noxapater,MS,6'0'',185,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Denarius Howard,S,Webb City,MO,6'1'',190,,,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
K.C. Ossai,ILB,Conroe,TX,6'1'',235,78.0,Louisiana,,18,,,2021,Louisiana-Lafayette,,131,100
George Jackson,OG,Stone Mountain,GA,6'4'',340,77.0,Louisiana,,43,,,2021,Louisiana-Lafayette,,316,69
Robert Williams,WR,Cedar Hill,TX,6'1'',170,77.0,Louisiana,,121,,,2021,Louisiana-Lafayette,,165,128
Dre'lyn Washington,RB,Hemphill,TX,5'8'',205,76.0,Louisiana,,415,,,2021,Louisiana-Lafayette,,70,31
Kendrell Williams,RB,Lafayette,LA,5'11'',210,76.0,Louisiana,,81,,,2021,Louisiana-Lafayette,,464,36
Montrell Johnson,RB,New Orleans,LA,5'10'',185,75.0,Louisiana,,93,,,2021,Louisiana-Lafayette,,,
Ja'Marian Peterson,DE,New Orleans,LA,6'4'',240,75.0,Louisiana,,91,,,2021,Louisiana-Lafayette,,528,42
Terrence Williams,RB,Many,LA,6'0'',215,75.0,Louisiana,,6,,,2021,Louisiana-Lafayette,, None, None
Cejae Ceasar,DB,Iowa,LA,6'2'',200,75.0,Louisiana,,27,,,2021,Louisiana-Lafayette,,,
Kendre Gant,WR,Port Saint Joe,FL,6'3'',190,74.0,Louisiana,,36,,,2021,Louisiana-Lafayette,,721,27
Jathan Caldwell,TE,Dickinson,TX,6'2'',220,73.0,Louisiana,,75,,,2021,Louisiana-Lafayette,,751,52
Zy McDonald,QB,Ridgeland,MS,5'10'',185,73.0,Louisiana,,191,,,2021,Louisiana-Lafayette,,380,292
Key'Savalyn Barnes,CB,Logansport,LA,6'0'',190,73.0,Louisiana,,212,,,2021,Louisiana-Lafayette,,,
Hunter Herring,QB,Monroe,LA,6'4'',200,73.0,Louisiana,,176,,,2021,Louisiana-Lafayette,,,
Cameron Whitfield,DE,,,6'3'',230,72.0,Louisiana,,140,,,2021,Louisiana-Lafayette,,949,65
Cameron George,DE,Lafayette,LA,6'2'',240,71.0,Louisiana,,,,,2021,Louisiana-Lafayette,, None, None
Jalen Clark,ATH,Montgomery,AL,6'2'',185,71.0,Louisiana,,,,,2021,Louisiana-Lafayette,, None, None
Mackey Maillho,OG,Mandeville,LA,6'7'',350,70.0,Louisiana,,,,,2021,Louisiana-Lafayette,,,
Kobe Hylton,S,Snellville,GA,6'1'',200,,Louisiana,,,,,2021,Louisiana-Lafayette,,,
Glenn Beal,TE,College Station,TX,6'5'',265,,Louisiana,,,,,2021,Louisiana-Lafayette,, None, None
Tyrone Lewis Jr.,S,Manhattan,KS,5'11'',185,,Louisiana,,,,,2021,Louisiana-Lafayette,, None, None
John Stephens Jr.,WR,Fort Worth,TX,6'5'',226,,Louisiana,,,,,2021,Louisiana-Lafayette,,,
Ben Wooldridge,QB,Pleasanton,CA,6'2'',185,,Louisiana,,,,,2021,Louisiana-Lafayette,,,
Lance Legendre,QB,New Orleans,LA,6'1'',205,,Louisiana,,,,,2021,Louisiana-Lafayette,,,
Matthew Anderson,OT,Leesville,LA,6'7'',265,,Louisiana,,,,,2021,Louisiana-Lafayette,,,
T.J. Fiailoa,OG,Lawton,OK,6'4'',302,,Louisiana,,,,,2021,Louisiana-Lafayette,,,
Lorenzell Dubose,CB,Monroe,LA,6'0'',175,78.0,Louisiana,,69,,,2022,Louisiana-Lafayette,,307,29
Zeon Chriss,QB-DT,Baton Rouge,LA,6'1'',195,76.0,Louisiana,,27,,,2022,Louisiana-Lafayette,,,
Kailep Edwards,ILB,Edgard,LA,6'0'',235,76.0,Louisiana,,32,,,2022,Louisiana-Lafayette,,,
Terrance Carter,TE-H,Harker Heights,TX,6'3'',240,75.0,Louisiana,,32,,,2022,Louisiana-Lafayette,,249,183
Damon Youngblood,ATH,McKinney,TX,5'11'',180,74.0,Louisiana,,129,,,2022,Louisiana-Lafayette,,277,202
Bryant Williams,OT,Grand Lake,LA,6'7'',315,74.0,Louisiana,,157,,,2022,Louisiana-Lafayette,,665,52
Charles Robertson,WR,Zachary,LA,6'0'',180,73.0,Louisiana,,219,,,2022,Louisiana-Lafayette,,,
Jaydon Johnson,WR,Missouri City,TX,6'2'',210,73.0,Louisiana,,221,,,2022,Louisiana-Lafayette,,337,245
Zylan Perry,ATH,Franklin,LA,5'9'',187,72.0,Louisiana,,164,,,2022,Louisiana-Lafayette,,760,59
Marcus Wiser,DT,Corpus Christi,TX,6'1'',290,69.0,Louisiana,,19,,,2022,Louisiana-Lafayette,, None, None
Kaden Moreau,,Pineville,LA,6'4'',285,,Louisiana,,,,,2022,Louisiana-Lafayette,,,
Trent Murphy,OG,Opelousas,LA,6'3'',271,,Louisiana,,NR,,,2022,Louisiana-Lafayette,,,
Harvey Broussard,WR,Saint Martinville,LA,6'3'',180,,77,,133,,,2023,Louisiana-Lafayette,Saint Martinville High School,399,30
Elijah Davis,RB,Reserve,LA,5'9'',210,,76,,75,,,2023,Louisiana-Lafayette,Riverside Academy,469,38
Jay'Veon Haynes,RB,Baton Rouge,LA,5'9'',180,,76,,14,,,2023,Louisiana-Lafayette,Woodlawn High School,543,187
Cooper Fordham,OC,Jacksonville,FL,6'2'',265,,75,,228,,,2023,Louisiana-Lafayette,The Bolles School,,
A.J. Jayroe,WR,Frisco,TX,6'5'',180,,73,,1,,,2023,Louisiana-Lafayette,Rick Reedy High School,,
Tavion Smith,TE-H,Hattiesburg,MS,6'4'',210,,73,,NR,,,2023,Louisiana-Lafayette,Pearl River Community College, NR, NR
D'wayne Winfield,ATH,Lutcher,LA,6'2'',205,,NR,,NR,,,2023,Louisiana-Lafayette,Lutcher High School,NR,NR
Daylon Sibley,ILB,Lake Charles,LA,6'0'',210,,NR,,,,,2023,Louisiana-Lafayette,Lake Charles College Prep,,
Matthew Broussard,OT,Thibodaux,LA,6'4'',275,,NR,,,,,2023,Louisiana-Lafayette,Edward Douglas White Catholic High School, None, None
Ty Stamey,TE-Y,Klein,TX,6'4'',240,,NR,,,,,2023,Louisiana-Lafayette,Klein Collins High School,,
Jeremiah Moses,CB,Belle Chasse,LA,6'0'',175,,NR,,,,,2023,Louisiana-Lafayette,Belle Chasse High School,,
Chase Edwards,DE,Houston,TX,6'6'',240,,NR,,,,,2023,Louisiana-Lafayette,Cypress Falls High School,,
John Bragg,OT,Austin,TX,6'5'',270,,NR,,NR,,,2023,Louisiana-Lafayette,LBJ High School,,
Jaylen Lawrence,OLB,Arcadia,LA,6'1'',205,,NR,,,,,2023,Louisiana-Lafayette,Arcadia High School,,
Caden Jenson,TE-Y,Flower Mound,TX,6'4'',240,,NR,,,,,2023,Louisiana-Lafayette,Flower Mound High School, None, None
Lance Williams,DE,New Orleans,LA,6'0'',235,,NR,,,,,2023,Louisiana-Lafayette,Holy Cross High School,,
Xzavier Brown,OT,Ashdown,AR,6'6'',305,,NR,,,,,2023,Louisiana-Lafayette,Ashdown High School,,
Mason Clifton,DT,Petal,MS,6'5'',270,,NR,,,,,2023,Louisiana-Lafayette,Petal High School, None, None
