Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University 
Casey Tucker,OT,Chandler,AZ,6'6'',290.0,84,Stanford,5,,,2014,Stanford,5,,,
Keller Chryst,QB-P,Palo Alto,CA,6'4'',234.0,84,Stanford,3,5,3,2014,Stanford,3,,,
Dalton Schultz,TE-Y,South Jordan,UT,6'6'',235.0,83,Stanford,1,,,2014,Stanford,1,,,
Christian McCaffrey,ATH,Highlands Ranch,CO,6'0'',195.0,82,Stanford,26,,,2014,Stanford,26,,,
Reilly Gibbons,OT,Saint Petersburg,FL,6'4'',274.0,82,Stanford,15,,,2014,Stanford,15,,,
Joey Alfieri,OLB,Portland,OR,6'2'',230.0,80,Stanford,34,53,2,2014,Stanford,34,,,
Jordan Perez,OLB,Carlsbad,CA,6'1'',210.0,80,Stanford,36,,,2014,Stanford,36,,,
Bobby Okereke,ATH,Tustin,CA,6'1'',213.0,80,Stanford,51,58,40,2014,Stanford,51,,,
Alijah Holder,S,Oceanside,CA,6'1'',165.0,78,Stanford,45,91,58,2014,Stanford,45,,,
Daniel Marx,FB,Mission Viejo,CA,6'3'',238.0,77,Stanford,3,,,2014,Stanford,3,,,
Isaiah Brandt-Sims,RB,Wenatchee,WA,5'11'',185.0,75,Stanford,120,,,2014,Stanford,120,,,
K.J. Costello,QB-PP,Coto de Caza,CA,6'4'',216.0,Stanford,,19,,,2016,Stanford,88.0,3,2,
Kaden Smith,TE-Y,Flower Mound,TX,6'6'',242.0,Stanford,,2,,,2016,Stanford,86.0,,,
Clark Yarbrough,OT,Woodberry Forest,VA,6'6'',265.0,Stanford,,12,,,2016,Stanford,83.0,16,2,
Treyjohn Butler,CB,Etiwanda,CA,5'11'',185.0,Stanford,,15,,,2016,Stanford,82.0,,,
Curtis Robinson,OLB,Santa Ana,CA,6'3'',208.0,Stanford,,14,,,2016,Stanford,81.0,34,27,
Mike Williams,DT,Fort Worth,TX,6'2'',305.0,Stanford,,276,,,2016,Stanford,81.0,,,
Simi Fehoko,WR,Salt Lake City,UT,6'4'',186.0,Stanford,,70,,,2016,Stanford,80.0,,,
Obi Eboh,S,Southlake,TX,6'2'',187.0,Stanford,,24,,,2016,Stanford,80.0,,,
Scooter Harrington,TE-Y,Greenwich,CT,6'5'',235.0,Stanford,,10,,,2016,Stanford,80.0,,,
Bo Peek,DT,Tampa,FL,6'3'',290.0,Stanford,,38,,,2016,Stanford,79.0,221,79,
Devery Hamilton,OT,Baltimore,MD,6'7'',291.0,Stanford,,37,,,2016,Stanford,79.0,51,13,
Paxton Segina,WR,Leander,TX,6'3'',200.0,Stanford,,,,,2016,Stanford,79.0,90,75,
Thomas Schaffer,OT,Lake Forest,IL,6'6'',245.0,Stanford,,42,,,2016,Stanford,79.0,43,9,
Loa Kaufusi,TE-H,Salt Lake City,UT,6'4'',210.0,Stanford,,12,,,2016,Stanford,78.0,,,
Trevor Speights,RB,McAllen,TX,5'10'',200.0,Stanford,,56,,,2016,Stanford,78.0,122,99,
Jovan Swann,DT,Greenwood,IN,6'3'',255.0,Stanford,,51,,,2016,Stanford,78.0,,,
Andrew Pryts,S,Hermitage,PA,6'1'',200.0,Stanford,,54,,,2016,Stanford,77.0,87,16,
Donald Stewart,WR,Paramus,NJ,6'4'',183.0,Stanford,,123,,,2016,Stanford,77.0,92,18,
Henry Hattis,OT,Rio Rancho,NM,6'6'',260.0,Stanford,,6,,,2016,Stanford,75.0,,,
Nathaniel Herbig,OG,Honolulu,HI,6'4'',338.0,Stanford,,55,,,2016,Stanford,75.0,138,5,
Jet Toner,K,Honolulu,HI,6'3'',180.0,Stanford,,26,,,2016,Stanford,74.0,,,
Malik Antoine,CB,Baton Rouge,LA,5'11'',182.0,Stanford,,,,,2016,Stanford,74.0,,,
Dylan Powell,OG,Hannibal,MO,6'3'',265.0,Stanford,,67,,,2016,Stanford,74.0,,,
Bailey McElwain,ILB,Trussville,AL,6'0'',231.0,Stanford,,46,,,2016,Stanford,72.0,573,44,
Richard McNitzky,LS,San Antonio,TX,6'1'',220.0,Stanford,,4,,,2016,Stanford,68.0,,,
Dorian Maddox,RB,Baltimore,MD,5'9'',200.0,Stanford,,,,,2016,Stanford,,,,
Foster Sarell,OT,Graham,WA,6'7'',311.0,Stanford,,14,,,2017,Stanford,90,3,1,
Colby Parkinson,TE,Westlake Village,CA,6'7'',228.0,Stanford,,2,,,2017,Stanford,86,,,
Walker Little,OT,Houston,TX,6'8'',305.0,Stanford,,48th,,,2017,Stanford,86,,,
Saiid Adebo,WR,Mansfield,TX,6'0'',180.0,Stanford,,9,,,2017,Stanford,85,13,12,
Davis Mills,QB,Norcross,GA,6'4'',198.0,Stanford,,2,,,2017,Stanford,85,29,6,
Dalyn Wade-Perry,DT,Sparta,NJ,6'3'',335.0,Stanford,,,,,2017,Stanford,83,,,
Ryan Johnson,DE,Mobile,AL,6'4'',252.0,Stanford,,14,,,2017,Stanford,82,,,
Osiris St. Brown,WR,Santa Ana,CA,6'1'',178.0,Stanford,,31,,,2017,Stanford,81,,,
Sione Heimuli-Lund,FB,Salt Lake City,UT,6'1'',237.0,Stanford,,1,,,2017,Stanford,80,46,3,
Tucker Fisk,TE,Davis,CA,6'4'',255.0,Stanford,,7,,,2017,Stanford,79,,,
Connor Wedington,RB,Sumner,WA,6'0'',189.0,Stanford,,40,,,2017,Stanford,79,,,
Drew Dalman,OC,Salinas,CA,6'3'',266.0,Stanford,,9,,,2017,Stanford,78,88,50,
Levani Damuni,ILB,Hyrum,UT,6'0'',220.0,Stanford,,36,,,2017,Stanford,75,167,12,
Stuart Head,S,Woodstock,GA,6'3'',175.0,Stanford,,82,,,2017,Stanford,74,,,
Tanner McKee,QB-PP,Corona,CA,6'6'',219.0,85,Stanford,5,13,7,2018,Stanford,,,,
Jack West,QB-PP,Saraland,AL,6'4'',217.0,84,Stanford,7,51,2,2018,Stanford,,,,
Andres Fox,DE,Mobile,AL,6'4'',232.0,83,Stanford,14,68,6,2018,Stanford,,,,
Thomas Booker,DE,Baltimore,MD,6'6'',289.0,82,Stanford,23,,,2018,Stanford,,,,
Michael Wilson,WR,West Hills,CA,6'2'',193.0,82,Stanford,219,40,27,2018,Stanford,,,,
Tobe Umerah,DE,Macon,GA,6'4'',237.0,81,Stanford,29,,,2018,Stanford,,,,
Trey Stratford,OT,Allen,TX,6'4'',269.0,79,Stanford,35,90,70,2018,Stanford,,,,
Caleb Kelly,OLB,Atlanta,GA,6'4'',202.0,78,Stanford,48,341,78,2018,Stanford,,,,
Jay Symonds,TE-Y,Cambridge,MA,6'4'',248.0,77,Stanford,24,97,3,2018,Stanford,,,,
Jacob Mangum-Farrar,OLB,Sugar Land,TX,6'3'',208.0,76,Stanford,64,188,153,2018,Stanford,,,,
Ethan Bonner,CB,The Woodlands,TX,6'1'',166.0,76,Stanford,191,78,156,2018,Stanford,,,,
Kendall Williamson,CB,Snellville,GA,6'0'',185.0,75,Stanford,89,481,105,2018,Stanford,,,,
TaeVeon Le,TE-H,Newport Beach,CA,6'4'',229.0,74,Stanford,29,193,122,2018,Stanford,,,,
Justus Woods,RB,Charlotte,NC,6'0'',180.0,74,Stanford,42,585, None,2018,Stanford,,,,
Donjae Logan,CB,Mesa,AZ,5'10'',165.0,73,Stanford,114,,,2018,Stanford,,,,
Myles Hinton,OT,Norcross,GA,6'6'',323.0,Stanford  ,,3,7,4,2020,Stanford,90.0,,,
E.J. Smith,ATH,Dallas,TX,5'11'',195.0,Stanford  ,,5,,9,2020,Stanford,85.0,,,
John Humphreys,WR,Newport Beach,CA,6'4'',205.0,Stanford  ,,38,,,2020,Stanford,81.0,,,
Bryce Farrell,WR,Westlake Village,CA,5'10'',170.0,Stanford  ,,42,38,22,2020,Stanford,81.0,,,
Ayden Hector,CB,Bellevue,WA,6'0'',182.0,Stanford  ,,24,,,2020,Stanford,80.0,,,
