Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,University  , State_rank 
Zeke Correll,OC,Cincinnati,OH,6'4'',267,83,Notre Dame,,4,,,2019,Notre Dame,,8,3,,
Kyle Hamilton,S,Atlanta,GA,6'4'',188,83,Notre Dame,,10,,,2019,Notre Dame,,84,20,,
Osita Ekwonu,OLB,Charlotte,NC,6'1'',220,83,Notre Dame,,175,,,2019,Notre Dame,,89,5,,
Quinn Carroll,OT,Edina,MN,6'6'',290,83,Notre Dame,,18,,,2019,Notre Dame,,,,,
Isaiah Foskey,DE,Concord,CA,6'5'',233,82,Notre Dame,,209,,,2019,Notre Dame,,34,24,,
K.J. Wallace,CB,Atlanta,GA,5'10'',185,82,Notre Dame,,19,,,2019,Notre Dame,,111,28,,
Andrew Kristofic,OT,Gibsonia,PA,6'5'',265,82,Notre Dame,,24,,,2019,Notre Dame,,24,1,,
John Olmstead,OT,Metuchen,NJ,6'5'',290,81,Notre Dame,,26,,,2019,Notre Dame,,26,5,,
NaNa Osafo-Mensah,DE,Fort Worth,TX,6'4'',231,81,Notre Dame,,28,,,2019,Notre Dame,,43,34,,
Litchfield Ajavon,S,Alexandria,VA,6'0'',188,81,Notre Dame,,18,,,2019,Notre Dame,,,,,
Hunter Spears,DE,Sachse,TX,6'4'',267,81,Notre Dame,,,,,2019,Notre Dame,,,,,
Isaiah Rutherford,CB,Carmichael,CA,6'1'',167,80,Notre Dame,,29,,,2019,Notre Dame,,53,38,,
J.D. Bertrand,OLB,Roswell,GA,6'1'',210,80,Notre Dame,,27,,,2019,Notre Dame,,,,,
Kyren Williams,ATH,Kirkwood,MO,5'10'',189,80,Notre Dame,,28,,,2019,Notre Dame,,60,9,,
Cam Hart,ATH,Olney,MD,6'3'',187,80,Notre Dame,,32,,,2019,Notre Dame,,40,9,,
Howard Cross III,DE,Montvale,NJ,6'1'',239,80,Notre Dame,,52,,,2019,Notre Dame,,48,11,,
Kendall Abdur-Rahman,ATH,Edwardsville,IL,6'0'',180,79,Notre Dame,,42,,,2019,Notre Dame,,42,7,,
Brendon Clark,QB,Midlothian,VA,6'2'',213,79,Notre Dame,,20,,,2019,Notre Dame,,,,,
Marist Liufau,OLB,Honolulu,HI,6'2'',200,78,Notre Dame,,51,,,2019,Notre Dame,,101,7,,
Jay Bramblett,K,Tuscaloosa,AL,6'1'',175,77,Notre Dame,,4,,,2019,Notre Dame,,417,29,,
Jack Kiser,OLB,Royal Center,IN,6'1'',210,76,Notre Dame,,98,,,2019,Notre Dame,,113,15,,
Chris Tyree,RB,Chester,VA,5'9'',171,,86,Notre Dame Fighting Irish,5,6,1,2020,Notre Dame,,,,,
Jordan Johnson,WR,Saint Louis,MO,6'1'',185,,85,Notre Dame Fighting Irish,6,12,2,2020,Notre Dame,,,,,
Michael Mayer,TE-Y,Covington,KY,6'5'',235,,84,Notre Dame Fighting Irish,3,,,2020,Notre Dame,,,,,
Michael Carmody,OT,Mars,PA,6'5'',267,,84,Notre Dame Fighting Irish,128,,,2020,Notre Dame,,,,,
Rylie Mills,DE,Lake Forest,IL,6'5'',270,,83,Notre Dame Fighting Irish,15,8,2,2020,Notre Dame,,,,,
Tosh Baker,OT,Phoenix,AZ,6'7'',270,,82,Notre Dame Fighting Irish,6,,,2020,Notre Dame,,,,,
Jordan Botelho,OLB,Honolulu,HI,6'3'',217,,82,Notre Dame Fighting Irish,15,,,2020,Notre Dame,,,,,
Drew Pyne,QB,New Canaan,CT,6'1'',175,,82,Notre Dame Fighting Irish,13,,,2020,Notre Dame,,,,,
Kevin Bauman,TE,Red Bank,NJ,6'5'',226,,80,Notre Dame Fighting Irish,5,,,2020,Notre Dame,,,,,
Xavier Watts,WR,Omaha,NE,6'0'',170,,80,Notre Dame Fighting Irish,64,74,2,2020,Notre Dame,,,,,
Aidan Keanaaina,DT,Denver,CO,6'3'',305,,79,Notre Dame Fighting Irish,32,81,4,2020,Notre Dame,,,,,
Caleb Offord,CB,Southaven,MS,6'1'',175,,78,Notre Dame Fighting Irish,43,253,14,2020,Notre Dame,,,,,
Jay Brunelle,WR,Shrewsbury,MA,6'1'',200,,78,Notre Dame Fighting Irish,102,,,2020,Notre Dame,,,,,
Clarence Lewis,WR,Middletown,NJ,6'0'',180,,77,Notre Dame Fighting Irish,108,,,2020,Notre Dame,,,,,
Ramon Henderson,ATH,Bakersfield,CA,6'2'',185,,75,Notre Dame Fighting Irish,73,,,2020,Notre Dame,,,,,
Alex Peitsch,LS,Washington,DC,6'2'',220,,69,Notre Dame Fighting Irish,1,,,2020,Notre Dame,,,,,
Isaiah Pryor,S,Columbus,OH,6'1'',195,,	None,Notre Dame Fighting Irish,,,,2020,Notre Dame,,,,,
Ben Skowronek,WR,Fort Wayne,IN,6'3'',215,,	None,Notre Dame Fighting Irish,,,,2020,Notre Dame,,,,,
Tyler Buchner,QB,PPLa Mesa,CA,6'2'',200,87,Notre Dame,,41st,,,2021,Notre Dame,,7,,,3
Cane Berrong,TE-H,Hartwell,GA,6'4'',225,86,Notre Dame,,1,,,2021,Notre Dame,,21,,,
Rocco Spindler,OG,Clarkston,MI,6'4'',260,86,Notre Dame,,1,,,2021,Notre Dame,,,,,
Deion Colzie,WR,Athens,GA,6'4'',190,86,Notre Dame,,,,,2021,Notre Dame,,,,,
Blake Fisher,OT,Avon,IN,6'6'',335,84,Notre Dame,,13,,,2021,Notre Dame,,9,,,
Gabriel Rubio,DT,Saint Peters,MO,6'6'',285,83,Notre Dame,,,,,2021,Notre Dame,, None,,,
Prince Kollie,OLB,Jonesborough,TN,6'3'',200,83,Notre Dame,,18,,,2021,Notre Dame,,,,,
Jayden Thomas,WR,Atlanta,GA,6'1'',200,83,Notre Dame,,38,,,2021,Notre Dame,,93,,,
Lorenzo Styles Jr.,WR,Pickerington,OH,6'0'',170,82,Notre Dame,,44,,,2021,Notre Dame,,,,,
Philip Riley,CB,Valrico,FL,6'0'',190,80,Notre Dame,,21,,,2021,Notre Dame,,,,,
Caleb Johnson,OT,Ocala,FL,6'7'',285,80,Notre Dame,,30,,,2021,Notre Dame,,155,,,
Ryan Barnes,CB,Gaithersburg,MD,6'2'',180,79,Notre Dame,,30,,,2021,Notre Dame,,52,,,
Audric Estime,RB,Montvale,NJ,6'1'',215,79,Notre Dame,,57,,,2021,Notre Dame,,60,,,
Jason Onye,DE,Warwick,RI,6'5'',245,79,Notre Dame,,31,,,2021,Notre Dame,,,,,
Logan Diggs,RB,Metairie,LA,5'11'',185,79,Notre Dame,,12,,,2021,Notre Dame,,,,,
Mitchell Evans,TE-Y,Wadsworth,OH,6'7'',240,78,Notre Dame,,42,,,2021,Notre Dame,,,,,
Khari Gee,ATH,College Park,GA,6'3'',185,78,Notre Dame,,15,,,2021,Notre Dame,,61,,,
Joe Alt,TE-Y,Fridley,MN,6'6'',240,78,Notre Dame,,55,,,2021,Notre Dame,,90,,,
Kahanu Kia,OLB,Honolulu,HI,6'2'',220,78,Notre Dame,,,,,2021,Notre Dame,, None,,,
JoJo Johnson,ATH,Merrillville,IN,5'11'',178,77,Notre Dame,,57,,,2021,Notre Dame,,82,,,
