Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University 
Dimarya Mixon,DE,Mesquite,TX,6'4'',250,75,Nebraska,,81,,,2013,Nebraska,,,
Ernest Suttles,DE,Tampa,FL,6'5'',245,74,Nebraska,,,,,2013,Nebraska, None, None,
Boaz Joseph,CB,Weston,FL,6'0'',190,74,Nebraska,,20,,,2013,Nebraska,,,
Cethan Carter,TE,Metairie,LA,6'4'',240,74,Nebraska,,500,,,2013,Nebraska,82,185,
Kevin Maurice,DT,Orlando,FL,6'3'',275,74,Nebraska,,180,,,2013,Nebraska,282,184,
Drake Martinez,ATH,Laguna Beach,CA,6'2'',195,69,Nebraska,,5,,,2013,Nebraska,237,24,
Gabriel Miller,LS,Mishawaka,IN,6'0'',235,68,Nebraska,,,,,2013,Nebraska,,,
D.J. Foster,OL,Lincoln,NE,6'3'',316,82.0,Nebraska ,,1,,,2014,Nebraska,40,1,
Monte Harrison,WR,Lee's Summit,MO,6'2'',190,81.0,Nebraska ,,55,,,2014,Nebraska,,,
Zack Darlington,QB-DT,Apopka,FL,6'1'',201,80.0,Nebraska ,,18,,,2014,Nebraska,210,78,
Tanner Farmer,OG,Highland,IL,6'4'',306,80.0,Nebraska ,,24,,,2014,Nebraska,,,
Freedom Akinmoladun,TE,Grandview,MO,6'4'',219,79.0,Nebraska ,,11,,,2014,Nebraska,,,
Joe Keels,DE,Kenosha,WI,6'4'',280,78.0,Nebraska ,,5,,,2014,Nebraska,,,
Luke Gifford,S,Lincoln,NE,6'3'',195,78.0,Nebraska ,,38,,,2014,Nebraska,119,2,
Trai Mosley,CB,Pflugerville,TX,5'10'',171,78.0,Nebraska ,,28,,,2014,Nebraska,,,
Josh Kalu,S,Houston,TX,6'1'',171,78.0,Nebraska ,,43,,,2014,Nebraska,130,97,
Demornay Pierson-El,RB,Alexandria,VA,5'9'',172,78.0,Nebraska ,,67,,,2014,Nebraska,79,21,
Peyton Newell,DT,Hiawatha,KS,6'2'',272,78.0,Nebraska ,,64,,,2014,Nebraska,,,
Robert Lockhart,WR,Boca Raton,FL,6'1'',190,77.0,Nebraska ,,14,,,2014,Nebraska, NR, NR,
Nick Gates,OT,Las Vegas,NV,6'4'',272,77.0,Nebraska ,,,,,2014,Nebraska, None, None,
Jariah Tolbert,WR,New Orleans,LA,6'3'',184,77.0,Nebraska ,,108,,,2014,Nebraska,342,31,
Larenzo Stewart,RB,Klein,TX,5'6'',165,77.0,Nebraska ,,,,,2014,Nebraska,175,129,
Drew Brown,K,Southlake,TX,5'10'',165,77.0,Nebraska ,,10,,,2014,Nebraska,178,132,
Mikale Wilbon,RB,Chicago,IL,5'9'',190,76.0,Nebraska ,,94,,,2014,Nebraska,103,22,
Mick Stoltenberg,DE,Gretna,NE,6'5'',250,75.0,Nebraska ,,98,,,2014,Nebraska,222,4,
A.J. Bush,QB-PP,Norcross,GA,6'4'',190,74.0,Nebraska ,,55,,,2014,Nebraska,,,
Byerson Cockrell,S,Columbus,MS,6'1'',190,73.0,Nebraska ,,10,,,2014,Nebraska,,,
Jaevon Walton,ATH,New Orleans,LA,6'0'',236,72.0,Nebraska ,,174,,,2014,Nebraska,697,57,
Glenn Irons,WR,New Orleans,LA,5'9'',148,71.0,Nebraska ,,,,,2014,Nebraska,,,
Sedrick King,DE,Plant City,FL,6'4'',211,70.0,Nebraska ,,147,,,2014,Nebraska,754,278,
Chris Jones,CB,Jacksonville,FL,6'0'',162,70.0,Nebraska ,,755,,,2014,Nebraska,114,279,
DeAndre Wills,DE,Lineville,AL,6'4'',260,,Nebraska,,,,,2014,Nebraska,,,
Luke McCaffrey,QB-DT,Highlands Ranch,CO,6'2'',183,4,83,Nebraska,4,28,1,2019,Nebraska,,,
Wandale Robinson,ATH,Frankfort,KY,5'10'',179,5,81,Nebraska,21,125,4,2019,Nebraska,,,
Noa Pola-Gates,S,Gilbert,AZ,6'0'',180,5,81,Nebraska,17,39,4,2019,Nebraska,,,
Bryce Benhart,OT,Lakeville,MN,6'8'',290,5,81,Nebraska,31,22,2,2019,Nebraska,,,
Nick Henrich,OLB,Omaha,NE,6'3'',195,5,80,Nebraska,22,49,1,2019,Nebraska,,,
Quinton Newsome,CB,Suwanee,GA,6'0'',175,5,80,Nebraska,27,155,37,2019,Nebraska,,,
