Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Martin Andrus,DT,Los Angeles,CA,6'1'',280,80,UCLA,,24,,,2017,UCLA,,,,,,,,,,
Rahyme Johnson,OLB,Los Angeles,CA,6'5'',197,79,UCLA,,35,,,2017,UCLA,,,,,,,,,,
Odua Isibor,DE,Phoenix,AZ,6'5'',215,79,UCLA,,52,,,2017,UCLA,,,,,,,,,,
Moses Robinson-Carr,TE-Y,Lancaster,CA,6'5'',239,78,UCLA,,19,,,2017,UCLA,106,63,,,,,,,,
Quentin Lake,S,Santa Ana,CA,6'1'',176,78,UCLA,,44,,,2017,UCLA,,,,,,,,,,
Morrell Osling,QB-DT,Lancaster,CA,6'2'',185,78,UCLA,,23,,,2017,UCLA,,,,,,,,,,
Jaylan Shaw,CB,Corona,CA,5'11'',176,76,UCLA,,143,,,2017,UCLA,,,,,,,,,,
Jax Wacaser,OG,Scottsdale,AZ,6'4'',249,75,UCLA,,69,,,2017,UCLA,,,,,,,,,,
Austin Burton,QB-PP,Winter Garden,FL,6'4'',206,75,UCLA,,39,,,2017,UCLA,477,180,,,,,,,,
Zack Sweeney,OG,Fort Lauderdale,FL,6'3'',270,73,UCLA,,95,,,2017,UCLA,,,,,,,,,,
Dorian Thompson-Robinson,QB,Los Vegas,NV,"6'2""",194,5,86,UCLA,2,,,2018,UCLA,5,3,,,,,,,,
Jon Gaines,OT,Milwaukee,WI,,"6'5""",270,NR,UCLA,NR,,,2018,UCLA,,,,,,,,,,
Sean Rhyan,OT,San Juan Capistrano,CA,6'5'',300,,83.0,UCLA,14,23,17,2019,UCLA,,,,,,,,,,
Duke Clemens,OT,Honolulu,HI,6'4'',261,,79.0,UCLA,42,,,2019,UCLA,,,,,,,,,,
Shamar Martin,CB,San Diego,CA,5'11'',170,,79.0,UCLA,42,84,58,2019,UCLA,,,,,,,,,,
Datona Jackson,DE,Union City,OH,6'3'',260,,79.0,UCLA,9, None, None,2019,UCLA,,,,,,,,,,
Josh Carlin,OT,Chatsworth,CA,6'5'',285,,78.0,UCLA,58,98,67,2019,UCLA,,,,,,,,,,
Michael Martinez,TE,Santa Ana,CA,6'6'',246,,78.0,UCLA,18,,,2019,UCLA,,,,,,,,,,
Beau Taylor,OG,Las Vegas,NV,6'5'',287,,78.0,UCLA,35,,,2019,UCLA,,,,,,,,,,
John Ward,OLB,Palmdale,CA,6'3'',227,,77.0,UCLA,67,,,2019,UCLA,,,,,,,,,,
Charles Njoku,WR,Wayne,NJ,6'4'',198,,77.0,UCLA,118,,,2019,UCLA,,,,,,,,,,
William Nimmo Jr.,S,Santa Ana,CA,6'2'',180,,77.0,UCLA,56,,,2019,UCLA,,,,,,,,,,
Chase Griffin,QB,Hutto,TX,5'11'',190,,77.0,UCLA,,29,191,2019,UCLA,,,,,,,,,,
Siale Liku,DT,Oakland,CA,6'3'',320,,76.0,UCLA,, None, None,2019,UCLA,,,,,,,,,,
Keegan Jones,RB,Cleveland,TN,5'9'',175,,76.0,UCLA,,,,2019,UCLA,,,,,,,,,,
Kain Medrano,WR,Pueblo,CO,6'3'',205,,74.0,UCLA,157,,,2019,UCLA,,,,,,,,,,
Carl Jones,S,Bakersfield,CA,6'0'',195,,74.0,UCLA,97,,,2019,UCLA,,,,,,,,,,
Jahmon McClendon,RB,Spring Valley,CA,6'1'',210,,74.0,UCLA,105,,,2019,UCLA,,,,,,,,,,
Jaylen Erwin,WR,Charlotte,NC,5'11'',185,,73.0,UCLA,73.0,,,2019,UCLA,,,,,,,,,,
Noah Keeter,DE,Gainesville,FL,6'5'',224,,73.0,UCLA,194,717,229,2019,UCLA,,,,,,,,,,
Hayden Harris,ATH,Bellevue,WA,6'4'',225,,71.0,UCLA,166,,,2019,UCLA,,,,,,,,,,
Sitiveni Kaufusi,FB,Honolulu,HI,6'3'',241,,,UCLA,NR, NR, NR,2019,UCLA,,,,,,,,,,
Damian Sellers,,,,,,,,,11,17,3,2020,UCLA,,, OLB, Scottsdale, AZ, 6'3'',225.0,5.0, 84, UCLA
Parker McQuarrie,,,,,,,,,12,30,1,2020,UCLA,,, QB-PP, Concord, NH, 6'7'',208.0,4.0, 82, UCLA
John Humphrey,,,,,,,,,35,62,36,2020,UCLA,,, ATH, Pasadena, CA, 6'2'',175.0,4.0, 80, UCLA
Jonathan Vaughns,,,,,,,,,28,,,2020,UCLA,,, S, Bellflower, CA, 6'2'',205.0,4.0, 79, UCLA
Choe Bryant-Strother,,,,,,,,,13,227,50,2020,UCLA,,, ILB, Norcross, GA, 6'2'',250.0,4.0, 79, UCLA
Mitchell Agude,,,,,,,,,2,NR,34th,2020,UCLA,,, OLB, Corona, CA, 6'4'',235.0,4.0, 79, UCLA
Logan Loya,,,,,,,,,85,85,50,2020,UCLA,,, WR, Bellflower, CA, 6'0'',180.0,3.0, 78, UCLA
Matt Sykes,,,,,,,,,96,88,6,2020,UCLA,,, WR, Honolulu, HI, 6'3'',192.0,3.0, 78, UCLA
Caleb Johnson,,,,,,,,,47th, None, None,2020,UCLA,,, OLB, Murrieta, CA, 6'0'',215.0,3.0, 78, UCLA
Donald Warnell,,,,,,,,,46,,,2020,UCLA,,, CB, Dickinson, TX, 6'1'',180.0,3.0, 78, UCLA
Jay Max Jacobsen,,,,,,,,,74,116,63,2020,UCLA,,, DE, Temecula, CA, 6'4'',230.0,3.0, 77, UCLA
Bruno Fina,,,,,,,,,63,,,2020,UCLA,,, OG, Tucson, AZ, 6'4'',245.0,3.0, 76, UCLA
Luke Akers,,,,,,,,,6,,,2020,UCLA,,, K, Brentwood, TN, 6'2'',170.0,3.0, 76, UCLA
Myles Jackson,,,,,,,,,36,,,2020,UCLA,,, ILB, Hoschton, GA, 6'2'',215.0,3.0, 74, UCLA
Joquarri Price,,,,,,,,,123,,,2020,UCLA,,, ILB, Mesa, AZ, 6'2'',215.0,3.0, 74, UCLA
Patrick Selna,,,,,,,,,134,211,121,2020,UCLA,,, OT, San Jose, CA, 6'6'',255.0,3.0, 74, UCLA
Ioholani Raass,,,,,,,,,151,218,11,2020,UCLA,,, DE, Lehi, UT, 6'3'',220.0,3.0, 74, UCLA
Jake Newman,,,,,,,,,98,220,127,2020,UCLA,,, S, Bellflower, CA, 6'1'',190.0,3.0, 74, UCLA
Jeremiah Trojan,,,,,,,,,50,288,42,2020,UCLA,,, ILB, Chandler, AZ, 6'3'',225.0,3.0, 72, UCLA
Brittain Brown,,,,,,,,,,,,2020,UCLA,,, RB, Canton, GA, 6'1'',200.0,3.0, None, Duke University
Qwuantrezz Knight,,,,,,,,,, None, None,2020,UCLA,,, S, Quincy, FL, 6'0'',200.0,3.0, None, Kent State University
Evidence Njoku,,,,,,,,,,,,2020,UCLA,,, TE-H, Wayne, NJ, 6'4'',225.0,3.0, None, University of Miami-FL
Jack Pedersen,TE-Y,Murrieta,CA,6'4'',230.0,83,,UCLA,2,,,2022,UCLA,16,10,,,,,,,,
Kamari Ramsey,S,Chatsworth,CA,6'0'',200.0,83,,UCLA,10,,,2022,UCLA,19,12,,,,,,,,
