Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University , Pos, City, State, Height, Weight, Stars, Grade, University
Chris Hall,TE,Tulsa,OK,6'0'',230,Tulsa,,25,,,2013,Tulsa,72,,,,,,,,,,,,
Ryan Rubley,QB,Highlands Ranch,CO,6'3'',189,Tulsa,,41,,,2013,Tulsa,71,299,10,,,,,,,,,,
Lionell Phillips,DE,Garland,TX,6'3'',265,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Jesse Brubaker,DT,Wylie,TX,6'3'',240,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Joe Bean,WR,Hooker,OK,5'11'',187,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Jaylen Lowe,QB,Owasso,OK,6'0'',178,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
C.J. Gooden,OLB,Ashdown,AR,6'1'',220,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Jacob Hanks,OLB,Fort Collins,CO,6'1'',225,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Ray Crockett,CB,Southlake,TX,6'0'',160,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Blake Mejia,OG,Tulsa,OK,6'3'',280,Tulsa,,,,,2013,Tulsa,NR, None, None,,,,,,,,,,
Kerwin Thomas,CB,Wagoner,OK,5'10'',160,Tulsa,,NR,,,2013,Tulsa,NR,,,,,,,,,,,,
Zach Webb,DT,Tulsa,OK,6'2'',280,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Kolton Shindelar,TE,Liberty,MO,6'6'',252,Tulsa,,,,,2013,Tulsa,NR,,,,,,,,,,,,
Chad President,WR,Temple,TX,6'3'',195,Tulsa,,32,50,41,2015,Tulsa,81.0,,,,,,,,,,,,
Reginald Robinson III,ATH,Cleburne,TX,6'1'',179,Tulsa,,140,274,218,2015,Tulsa,73.0,,,,,,,,,,,,
Cristian Williams,CB,Dallas,TX,6'0'',165,Tulsa,,106,291,230,2015,Tulsa,72.0,,,,,,,,,,,,
Javon Thomas,RB,Texarkana,TX,6'2'',208,Tulsa,,161,318,252,2015,Tulsa,72.0,,,,,,,,,,,,
Tristan Wyatt,OT,Shawnee,OK,6'4'',293,Tulsa,,161,322,20,2015,Tulsa,71.0,,,,,,,,,,,,
McKinley Whitfield,S,Spiro,OK,6'3'',194,Tulsa,,142,334,21,2015,Tulsa,71.0,,,,,,,,,,,,
David Richardson,CB,Heath,TX,5'10'',165,Tulsa,,134,,,2015,Tulsa,70.0,,,,,,,,,,,,
