Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,University, Reg_rank, State_rank,University    
Louie Addazio, TE-Y, Gainesville, FL, 6'3'',225, None, Boston College,,,,2013,Boston College,,,,,
Mattew Patchan, OT, Tampa, FL, 6'6'',304, None, Boston College,,,,2013,Boston College,,,,,
Mike Palmer,WR,Endwell,NY,6'2'',180,Maine Endwell High School,,118,82,3,2016,Boston College,77,,,,
Kobay White,WR,Harrisburg,PA,6'0'',187,Bishop McDevitt High School,,133,97,17,2016,Boston College,77,,,,
Bryce Morais,DE,Loganville,GA,6'5'',250,Grayson High School,,363,,,2016,Boston College,77,,,,
Ethan Tucky,OLB,Delaware,OH,6'2'',215,Rutherford B. Hayes High School,,50,,,2016,Boston College,76,,,,
Tom Kowalkoski,OG,Northville,MI,6'5'',275,Detroit Catholic Central High School,,56,104,22,2016,Boston College,75,,,,
Grant Carlson,K,Missouri City,TX,5'11'',170,Ridge Point High School,,13,165,130,2016,Boston College,75,,,,
Max Richardson,ILB,College Park,GA,6'0'',225,Woodward Academy,,,,,2016,Boston College,74,,,,
Anthony Brown,QB-DT,Holmdel,NJ,6'1'',194,Saint John Vianney High,,,,,2016,Boston College,74,,,,
Brandon Barlow,DE,Latham,NY,6'5'',225,Shaker High School,,123,146,5,2016,Boston College,73,,,,
Adam Korutz,DT,Johnson City,NY,6'3'',270,Johnson City Senior High School,,147,,,2016,Boston College,73,,,,
Sean Ragan,OG,Shrewsbury,MA,6'4'',280,Saint John's High School,,81,,,2016,Boston College,73,,,,
Shane Leonard,OC,Marshfield,MA,6'2'',285,Marshfield High School,,16,,,2016,Boston College,72,,,,
Elijah Johnson,OG,Hyattsville,MD,6'6'',315,DeMatha Catholic High School,,194,,,2016,Boston College,71,,,,
Korab Idrizi,TE-YY,Oradell,NJ,6'3'',230,Bergen Catholic High,,42,,,2016,Boston College,70,,,,
John Lamot,ATH,Mebane,NC,6'1'',210,Eastern Alamance High School,,123,674,62,2016,Boston College,69,,,,
Curt Bletzer,S,West Roxbury,MA,6'0'',190,Catholic Memorial High School,,133,228,12,2016,Boston College,68,,,,
Ray Marten,TE-Y,New York,NY,6'4'',225,Poly Prep Country Day School,,,,,2016,Boston College,,,,,
Christian McStravick,WR,Houston,TX,6'3'',200,Strake Jesuit College Prep,,,,,2016,Boston College,,,,,
Hamp Cheevers,CB,Trenton,FL,5'11'',165,Trenton High School,,,,,2016,Boston College,,,,,
Jimmy Lowery,OT-TR,Charleston,IL,6'4'',290,Eastern Illinois University,,,,,2016,Boston College,Transfer,,,,
Patrick Towles,QB-PP-TR,Lexington,KY,6'5'',238,University of Kentucky,,,,,2016,Boston College,Transfer,,,,
Satchel Ziffer,K-TR,Norfolk,VA,6'4'',212,Old Dominion University,,,,,2016,Boston College,Transfer,,,,
C.J. Lewis,QB-DT,Cheshire,CT,6'4'',201,Boston College,,16,,,2017,Boston College,79.0,,60,5,
A.J. Dillon,RB,Groton,MA,6'1'',239,Boston College,,38,,,2017,Boston College,79.0,,,,
Ben Petrula,OG,Jersey City,NJ,6'6'',320,Boston College,,36,,,2017,Boston College,79.0,,,,
Brandon Sebastian,CB,Cheshire,CT,6'0'',170,Boston College,,48,,,2017,Boston College,78.0,,,,
Marquez Valdez,DE,Ramsey,NJ,6'1'',245,Boston College,,77,,,2017,Boston College,77.0,,,,
Drew McQuarrie,ATH,Weare,NH,6'6'',215,Boston College,,,,,2017,Boston College,76.0,,,,
Caleb Stoneburner,WR,Dublin,OH,6'3'',200,Boston College,,165,,,2017,Boston College,76.0,,92,34,
Ben Stewart,S,Indianapolis,IN,5'11'',197,Boston College,,71,,,2017,Boston College,75.0,,,,
Noah Jordan-Williams,WR,Syracuse,NY,6'1'',201,Boston College,,,,,2017,Boston College,75.0,,,,
Paul Theobald,ILB,West Orange,NJ,6'2'',215,Boston College,,37,,,2017,Boston College,74.0,,142,34,
Jahmin Muse,WR,Elizabeth,NJ,6'1'',197,Boston College,,180,,,2017,Boston College,74.0,,147,35,
Travis Levy,RB,Sandy Spring,MD,5'11'',189,Boston College,,96,,,2017,Boston College,73.0,,160,24,
Isaiah McDuffie,OLB,Buffalo,NY,6'2'',200,Boston College,,,,,2017,Boston College,73.0,,,,
Tate Haynes,QB-DT,San Diego,CA,6'1'',174,Boston College,,48,,,2017,Boston College,71.0,,,,
E.J. Perry,QB-PP,Andover,MA,6'2'',190,Boston College,,48,,,2017,Boston College,70.0,,187,8,
Hunter Long,TE,Exeter,NH,6'4'',235,Boston College,,,,,2017,Boston College,68.0,,,,
Patrick Brown,TE-YSan,Diego,CA,6'5'',230,Boston College,,44,,,2017,Boston College,68.0,,243,133,
Alec Lindstrom,OG,Dudley,MA,6'3'',240,Boston College,,198,,,2017,Boston College,66.0,,,,
Nathaniel Emer,OT,Elma,NY,6'5'',232,Boston College,,,,,2017,Boston College,,, None, None,
T.J. Rayam,DT (POST),Alabaster,AL,6'1'',295,Boston College,,,,,2017,Boston College,,,,,
Sam Johnson,QB-PP,Walled Lake,MI,6'4'',191,Boston College,,11,14,5,2019,Boston College,82,,,,
Patrick Garwo,RB,Fairless Hills,PA,5'9'',208,Boston College,,28,,,2019,Boston College,80,,,,
Izaiah Henderson,DT,Middletown,NJ,6'3'',260,Boston College,,42,,,2019,Boston College,79,,,,
Shitta Sillah,OLB,New Monmouth,NJ,6'3'',215,Boston College,,50,,,2019,Boston College,78,,,,
Jack Conley,OT,New Canaan,CT,6'8'',289,Boston College,,73,,,2019,Boston College,78,,,,
Spencer Bono,DE,Cincinnati,OH,6'4'',225,Boston College,,,,,2019,Boston College,77,,,,
Jalen Williams,S,Bethesda,MD,6'0'',196,Boston College,,62,,,2019,Boston College,77,,,,
Bryce Sebastian,ATH,Cheshire,CT,5'9'',159,Boston College,,102,91,8,2019,Boston College,77,,,,
Jackson Ness,DE,Columbus,OH,6'4'',250,Boston College,,140,108,41,2019,Boston College,76,,,,
Christian Mahogany,OG,Paramus,NJ,6'4'',330,Boston College,,64,,,2019,Boston College,75,,,,
Blerim Rustemi,OG,Wayne,NJ,6'4'',275,Boston College,,66,,,2019,Boston College,75,,,,
Ethon Williams,WR,Annapolis,MD,6'0'',195,Boston College,,143,139,21,2019,Boston College,75,,,,
Zay Flowers,ATH,Orange City,FL,5'10'',160,Boston College,,123,,,2019,Boston College,75,,,,
Mike Ciaffoni,DT,Sudbury,MA,6'2'',265,Boston College,,84,140,5,2019,Boston College,75,,,,
