Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,None, None, None.1,School,University  
Reid Mitchell,TE,Pflugerville,TX,6'3'',222,Rice,,308,,,2012,Rice,74.0,,247,,,,,
Justin Carter,S,Birmingham,AL,5'11'',190,Rice,,,,,2012,Rice,74.0,,,,,,,
Andre Anderson,WR,Cedar Hill,TX,5'11'',190,Rice,,218,,,2012,Rice,72.0,376,292,,,,,
Spencer Stanley,OC,Fort Worth,TX,6'3'',255,Rice,,25,,,2012,Rice,72.0,,,,,,,
Tabari McGaskey,OLB,Dallas,TX,6'0'',195,Rice,,148,,,2012,Rice,72.0,,,,,,,
Brandon Dawkins,OT,Plano,TX,6'5'',282,Rice,,179,,,2012,Rice,72.0,382,298,,,,,
Derek Brown,ATH,Bay City,TX,6'3'',195,Rice,,,,,2012,Rice,,,,,,,,
Tyler Stehling,QB,Klein,TX,6'5'',200,Rice,,,,,2012,Rice,,,,,,,,
Darick Dillard,RB,Houston,TX,5'11'',190,Rice,,,,,2012,Rice,,,,,,,,
Cameron Decell,K,McKinney,TX,6'4'',194,Rice,,,,,2012,Rice,,,,,,,,
Connor Cella,TE,Katy,TX,6'3'',240,Rice,,,,,2012,Rice,,,,,,,,
Darrion Pollard,WR,Gilmer,TX,5'9'',175,Rice,,,,,2012,Rice,,,,,,,,
Luke Turner,QB,Gilmer,TX,6'2'',215,Rice,,,,,2012,Rice,,,,,,,,
Brandon Hamilton,RB,Copperas Cove,TX,5'11'',210,Rice,,,,,2012,Rice,,,,,,,,
Dennis Parks,WR,Converse,TX,6'1'',185,Rice,,,,,2012,Rice,,,,,,,,
Michael Warren,CB,Frankston,TX,5'10'',175,Rice,,,,,2012,Rice,,,,,,,,
Garrett Fuhrman,CB,Lansing,MI,5'9'',175,Rice,,,,,2012,Rice,,,,,,,,
John Blasingame,CB,Atlanta,GA,5'9'',172,Rice,,NR,,,2012,Rice,,,,,,,,
Nate Richards,OG,Keller,TX,6'4'',300,Rice,,NR,,,2012,Rice,,NR,NR,,,,,
Samuel Stewart,RB,Cypress,TX,5'9'',184,Rice,,,,,2014,Rice,78.0,,,,,,,
Austin Walter,RB,Crosby,TX,5'7'',176,Rice,,129,,,2014,Rice,74.0,251,190,,,,,
Lance Wright,WR,Northpole,AK,6'2'',190,Rice,,176,,,2014,Rice,74.0,192,1,,,,,
Aston Walter,QB-DT,Crosby,TX,5'7'',168,Rice,,46,,,2014,Rice,72.0,,,,,,,
Jeremy Jones,QB-DT,San Antonio,TX,,6'6'',72,Rice,49,,,2014,Rice,190.0,345,259,,,,,
J.T. Ibe,S,Mansfield,TX,5'11'',167,Rice,,139,,,2014,Rice,70.0,,,,,,,
Destri White,Ath,Mesquite,TX,6'0'',192,Rice,,,,,2014,Rice,,,,,,,,
Preston Gordon,DT,Frisco,TX,6'1'',271,Rice,,,,,2014,Rice,,,,,,,,
Jorian Clark,CB,Mesquite,TX,5'9'',174,Rice,,,,,2014,Rice,,,,,,,,
Brady Wright,OLB,Cypress,TX,6'2'',210,Rice,,,,,2014,Rice,,,,,,,,
James Mayden,WR,Sachse,TX,,6'1'',,Rice,,,,2014,Rice,167.0,,,,,,,
Cory Klingler,OC,Manvel,TX,6'3'',285,Rice,,NR,,,2014,Rice,,NR,NR,,,,,
Trevor Long,WR,East Bernard,TX,6'3'',200,Rice,,,,,2014,Rice,,,,,,,,
V.J. Banks,CB,Bryan,TX,6'1'',174,Rice,,NR,,,2014,Rice,,NR,NR,,,,,
Hunter Ponder,OT,Mansfield,TX,6'6'',245,Rice,,,,,2014,Rice,,,,,,,,
Martin Nwakamma,OLB,Leander,TX,6'1'',210,Rice,,,,,2014,Rice,,,,,,,,
Emmanuel Ellerbee,ILB,Houston,TX,6'2'',220,Rice,,,,,2014,Rice,,,,,,,,
Calvin Anderson,OT,Austin,TX,6'5'',240,Rice,,,,,2014,Rice,,,,,,,,
Sam Pierce,OT,Houston,TX,6'5'',290,Rice,,,,,2014,Rice,,,,,,,,
Zach Abercrumbia,DT,Dallas,TX,6'2'',255,Rice,,,,,2015,Rice,78.0,,,,,,,
J.T. Granato,QB-PP,Houston,TX,6'4'',198,Rice,,,,,2015,Rice,76.0,,,,,,,
Blain Padgett,ILB,Sour Lake,TX,6'4'',240,Rice,,,,,2015,Rice,76.0,,,,,,,
Carl Thompson,DT,Denton,TX,6'3'',260,Rice,,,,,2015,Rice,76.0,,,,,,,
Brandon Douglas,ATH,Hutto,TX,5'11'',175,Rice,,,,,2015,Rice,73.0,,,,,,,
Jack Fox,K,Saint Louis,MO,6'2'',200,Rice,,,,,2015,Rice,73.0,,,,,,,
Isaiah Edwards,OG,Katy,TX,6'7'',365,Rice,,,,,2015,Rice,73.0,,,,,,,
Nahshon Ellerbe,RB,Addison,TX,5'9'',184,Rice,,,,,2015,Rice,73.0,,,,,,,
Christian Bertrand,S,Missouri City,TX,5'11'',185,Rice,,,,,2015,Rice,72.0,,,,,,,
Jackson Tyner,QB-DT,Edgewood,TX,6'4'',221,Rice,,,,,2015,Rice,72.0,,,,,,,
Justin Bickham,CB,Pflugerville,TX,6'0'',185,Rice,,,,,2015,Rice,71.0,,,,,,,
Emmanuel Esukpa,RB,Mansfield,TX,5'11'',205,Rice,,,,,2015,Rice,70.0,,,,,,,
Castin Neumeyer,OT,Wylie,TX,6'5'',262,Rice,,,,,2015,Rice,70.0,,,,,,,
Joshua Cummings,CB,Dallas,TX,5'10'',175,Rice,,,,,2015,Rice,68.0,,,,,,,
Joseph Dill,OG,Baytown,TX,6'4'',330,Rice,,83,,,2016,Rice,72.0,232,179,,,,,
Sam Glaesmann,QB-DT,Waco,TX,6'4'',198,Rice,,45,,,2016,Rice,71.0,,,,,,,
D'Angelo Ellis,CB,Houston,TX,5'11'',153,Rice,,,,,2016,Rice,, None, None,,,,,
Dasharm Newsome,CB,Houston,TX,5'10'',175,Rice,,,,,2016,Rice,,,,,,,,
Myles Adams,OG,Mansfield,TX,6'2'',265,Rice,,,,,2016,Rice,,,,,,,,
Jordan Myers,WR,Dickinson,TX,6'1'',199,Rice,,,,,2016,Rice,,,,,,,,
Dylan Silcox,S,Winnie,TX,6'1'',190,Rice,,,,,2016,Rice,,,,,,,,
Collin Whitaker,CB,Plano,TX,5'9'',191,Rice,,,,,2016,Rice,, None, None,,,,,
Jack Greene,OG,Missouri City,TX,6'3'',315,Rice,,,,,2016,Rice,,,,,,,,
Aaron Cephus,WR,Houston,TX,6'3'',180,Rice,,,,,2016,Rice,,,,,,,,
Jude-Anthony Ekpe,OLB,Pflugerville,TX,6'0'',205,Rice,,NR,,,2016,Rice,,,,,,,,
Javante Hubbard,DE,Houston,TX,6'2'',220,Rice,,,,,2016,Rice,,,,,,,,
Will Phillips,ILB,Franklin,TX,6'2'',235,Rice,,,,,2016,Rice,,,,,,,,
Uzoma Akunebu,ILB,Austin,TX,5'11'',225,Rice,,NR,,,2016,Rice,,,,,,,,
Elijah Garcia,DE,San Antonio,TX,6'4'',255,Rice,,NR,,,2016,Rice,,NR,NR,,,,,
Kylen Granson,TE-H,Austin,TX,6'3'',210,Rice,,,,,2016,Rice,,,,,,,,
Uzoma Osuji,OT,Coppell,TX,6'5'',250,Rice,,,,,2016,Rice,,,,,,,,
Jonathan Sanchez,TE-Y,McAllen,TX,6'6'',218,Rice,,,,,2016,Rice,,,,,,,,
Kenneth Orji,OLB,Missouri City,TX,6'1'',200,,,NR, NR, NR,2017,Rice,,,,,,,Rice,
Cameron Montgomery,RB,Stafford,TX,5'5'',152,,,,,,2017,Rice,,,,,,,Rice,
Harold Schuman III,DE,Burleson,TX,6'2'',234,,,, None, None,2017,Rice,,,,,,,Rice,
Corbin Smith,OG,Nederland,TX,6'5'',310,,,NR, NR, NR,2017,Rice,,,,,,,Rice,
Miklo Smalls,QB-DT,Plano,TX,6'2'',198,,,,,,2017,Rice,,,,,,,Rice,
TyRae Thornton,CB,Houston,TX,5'11'',165,,,, NR, None,2017,Rice,,,,,,,Rice,
George Nyakwol,CB,Houston,TX,6'0'',180,,,NR,,,2017,Rice,,,,,,,Rice,
Garrett Grammer,OLB,Richmond,TX,6'1'',209,,,,,,2017,Rice,,,,,,,Rice,
Isaiah Richardson,S,Richmond,TX,6'0'',193,,,, None, None,2017,Rice,,,,,,,Rice,
Christopher Boudreaux,QB-DT,Beaumont,TX,6'1'',154,,,, None, None,2017,Rice,,,,,,,Rice,
Gregor MacKellar,OG,Ontario,CAN,6'3'',310,,,, None, None,2017,Rice,,,,,,,Rice,
