Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School  ,School
Ty Phillips,DT,East Saint Louis,IL,6'3'',255,,Missouri,,,,2009,Missouri,, None, None,,
Matt White,CB,Keller,TX,6'0'',170,,Missouri,NR,,,2009,Missouri,, NR, NR,,
Mark Hill,OT,Branson,MO,6'6'',260,,Missouri,NR,,,2009,Missouri,,,,,
Jarrell Harrison,S,Las Vegas,NV,6'2'',210,,Missouri,,,,2009,Missouri,,,,,
Jasper Simmons,S,Pensacola,FL,6'1'',210,,Missouri,NR,,,2009,Missouri,,,,,
Josh Tatum,OLB,San Pablo,CA,6'0'',240,,Missouri,,,,2009,Missouri,,,,,
Nick Demien,OT,Wentzville,MO,6'5'',295,Missouri,,17, NR, NR,2010,Missouri,80.0,,,,
Mitch Morse,OT,Austin,TX,6'6'',285,Missouri,,19,,,2010,Missouri,80.0,,,,
Marcus Lucas,WR,Liberty,MO,6'4'',185,Missouri,,38,,,2010,Missouri,79.0,,,,
Kony Ealy,DE,New Madrid,MO,6'5'',230,Missouri,,49,,,2010,Missouri,78.0,,,,
Bud Sasser,WR,Denton,TX,6'3'',195,Missouri,,,,,2010,Missouri,78.0,,,,
Lucas Vincent,DT,Olathe,KS,6'3'',260,Missouri,,42,,,2010,Missouri,78.0,,,,
Daniel Easterly,S,Detroit,MI,6'4'',182,Missouri,,41,,,2010,Missouri,78.0,,,,
Greg White,RB,De Queen,AR,6'2'',210,Missouri,,38,,,2010,Missouri,77.0,,,,
Jared Parham,ILB,Coppell,TX,6'2'',223,Missouri,,21,,,2010,Missouri,77.0,,,,
Tyler Gabbert,QB,Ballwin,MO,6'1'',187,Missouri,,,55,,2010,Missouri,76.0,,,,
James Franklin,QB,Lake Dallas,TX,6'2'',220,Missouri,,59,,,2010,Missouri,76.0,,,,
Matt Hoch,DE,Harlan,IA,6'4'',230,Missouri,,,,,2010,Missouri,76.0,,,,
Marcus Murphy,RB,DeSoto,TX,5'9'',173,Missouri,,,,,2010,Missouri,76.0,,,,
E.J. Gaines,CB,Independence,MO,5'10'',170,Missouri,,57,,,2010,Missouri,76.0,,,,
Eric Waters,TE,Arlington,TX,6'4'',209,Missouri,,28,,,2010,Missouri,76.0,,,,
Xavier Smith,CB,Edmond,OK,5'11'',172,Missouri,,75,,,2010,Missouri,75.0,,,,
Darvin Ruise,ATH,Glen Saint Mary,FL,6'0'',200,Missouri,,155,NR,NR,2010,Missouri,74.0,,,,
Anthony Gatti,OT,Saint Louis,MO,6'5'',275,Missouri,,119,,,2010,Missouri,74.0,,,,
Henry Josey,ATH,Angleton,TX,5'9'',173,Missouri,,258,,,2010,Missouri,70.0,,,,
Tristen Holt,CB,Gilmer,TX,5'11'',180,Missouri,,NR,,,2010,Missouri,,,,,
Jimmie Hunt,WR,Cahokia,IL,6'0'',190,Missouri,,,,,2010,Missouri,,,,,
Braylon Webb,S,Gilmer,TX,6'2'',180,Missouri,,,,,2010,Missouri,,,,,
Kenronte Walker,S,Fayetteville,NC,6'1'',205,Missouri,,,,,2010,Missouri,,,,,
Dorial Green-Beckham,WR,Springfield,MO,6'6'',220,Missouri,,1,3,1,2012,Missouri,86,,,,
Evan Boehm,OG,Lee's Summit,MO,6'3'',300,Missouri,,2,,,2012,Missouri,82,,,,
Maty Mauk,QB,Kenton,OH,6'1'',190,Missouri,,16,,,2012,Missouri,80,,,,
