Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University  
Richard Bates,OG,JC,,6'3'',300,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Bryson Cannon,TE-H,JC,Irmo,SC,6'2'',NR,Eastern Michigan,,,,2019,Eastern Michigan,230,,,
Grant Trueman,DE,JC,Chino,CA,6'3'',NR,Eastern Michigan,,,,2019,Eastern Michigan,240,,,
Korey Hernandez,CB,JC,Decatur,GA,6'0'',NR,Eastern Michigan,,,,2019,Eastern Michigan,175,,,
Noski LaFleur,CB,JC,Lake Charles,LA,6'0'',NR,Eastern Michigan,NR,,,2019,Eastern Michigan,190,NR,NR,
Jose Ramirez,DT,JC,Orlando,FL,6'2'',NR,Eastern Michigan,,,,2019,Eastern Michigan,250,,,
Melvin Swindle,OG,Oklahoma City,OK,6'1'',290,Eastern Michigan  ,,30,,,2021,Eastern Michigan,78,119,10,
Cameron Smith,SE,Euclid,OH,6'1'',180,Eastern Michigan  ,,106,,,2021,Eastern Michigan,74,,,
Carter Evans,TE-Y,Crystal Lake,IL,6'4'',230,Eastern Michigan  ,,48,,,2021,Eastern Michigan,74,,,
Daniel Warnsman,OG,Dublin,OH,6'4'',280,Eastern Michigan  ,,100,,,2021,Eastern Michigan,73,,,
J.B. Mitchell,WR,Alabaster,AL,6'2'',190,Eastern Michigan  ,,239,,,2021,Eastern Michigan,73,720,72,
Jaden Gaines,DE,Alpharetta,GA,6'5'',230,Eastern Michigan  ,,186,,,2021,Eastern Michigan,72,785,169,
Mitchell Tomasek,K,Columbus,OH,6'3'',190,Eastern Michigan  ,,37,,,2021,Eastern Michigan,72,,,
Quentavius Scandrett,S,Lovejoy,GA,6'2'',190,Eastern Michigan  ,,142,,,2021,Eastern Michigan,72,,,
Austin Smith,QB-DT,Ellenwood,GA,6'2'',195,Eastern Michigan  ,,41,,,2021,Eastern Michigan,72,815,180,
Bryson Moss,RB,Newnan,GA,5'9'',185,Eastern Michigan  ,,148,,,2021,Eastern Michigan,71,,,
Andreas Paaske,TE-Y,Aarhus,DENMARK,6'7'',220,Eastern Michigan  ,,77,,,2021,Eastern Michigan,70,,,
Zach Westmoreland,WR-JC,Joplin,MO,6'2'',200,Eastern Michigan  ,,16,,,2021,Eastern Michigan,70,,,
Cole Rusk,TE-H,Rock Island,IL,6'4'',215,Eastern Michigan  ,,45,,,2021,Eastern Michigan,70,,,
Jez Janvier,OT,Quebec, CAN,6'5'',315,Eastern Michigan  ,,192,,,2021,Eastern Michigan,70,,,
Peyton Price,DT,Lafayette,IN,6'1'',290,Eastern Michigan  ,,142,,,2021,Eastern Michigan,69,,,
James Burnett,OLB,Edmond,OK,6'2'',205,Eastern Michigan  ,,,,,2021,Eastern Michigan,NR,,,
Carter Gilbert,DT,Oxford,MI,6'3'',290,Eastern Michigan  ,,,,,2021,Eastern Michigan,NR,,,
Tanner Luther,K,Chambersburg,PA,5'9'',175,Eastern Michigan  ,,,,,2021,Eastern Michigan,NR, None, None,
Zach Zoglio,LS,Cincinnati,OH,6'0'',215,Eastern Michigan  ,,,,,2021,Eastern Michigan,NR,,,
Jordan Crawford,DT-JC,Houston,TX,6'1'',340,Eastern Michigan  ,,,,,2021,Eastern Michigan,NR,,,
Steven Scheidt,ILB-JC,Clovis,CA,6'2'',236,Eastern Michigan  ,,,,,2021,Eastern Michigan,NR,,,
Dexter Manior,DT-TR,Rincon,GA,6'2'',300,Eastern Michigan  ,,,,,2021,Eastern Michigan,TR,,,
Dylan Summers,WR-TR,Chicago,IL,6'1'',180,Eastern Michigan  ,,,,,2021,Eastern Michigan,TR,,,
Samson Evans,RB-TR,Crystal Lake,IL,6'0'',210,Eastern Michigan  ,,,,,2021,Eastern Michigan,TR,,,
Ben Bryant,QB-PP-TR,La Grange,IL,6'3'',200,Eastern Michigan  ,,,,,2021,Eastern Michigan,TR,,,
Greg Kelley,S-LQ,Leander,TX,6'1'',215,Eastern Michigan  ,,,,,2021,Eastern Michigan,NR,,,
Wyatt Duvall,WR-TR,Oklahoma City,OK,5'11'',185,Eastern Michigan,,,,,2021,Eastern Michigan,TR,,,
