Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,School, Reg_rank, State_rank,University  
Deontae West,ATH,Hialeah,FL,5'9'',159,73,Marshall,,,,2012,Marshall,3.0,,,,
Devon Johnson,ILB,Richlands,VA,6'2'',209,72,Marshall,,,,2012,Marshall,3.0,, None, None,
Cameron Dees,OC,Seffner,FL,6'2'',280,71,Marshall,,,,2012,Marshall,3.0,, None, None,
LaVar Highsmith,OLB,Baltimore,MD,5'10'',205,67,Marshall,192,,,2012,Marshall,3.0,,,,
Matt Cincotta,LS,Charlotte,NC,6'0'',190,66,Marshall,9,,,2012,Marshall,3.0,,1044,70,
Deyonte Henderson,OLB,Orlando,FL,6'0'',210,,Marshall,,,,2012,Marshall,3.0,,,,
Marcus Gilchrist,DE,Port Charlotte,FL,6'3'',240,NR,Marshall,,,,2012,Marshall,,, None, None,
Gary Thompson,OLB,La Mesa,CA,6'2'',205,NR,Marshall,NR,,,2012,Marshall,,,,,
Zach Hall,OG,Port Charlotte,FL,6'6'',300,NR,Marshall,NR,,,2012,Marshall,,, NR, NR,
Eric Ansley,OT,Decatur,GA,6'6'',280,NR,Marshall,,,,2012,Marshall,,,,,
Stefone Grace,ATH,Cincinnati,OH,6'3'',200,NR,Marshall,,,,2012,Marshall,,, None, None,
Joe Massaquoi,DE,Alexandria,VA,6'5'',230,NR,Marshall,,,,2012,Marshall,,, None,,
Shawn Samuels,S,Bainbridge,GA,6'1'',180,NR,Marshall,,,,2012,Marshall,,,,,
Clint Van Horn,OT,Beckley,WV,6'5'',300,NR,Marshall,,,,2012,Marshall,,, None, None,
Chris Alston,WR,Winnsboro,SC,5'11'',185,NR,Marshall,,,,2012,Marshall,,,,,
Ken Smith,DT,Brenham,TX,6'3'',285,NR,Marshall,,,,2012,Marshall,,, None, None,
Billy Rone,OT,Tempe,AZ,6'3'',285,NR,Marshall,,,,2012,Marshall,,,,,
Gage Niemeyer,OT,San Jacinto,CA,6'6'',300,NR,Marshall,,,,2012,Marshall,,,,,
Von Davis,ATH,Mount Dora,FL,5'11'',171,79.0,Marshall,53,,,2015,Marshall,,,247,82,
