Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Star,Unnamed: 8
Kelton Brown,OG,Tylertown,MS,6'4'',320,,UAB,,NR,,,2017,U of Alabama Birmingham,,,,,
Chigozie Onyekwere,S,Washington,DC,6'0'',215,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Justice Powers,OG,Athens,TX,6'4'',305,,UAB,,,,,2017,U of Alabama Birmingham,, NR, NR,,
Cedric Battle,RB,Wichita Falls,TX,5'10'',180,,UAB,,NR,,,2017,U of Alabama Birmingham,,NR,NR,,
Rishard Cook,OG,Hattiesburg,MS,6'3'',360,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Logan Scott,TE-Y,Purvis,MS,6'5'',228,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Thair Blakes,TE-Y,Phoenix,AZ,6'5'',235,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
David Galten,OG,San Mateo,CA,6'3'',305,,UAB,,NR,,,2017,U of Alabama Birmingham,,NR,NR,,
C.D. Daniels,S,Birmingham,AL,6'2'',169.0,,75.0,,72,517,33,2018,U of Alabama Birmingham,Homewood High School,,,,
Starling Thomas V,CB,Birmingham,AL,5'9'',159.0,,,,NR, NR, NR,2018,U of Alabama Birmingham,Ramsay High School,,,,
Jomond Foster,S,New Orleans,LA,5'11'',175.0,,,,NR, NR, NR,2018,U of Alabama Birmingham,Landry-Walker High School,,,,
Dylan Hopkins,QB-DT,Maryville,TN,6'2'',189.0,,,,, None, None,2018,U of Alabama Birmingham,Maryville High School,,,,
Michael Fairbanks,DE,Powder Springs,GA,6'3'',250.0,,,,, None, None,2018,U of Alabama Birmingham,McEachern High School,,,,
Nuru Tinch,RB,Covington,GA,5'11'',205.0,,,,,,,2018,U of Alabama Birmingham,Newton High School,,,,
Adarius McWilliams,DT,Pensacola,FL,6'2'',298.0,,,,NR,,,2018,U of Alabama Birmingham,West Florida Tech High School,,,,
Jaylen Key,S,Tallahassee,FL,6'2'',185.0,,,,NR,,,2018,U of Alabama Birmingham,Godby High School,,,,
Jalen Rayam,OLB,Alabaster,AL,6'1'',214.0,,,,, NR, NR,2018,U of Alabama Birmingham,Thompson High School,,,,
Deshaun Oliver,S,Birmingham,AL,6'1'',185.0,,,,, NR, NR,2018,U of Alabama Birmingham,Ramsay High School,,,,
Danyton Thomas,CB,Opelika,AL,5'11'',185.0,,,,NR, NR, NR,2018,U of Alabama Birmingham,Beauregard High School,,,,
Deandre Butler,OG,Opelika,AL,6'3'',310.0,,,,NR, NR, NR,2018,U of Alabama Birmingham,Opelika High School,,,,
Xavier Lanier,S,Gordo,AL,6'1'',185.0,,,,,,,2018,U of Alabama Birmingham,Gordo High School,,,,
Myron Mitchell,WR (JC),Jasper,AL,6'0'',170.0,,,,NR,,,2018,U of Alabama Birmingham,Butler Community College,,,,
Colby Ragland,OT (JC),Raymond,MS,6'5'',295.0,,,,, None, None,2018,U of Alabama Birmingham,Jones County Junior College,,,,
Austin Watkins,WR (JC),Fort Myers,FL,6'2'',195.0,,,,NR,,,2018,U of Alabama Birmingham,Dodge City Community College,,,,
Kendall Parham,WR (JC),Ellisville,MS,5'10'',180.0,,,,NR,,,2018,U of Alabama Birmingham,Jones County Junior College,,,,
Andrew Smith,OG (JC),Ellisville,MS,6'1'',285.0,,,,,,,2018,U of Alabama Birmingham,Jones County Junior College,,,,
Carter Wood,OT (JC),Starkville,MS,6'5'',275.0,,,,, None, None,2018,U of Alabama Birmingham,Mississippi Gulf Coast Comm College,,,,
Antonio Moultrie,DT (JC),Booneville,MS,6'5'',285.0,,,,, None, None,2018,U of Alabama Birmingham,Northeast Mississippi Comm. College,,,,
Jarrion Street,RB (TR),Trussville,AL,6'1'',211.0,,,,, None, None,2018,U of Alabama Birmingham,University of Mississippi,,,,
RaJae' Johnson,WR,Saint Louis,MO,6'3'',215,,,UAB,42nd, None, None,2019,U of Alabama Birmingham,,,,79.0,
Tony Fair,DT,South Bend,IN,6'2'',335,,,UAB,77,440,33,2019,U of Alabama Birmingham,,,,79.0,
Jayme Simmons,OT,Alabaster,AL,6'5'',260,,,UAB,38,,,2019,U of Alabama Birmingham,,,,77.0,
Jammal Abrams,ILB,Birmingham,AL,6'2'',239,,,UAB,41,645,212,2019,U of Alabama Birmingham,,,,74.0,
Bryson Lucero,QB-PP,Bradenton,FL,6'2'',217,,,UAB,32,675,56,2019,U of Alabama Birmingham,,,,74.0,
Matt Quinn,K,Spanish Fort,AL,5'10'',165,,,UAB,125,685,147,2019,U of Alabama Birmingham,,,,73.0,
Rashard Revels,OLB,Moultrie,GA,6'0'',195,,,UAB,48,,,2019,U of Alabama Birmingham,,,,73.0,
Will Conner,ILB,Alabaster,AL,6'1'',210,,,UAB,,,,2019,U of Alabama Birmingham,,,,72.0,
Larry Smith,ILB,Miami,FL,5'10'',216,,,UAB,, None, None,2019,U of Alabama Birmingham,,,,,
Keondre Swoopes,CB,Hartselle,AL,6'1'',163,,,UAB,NR,,,2019,U of Alabama Birmingham,,,,,
Terrell McDonald,ATH,Muscle Shoals,AL,6'2'',200,,,UAB,, None, None,2019,U of Alabama Birmingham,,,,,
Will Rykard,OC,Moultrie,GA,6'2'',280,,,UAB,,,,2019,U of Alabama Birmingham,,,,,
Damien Miller,S,Fairfield,AL,6'0'',180,,,UAB,, NR, NR,2019,U of Alabama Birmingham,,,,,
Damon Miller,CB,Fairfield,AL,5'11'',170,,,UAB,NR, NR, NR,2019,U of Alabama Birmingham,,,,,
Alex Wright,DE,Elba,AL,6'3'',225,,,UAB,, None, None,2019,U of Alabama Birmingham,,,,,
Kevin Penn,DT,Decatur,AL,6'3'',305,,,UAB,NR,,,2019,U of Alabama Birmingham,,,,,
Jarius Thomas,TE-H,Columbus,GA,6'3'',220,,,UAB,NR, NR, NR,2019,U of Alabama Birmingham,,,,,
Jermaine Brown,WR,Mobile,AL,5'9'',175,,,UAB,, None, None,2019,U of Alabama Birmingham,,,,,
Jordan Smith,OLB,Lithonia,GA,6'6'',220,,,UAB,,,,2019,U of Alabama Birmingham,,,,,
Sidney Wells,OG,Perkinston,MS,6'3'',330,,,UAB,,,,2019,U of Alabama Birmingham,,,,,
Jaquavious Collins,DT,Fort Dodge,IA,6'3'',300,,,UAB,,,,2019,U of Alabama Birmingham,,,,,
Markus Grossman,WR,Frederick,MD,5'11'',180,,,UAB,,,,2019,U of Alabama Birmingham,,,,,
Matthew Trehern,OG,Saraland,AL,6'3'',300,,,UAB,, None, None,2019,U of Alabama Birmingham,,,,,
Shaakir Smith,DE,Kilgore,TX,6'3'',220,,,UAB,,,,2019,U of Alabama Birmingham,,,,,
Tim Burns Jr,CB,Miami,FL,5'10'',150,5,78,UAB Blazers,34,229,80,2021,U of Alabama Birmingham,,,,,
Eli Richey,OG,Greensboro,AL,6'5'',280,5,73,UAB Blazers,, None, None,2021,U of Alabama Birmingham,,,,,
Charles Daniels,OLB,,,6'2'',205,5,73,UAB Blazers,138,321,245,2021,U of Alabama Birmingham,,,,,
Antwan Massie,CB,Miami,FL,5'9'',175,5,73,UAB Blazers,139,,,2021,U of Alabama Birmingham,,,,,
Kybo Jamerson,OLB,Longview,TX,6'2'',205,5,73,UAB Blazers,156,,,2021,U of Alabama Birmingham,,,,,
Keegan Vaughan,OT,Westland,MI,6'6'',300,5,72,UAB Blazers,10, NR, NR,2021,U of Alabama Birmingham,,,,,
Quincy McGee,OG,Hattiesburg,MS,6'4'',350,5,71,UAB Blazers,6, None, None,2021,U of Alabama Birmingham,,,,,
Jordan Palmer,WR,Alpharetta,GA,6'3'',190,5,71,UAB Blazers,292,893,194,2021,U of Alabama Birmingham,,,,,
Devin Manigault,DT,Mobile,AL,6'4'',285,5,70,UAB Blazers,131,,,2021,U of Alabama Birmingham,,,,,
Cort Bradley,OC,Auburn,AL,6'4'',270,5,70,UAB Blazers,19,,,2021,U of Alabama Birmingham,,,,,
Dylan Mehrotra,QB,Baton Rouge,LA,6'3'',185,5,70,UAB Blazers,64,,,2021,U of Alabama Birmingham,,,,,
Brody Dalton,TE,Fyffe,AL,6'4'',230,5,69,UAB Blazers,82,952,106,2021,U of Alabama Birmingham,,,,,
Brett Johnson,OT,Maplesville,AL,6'4'',280,5,69,UAB Blazers,196,,,2021,U of Alabama Birmingham,,,,,
Xander Echols,LS,Chelsea,AL,6'0'',195,5,68,UAB Blazers,14,,,2021,U of Alabama Birmingham,,,,,
Javonte Graves-Billips,WR,Mobile,AL,,5'10'',185,NR,UAB Blazers,, None, None,2021,U of Alabama Birmingham,,,,,
Fred Farrier,WR,Frankfort,KY,6'0'',170,NR,UAB Blazers,,,,,2021,U of Alabama Birmingham,,,,,
Lee Witherspoon,RB,Stevenson,AL,5'11'',190,TR,UAB Blazers,,,,,2021,U of Alabama Birmingham,,,,,
Charlie Benton,OLB,Opelika,AL,6'3'',220,TR,UAB Blazers,,, None, None,2021,U of Alabama Birmingham,,,,,
Justin Thomas,DE,Spanish Fort,AL,6'4'',260,TR,UAB Blazers,,, None, None,2021,U of Alabama Birmingham,,,,,
Daniel Harris,DE,Melbourne,FL,6'5'',180,,78.0,UAB,76,275,102,2023,U of Alabama Birmingham,,,,,
Everett Roussaw,OLB,Ellenwood,GA,6'2'',205,,78.0,UAB,,,,2023,U of Alabama Birmingham,,,,,
Emmanuel Waller,DE,Chelsea,AL,6'4'',240,,78.0,UAB,84,308,29,2023,U of Alabama Birmingham,,,,,
Amare Thomas,WR,Pinson,AL,5'11'',200,,75.0,UAB,171,,,2023,U of Alabama Birmingham,,,,,
Eamon Smalls,DT,Beaufort,SC,6'2'',315,,75.0,UAB,547,83,24,2023,U of Alabama Birmingham,,,,,
Jordan Hall,OT,Columbus,OH,6'8'',320,,75.0,UAB,110,135,41,2023,U of Alabama Birmingham,,,,,
Ricky Lee,CB,Ellenwood,GA,5'10'',170,,74.0,UAB,136,596,143,2023,U of Alabama Birmingham,,,,,
Connor Knight,DT,Trussville,AL,6'1'',270,,74.0,UAB,615,,,2023,U of Alabama Birmingham,,,,,
Brandon Hawkins,WR,Waxahachie,TX,5'11'',185,,73.0,UAB,11, NR, NR,2023,U of Alabama Birmingham,,,,,
Christopher Bracy,S,Mobile,AL,6'0'',185,,72.0,UAB,162,728,61,2023,U of Alabama Birmingham,,,,,
Michael Towner,DE,Prichard,AL,6'2'',240,,,UAB,NR, NR, NR,2023,U of Alabama Birmingham,,,,,
Delano Townsend,OG,Flint,MI,6'3'',300,,,UAB,,,,2023,U of Alabama Birmingham,,,,,
Kameran Shanks,WR,Prattville,AL,5'10'',175,,,UAB,,,,2023,U of Alabama Birmingham,,,,,
Alfonzo Leomiti,OG,Los Alamitos,CA,6'4'',310,,,UAB,,,,2023,U of Alabama Birmingham,,,,,
Jaylyn Ferguson,WR,Fort Worth,TX,6'2'',160,,,UAB,, None, None,2023,U of Alabama Birmingham,,,,,
Guerlens Milfort,DT,Lakeland,FL,6'2'',275,,,UAB,, None, None,2023,U of Alabama Birmingham,,,,,
Jonathan Allen,DE,Birmingham,AL,6'3'',230,,,UAB,, None, None,2023,U of Alabama Birmingham,,,,,
Mason Chorak,OT,Scottsdale,AZ,6'5'',265,,,UAB,, NR, NR,2023,U of Alabama Birmingham,,,,,
Tyler Thomas,DE,Mobile,AL,6'6'',215,,,UAB,NR, NR, NR,2023,U of Alabama Birmingham,,,,,
Corri Milliner,WR,Alexander City,AL,6'1'',170,,,UAB,, None, None,2023,U of Alabama Birmingham,,,,,
Logan Moore,OT,San Diego,CA,6'7'',255,,,UAB,, None, None,2023,U of Alabama Birmingham,,,,,
Jamarcus Jones,ATH,Union,MS,6'4'',190,,,UAB,, None, None,2023,U of Alabama Birmingham,,,,,
Jalen Nettles,OG,Canton,MS,6'4'',300,,,UAB,, None, None,2023,U of Alabama Birmingham,,,,,
Dazalin Worsham,WR,Trussville,AL,6'1'',190,,,Air Force,, None, None,2023,U of Alabama Birmingham,,,,,
Joshua Jackson,WR,New Orleans,LA,6'3'',185,,78,Saint Augustine High School,364,103,23,2024,U of Alabama Birmingham,,,,,
Tylan McNichols,S,Decatur,MS,6'0'',205,,76,Newton County High School,121,,,2024,U of Alabama Birmingham,,,,,
Adrian Posse,QB-PP,Hialeah Gardens,FL,6'4'',225,,75,Mater Academy Charter High School,62,,,2024,U of Alabama Birmingham,,,,,
Jaden Ligon,OT,LaGrange,GA,6'5'',300,,74,LaGrange High School,150,,,2024,U of Alabama Birmingham,,,,,
Eddy Toussom,OLB,Corsicana,TX,6'4'',240,,74,Navarro College,4, NR, NR,2024,U of Alabama Birmingham,,,,,
Kyle Mosley,DT,Ellenwood,GA,6'1'',285,,74,Cedar Grove High School,731,,,2024,U of Alabama Birmingham,,,,,
Kelvin Hill,CB,Carrollton,GA,5'11'',175,,73,Carrollton High School,172,759,193,2024,U of Alabama Birmingham,,,,,
