Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,University 
Cameron Henderson,DE,Birmingham,AL,6'4'',255,,,UCF,,,,2011,U of Central Florida,,,,,
Toby Jackson,DE,Griffin,GA,6'4'',255,,,UCF,NR,NR,NR,2011,U of Central Florida,,,,,
Ray Cottman,OLB,Tucson,AZ,6'2'',225,,,UCF,,,,2011,U of Central Florida,,,,,
Kentorius Jackson,S,Griffin,GA,6'1'',185,,,UCF,NR,,,2011,U of Central Florida,,,,,
Jose Jose,DT,Miami,FL,6'2'',355,,,UCF,,,,2011,U of Central Florida,,,,,
Terran Buck,ILB,Aurora,IL,6'2'',237,,,UCF,NR,NR,NR,2011,U of Central Florida,,,,,
Colby Watson,OG,Pensacola,FL,6'5'',300,,79.0,,20,,,2012,U of Central Florida,124,47,UCF,,
Jeremy Davis,CB, Cape Coral,FL,6'0'',170,,78.0,,,,,2012,U of Central Florida,,,UCF,,
Jared Henry,S, Jacksonville,FL,6'1'',190,,78.0,,6,,,2012,U of Central Florida, None, None,UCF,,
Luke Adams,DE,Pensacola,FL,6'3'',235,,76.0,,,,,2012,U of Central Florida,,,UCF,,
Drico Johnson,WR,Orlando,FL,6'1'',195,,76.0,,128,,,2012,U of Central Florida,,,UCF,,
Jacoby Glenn,S,Prichard,AL,6'0'',170,,76.0,,,,,2012,U of Central Florida, None, None,UCF,,
Blake Davis,TE,Delray Beach,FL,6'4'',225,,75.0,,57,,,2012,U of Central Florida,527,182,UCF,,
Chester Brown,OG,Hinesville,GA,6'5'',332,,75.0,,104,,,2012,U of Central Florida,607,120,UCF,,
Taylor Oldham,WR,Daytona Beach,FL,6'1'',185,,74.0,,190,,,2012,U of Central Florida,720,259,UCF,,
Stanley Sylverain,OLB,Naples,FL,6'2'',210,,73.0,,129,,,2012,U of Central Florida,770,273,UCF,,
Kelly Parfitt,OT,Delray Beach,FL,6'5'',280,,72.0,,177,,,2012,U of Central Florida,835,295,UCF,,
Nicco Whigham,S,Fort Lauderdale,FL,6'0'',188,,72.0,,,,,2012,U of Central Florida,842,300,UCF,,
Domenic Spencer,OLB,Dallas,TX,5'11'',215,,71.0,,156,,,2012,U of Central Florida,401,314,UCF,,
Dareen Owi,WR,Miami,FL,6'3'',195,,71.0,,,,,2012,U of Central Florida, None, None,UCF,,
Breshad Perriman,WR,Lithonia,GA,6'1'',180,,70.0,,,,,2012,U of Central Florida, None, None,UCF,,
Mike Campbell,OT,Pace,FL,6'6'',250,,,,,,,2012,U of Central Florida,,,UCF,,
Cal Bloom,TE,Osseo,MN,6'5'',230,,,,,,,2012,U of Central Florida,,,UCF,,
Troy Green,QB,Skaneateles,NY,6'1'',195,,,,,,,2012,U of Central Florida,,,UCF,,
Tyler Gabbert,QB,Ballwin,MO,6'0'',200,,,,,,,2012,U of Central Florida, None, None,UCF,,
Phil Smith,OT,Tampa Bay,FL,6'5'',290,,,,,,,2012,U of Central Florida,,,UCF,,
Seyvon Lowry,DE,Jacksonville,FL,6'3'',225,80,UCF,,35,,,2013,U of Central Florida,194,79,,,
Blake Keller,DE,Bradenton,FL,6'2'',220,78,UCF,,50,,,2013,U of Central Florida,264,102,,,
Jake Berman,OLB,Naples,FL,6'1'',220,78,UCF,,6,,,2013,U of Central Florida,275,108,,,
Mario Mathis,OLB,Thomasville,GA,6'2'',230,77,UCF,,,,,2013,U of Central Florida,66,68,,,
Dontravious Wilson,RB,Buford,GA,5'11'',220,76,UCF,,356,,,2013,U of Central Florida,,,,,
Micah Reed,RB,Crestview,FL,5'11'',185,76,UCF,,,,,2013,U of Central Florida, None, None,,,
Tate Hernly,OC,Fort Myers,FL,6'3'',280,75,UCF,,13,,,2013,U of Central Florida,,,,,
Antonio Guerad,DT,Tampa,FL,6'4'',250,73,UCF,,73,,,2013,U of Central Florida,536,198,,,
Justin Holman,QB-DT,Stone Mountain,GA,6'3'',180,72,UCF,,37,,,2013,U of Central Florida,,,,,
Aaron Evans,OG,Seffner,FL,6'5'',265,71,UCF,,97,,,2013,U of Central Florida,601,230,,,
D.J. Killings,CB,Jacksonville,FL,5'11'',185,71,UCF,,,,,2013,U of Central Florida,604,231,,,
Shaquill Griffin,CB,Saint Petersburg,FL,6'1'',183,71,UCF,,104,,,2013,U of Central Florida,607,232,,,
Pete DiNovo,QB-PP,Tarpon Springs,FL,6'1'',193,71,UCF,,,,,2013,U of Central Florida,,,,,
Shaquem Griffin,S,Saint Petersburg,FL,6'1'',183,70,UCF,,,,,2013,U of Central Florida, None, None,,,
Chequan Burkett,Montgomery,ALJefferson Davis High School6'0''204,NR,UCF,,,,,,,,2013,U of Central Florida, None, None,,,
Justin McDonald,OLB,Fort Lauderdale,FL,Boyd Anderson High School6'1'',194,NR,UCF,,,,,2013,U of Central Florida, None, None,,,
Deondre Barnett,DECocoa,FL,Cocoa High School6'2'',215,NR,UCF,,,NR,,,2013,U of Central Florida,,,,,
Will Stanback,ATH,Uniondale,NY,Uniondale High School6'0'',180,NR,UCF,,,,,2013,U of Central Florida,,,,,
Jordan Prestwood,OT (TR),Plant City,FL,University of Notre Dame6'6'',310,TR,UCF,,,,,2013,U of Central Florida, None, None,,,
Kyle Gibson,S,Seffner,FL,6'0'',169,3,83,UCF,10,,,2014,U of Central Florida,92,30,,,
Dredrick Snelson,WR,Pembroke Pines,FL,6'0'',192,82,UCF,,165,,,2016,U of Central Florida,79,30,,,
Jordan Johnson,OG,Jacksonville,FL,6'2'',271,80,UCF,,24,,,2016,U of Central Florida,213,73,,,
Eric Mitchell,DE,Miami,FL,6'1'',221,79,UCF,,56,,,2016,U of Central Florida,,,,,
Aaron Dowdell,OG,Atlanta,GA,6'3'',299,79,UCF,,35,,,2016,U of Central Florida,255,49,,,
Jaquarius Bargnare,WR,Orlando,FL,5'9'',185,74,UCF,,,,,2016,U of Central Florida,512,168,,,
