Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,Pos_Rank,Reg_Rank,State_Rank
Brian Harris,WR,Columbia,SC,"6'2""""",180,70,Spring Valley HS (Columbia, SC),,,,2014,Temple,,,,,,
Matt Edwards,LB,Albany,NY,"6'2""""",222,69,Albany Academy (Albany, NY),,,,2014,Temple,,,,,,
Mark Wallace,QB,Marietta,GA,"6'0""""",176,68,Pebblebrook HS (Mableton, GA),,,,2014,Temple,,,,,,
Chris Thompson,ATH,Concord,NC,"5'8""""",174,68,Cox Mill HS (Concord, NC),,,,2014,Temple,,,,,,
Ralph Hudson,WR,Elk Grove,CA,"6'1""""",195,68,Christian Brothers HS (Sacramento, CA),,,,2014,Temple,,,,,,
Devin Lewis,CB,Richmond,TX,"5'10""""",186,68,Foster HS (Richmond, TX),,,,2014,Temple,,,,,,
Joshua Hill,RB,West Columbia,SC,"5'11""""",190,68,Gray Collegiate Academy (West Columbia, SC),,,,2014,Temple,,,,,,
Miles Sparks,DT,Santa Fe Springs,CA,"6'3""""",275,68,Buena Park HS (Buena Park, CA),,,,2014,Temple,,,,,,
Casey Rose,QB,Dayton,OH,"6'3""""",195,67,Stivers School for the Arts (Dayton, OH),,,,2014,Temple,,,,,,
Kareem Ali Jr.,CB,Erial,NJ,5'11'',170,,79.0,,27,,,2015,Temple,Temple,44,7,,,
Greg Webb,DT,Erial,NJ,6'1'',315,,79.0,,6,,,2015,Temple,Temple,,,,,
Chapelle Cook,RB,Lakewood,NJ,6'2'',205,,77.0,,79,,,2015,Temple,Temple,99,17,,,
T.J. Simmons,RB,Lakeland,FL,6'0'',189,,77.0,,404,,,2015,Temple,Temple,85,135,,,
Patrick Anderson,WR,Aliquippa,PA,6'3'',190,,77.0,,124,,,2015,Temple,Temple,107,18,,,
Dana Levine,DE,Hallandale Beach,FL,6'4'',218,,74.0,,107,,,2015,Temple,Temple,,,,,
Benson Israel,OG,Montvale,NJ,6'2'',317,,74.0,,167,,,2015,Temple,Temple,94,32,,,
Daishaun Grimes,OLB,Harmony,FL,6'2'',193,,74.0,,103,,,2015,Temple,Temple,586,207,,,
Jovahn Fair,OG,Akron,OH,6'3'',285,,73.0,,106,,,2015,Temple,Temple,,,,,
Delvon Randall,S,Monroeville,PA,6'0'',185,,73.0,,,,,2015,Temple,Temple, None, None,,,
Logan Marchi,QB,Bristol,CT,6'0'',180,,72.0,,,,,2015,Temple,Temple,,,,,
Ryquell Armstead,RB,Millville,NJ,5'11'',185,,71.0,,171,,,2015,Temple,Temple,228,43,,,
Raekwon Gray,RB,Ijamsville,MD,5'8'',160,,69.0,,185,,,2015,Temple,Temple,237,41,,,
Jeremiah Atoki,ATH,Vineland,NJ,6'2'',195,,69.0,,171,,,2015,Temple,Temple,,,,,
Ahkema Evans,CB,Huntersville,NC,5'9'',165,,69.0,,142,,,2015,Temple,Temple,818,59,,,
DeAndre Kelly,DE,Hyattsville,MD,6'4'',238,,68.0,,154,,,2015,Temple,Temple,254,43,,,
Jager Gardner,ATH,Black Mountain,NC,6'3'',199,,,,,,,2015,Temple,Temple, None, None,,,
Cortrelle Simpson,CB,Indian Head,MD,5'10'',168,,,,NR,,,2015,Temple,Temple,,,,,
Taiyir Wilson,OLB,Pennsburg,PA,6'1'',215,,,,,,,2015,Temple,Temple, None, None,,,
Amechie Walker,WR,Harrisburg,PA,5'9'',170,,,,NR,,,2015,Temple,Temple, NR, NR,,,
