Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Colin Porter,OG,Redmond,WA,6'4'',300,4,78,Washington,20,77, NR,2010,Washington,,,
Michael Hartvigson,TE,Bothell,WA,6'5'',225,4,78,Washington,20,,,2010,Washington,,,
Victor Burnett,ILB,Culver City,CA,5'11'',218,4,77,Washington,49,93,65,2010,Washington,,,
Erik Kohler,OT,Westlake Village,CA,6'4'',275,4,77,Washington,52,96,67,2010,Washington,,,
Princeton Fuimaono,OLB,Long Beach,CA,6'1'',189,4,77,Washington,58,,,2010,Washington,,,
Jesse Callier,RB,Downey,CA,5'11'',185,4,77,Washington,,,,2010,Washington,,,
Greg Ducre,CB,Los Angeles,CA,5'10'',170,4,77,Washington,,65, NR,2010,Washington,,,
Micah Hatchie,OT,Waialua,HI,6'4'',260,4,77,Washington,3,,,2010,Washington,,,
Zach Fogerson,FB,Seattle,WA,6'0'',220,4,77,Washington,77,120,85,2010,Washington,,,
Michael Criste,OT,Mission Viejo,CA,6'5'',285,4,77,Washington,47,,,2010,Washington,,,
Colin Tanigawa,OG,Los Angeles,CA,6'3'',270,4,76,Washington,137,,,2010,Washington,,,
Chris Young,S,Auburn,WA,6'1'',220,4,76,Washington,,,,2010,Washington,,,
Brent Williams,DE,Woodland Hills,CA,6'3'',183,4,76,Washington,,,,2010,Washington,,,
Ben Riva,OT,Seattle,WA,6'6'',280,4,75,Washington,129,276, None,2010,Washington,,,
Lawrence Lagafuaina,DT,Aiea,HI,6'0'',319,3,73,Washington,203,,,2010,Washington,,,
Taz Stevenson,ATH,Mililani,HI,6'2'',180,3,73,Washington,158,298,190,2010,Washington,,,
Andrew Hudson,DE,Redlands,CA,6'3'',214,3,73,Washington,90,,,2010,Washington,,,
Garrett Gilliland,ILB,Orange,CA,6'0'',210,3,72,Washington,143,346, NR,2010,Washington,,,
Cooper Pelluer,OLB,Sammamish,WA,6'3'',210,3,71,Washington,, None, None,2010,Washington,,,
James Atoe,OT,The Dalles,OR,6'6'',320,NR,Washington,,, None, None,2010,Washington,,,
John Timu,S,Long Beach,CA,6'0'',189,NR,Washington,,, None, None,2010,Washington,,,
DiAndre Campbell,WR,Oakland,CA,6'1'',171,NR,Washington,,,,,2010,Washington,,,
Kasen Williams,WR,Sammamish,WA,6'2'',200,81.0,Washington,,13,11, NR,2011,Washington,,,
Austin Seferian-Jenkins,OT,Gig Harbor,WA,6'6'',250,81.0,Washington,,9,,,2011,Washington,,,
Derrick Brown,QB,Murrieta,CA,6'3'',225,79.0,Washington,,21,47,33,2011,Washington,,,
Marvin Hall,WR,Los Angeles,CA,5'10'',170,78.0,Washington,,59,50,36,2011,Washington,,,
Danny Shelton,DT,Auburn,WA,6'3'',300,78.0,Washington,,43,52, None,2011,Washington,,,
Jarett Finau,TE,Kirkland,WA,6'4'',232,78.0,Washington,,25,,,2011,Washington,,,
Josh Perkins,WR,Cerritos,CA,6'4'',185,78.0,Washington,,67,,,2011,Washington,,,
Bishop Sankey,RB,Spokane,WA,5'9'',185,78.0,Washington,,35,,,2011,Washington,,,
Dexter Charles,OT,Stanwood,WA,6'4'',290,78.0,Washington,,42,,,2011,Washington,,,
James Sample,OLB,Sacramento,CA,6'3'',195,78.0,Washington,,68,87,56,2011,Washington,,,
Taniela Tupou,DE,Kirkland,WA,6'2'',272,77.0,Washington,,94,107, NR,2011,Washington,,,
Corey Waller,OLB,Long Beach,CA,6'1'',205,76.0,Washington,,90,126,86,2011,Washington,,,
Marcus Peters,ATH,Oakland,CA,6'1'',180,76.0,Washington,,116,142,95,2011,Washington,,,
Travis Feeney,SP,Pinole,CA,6'3'',200,75.0,Washington,,81,,,2011,Washington,,,
Connor Cree,DE,Sammamish,WA,6'4'',225,75.0,Washington,,144,,,2011,Washington,,,
Jamaal Jones,WR,Graham,WA,6'1'',174,75.0,Washington,,129,182, NR,2011,Washington,,,
Evan Zeger,S,Sammamish,WA,6'2'',201,75.0,Washington,,,,,2011,Washington,,,
Matthew Lyons,OLB,Los Angeles,CA,6'2'',185,74.0,Washington,,121,195,127,2011,Washington,,,
Dezden Petty,ATH,Gardena,CA,6'1'',225,73.0,Washington,,184,269,173,2011,Washington,,,
Kyle Lewis,ATH,Downey,CA,6'0'',185,,Washington,,267,,,2011,Washington,,,
Scott Lawyer,OLB,San Jose,CA,6'3'',193,,Washington,,, None, None,2011,Washington,,,
Siosifa Tufunga,OG,Long Beach,CA,6'2'',300,,Washington,,212, NR, NR,2011,Washington,,,
Thomas Tugoti,ILB,Chula Vista,CA,6'1'',230,,Washington,,,,,2011,Washington,,,
Antavius Sims,ATH,Americus,GA,6'2'',200,,Washington,,, NR, NR,2011,Washington,,,
Damore'ea Stringfellow,WR,Moreno Valley,CA,6'3'',203,87.0,,Washington,12,,,2013,Washington,16,12,
Elijah Qualls,DT,Petaluma,CA,6'1'',282,84.0,,Washington,17,,,2013,Washington,19,14,
Darrell Daniels,WR,Oakley,CA,6'3'',211,83.0,,Washington,3,,,2013,Washington,22,17,
Troy Williams,QB-Harbor City,CA,6'2'',190,83,,Washington,,21,,,2013,Washington,35,27,
Joe Mathis,DE,Upland,CA,6'4'',255,82.0,,Washington,4,,,2013,Washington,,,
Dane Crane,OC,Rancho Santa Margarita,CA,6'3'',305,82.0,,Washington,22,,,2013,Washington,62,4,
Sean Constantine,ILB,Bellevue,WA,6'3'',225,80.0,,Washington,54,,,2013,Washington,,,
John Ross,ATH,Long Beach,CA,5'9'',170,80.0,,Washington,49,,,2013,Washington,,,
Keishawn Bierria,OLB,Harbor City,CA,6'1'',210,79.0,,Washington,51,,,2013,Washington,96,11,
Marcus Farria,DE,Peoria,AZ,6'4'',235,78.0,,Washington,,,,2013,Washington,,,
Lavon Coleman,RB,Lompoc,CA,5'10'',205,77.0,,Washington,6,,,2013,Washington,128,8,
Connor O'Brien,ATH,Rancho Santa Margarita,CA,6'3'',205,77.0,,Washington,44,,,2013,Washington,162,127,
Cameron Van Winkle,K,Snoqualmie,WA,5'11'',165,77.0,,Washington,138,,,2013,Washington,,,
Trevor Walker,SArlington,TX,5'11'',190,76,,Washington,,126,,,2013,Washington,,,
Kevin King,CB,Oakland,CA,6'2'',172,76.0,,Washington,,,,2013,Washington,,,
Jermaine Kelly,WR,Los Angeles,CA,6'1'',171,76.0,,Washington,172,,,2013,Washington,75,118,
Andrew Basham,DT,Lynnwood,WA,6'4'',305,75.0,,Washington,262,,,2013,Washington,,,
Patrick Enewally,CB,Cerritos,CA,6'1'',190,75.0,,Washington,42,,,2013,Washington,,,
Azeem Victor,OLB,Pomona,CA,6'4'',225,71.0,,Washington,,,,2013,Washington,,,
David Ajamu,TE-Y,Shelton,WA,6'5'',231,70.0,,Washington,13,,,2013,Washington,,,
Jaimie Bryant,DT,Tumwater,WA,6'5'',261,67.0,,Washington,,,,2013,Washington,,,
Andrew Kirkland,OT,Portland,OR,6'4'',287,67.0,,Washington,,,,2013,Washington,,,
Coleman Shelton,OT,Los Angeles,CA,6'4'',275,,,Washington,,,,2013,Washington,,,
Bishard Baker,S,Bellevue,WA,5'9'',174,83.0,,Washington,7,18,1,2014,Washington,,,
Vita Vea,DT (LQ),Milpitas,CA,6'3'',346,83.0,,Washington,,,,2014,Washington,,,
Kyle Carta-Samuels,QB-PP,San Jose,CA,6'2'',224,82.0,,Washington,, None, None,2014,Washington,,,
Greg Gaines,DT,La Habra,CA,6'1'',297,79.0,,Washington,44,61,42,2014,Washington,,,
Jaylen Johnson,DE,Corona,CA,6'3'',232,79.0,,Washington,36,62,43,2014,Washington,,,
Lavon Washington,S,Oakland,CA,5'11'',180,79.0,,Washington,25,,,2014,Washington,,,
Drew Sample,TE-Y,Newport,WA,6'5'',234,78.0,,Washington,16,80,4,2014,Washington,,,
Matt James,OT,Coeur D'Alene,ID,6'4'',255,78.0,,Washington,47,,,2014,Washington,,,
Naijiel Hale,CB,Bellflower,CA,5'11'',181,78.0,,Washington,31,93,59,2014,Washington,,,
Jesse Sosebee,OT,Huntington Beach,CA,6'5'',303,77.0,,Washington,61,,,2014,Washington,,,
Dante Pettis,WR,San Juan Capistrano,CA,6'0'',167,76.0,,Washington,116,,,2014,Washington,,,
John Turner,OT,Los Angeles,CA,6'4'',270,76.0,,Washington,68,128,82,2014,Washington,,,
Brandon Lewis,CB,Elk Grove,CA,5'11'',171,76.0,,Washington,,44,84,2014,Washington,,,
Kaleb McGary,OT,Tacoma,WA,6'8'',284,75.0,,Washington,84,147,7,2014,Washington,,,
Jomon Dotson,RB,American Canyon,CA,5'10'',160,75.0,,Washington,115,,,2014,Washington,,,
Darren Gardenhire,S,Long Beach,CA,6'1'',200,75.0,,Washington,,6,100,2014,Washington,,,
Shane Bowman,DE,Bellevue,WA,6'3'',231,75.0,,Washington,99,157,8,2014,Washington,,,
Brayden Lenius,WR,West Hills,CA,6'5'',215,75.0,,Washington,145,159,103,2014,Washington,,,
Tristan Vizcaino,K,La Verne,CA,6'1'',190,75.0,,Washington,35,,,2014,Washington,,,
Drew Lewis,RB,Sammamish,WA,6'2'',196,74.0,,Washington,139,,,2014,Washington,,,
JoJo McIntosh,S,West Hills,CA,6'2'',180,73.0,,Washington,111,,,2014,Washington,,,
Sidney Jones,CB,West Covina,CA,6'1'',170,73.0,,Washington,73,210,133,2014,Washington,,,
Will Dissly,ATH,Bozeman,MT,6'4'',240,71.0,,Washington,181,,,2014,Washington,,,
Jaimie Bryant,DT (LQ),Tumwater,WA,6'5'',270,67.0,,Washington,,,,2014,Washington,,,
Devin Burleson,OT,Palmdale,CA,6'7'',265,,,Washington,NR,,,2014,Washington,,,
Jake Browning,QB,Folsom,CA,6'2'',185,,84.0,Washington,5,16,10,2015,Washington,,,
Austin Joyner,RB,Marysville,WA,5'10'',186,,81.0,Washington,233,40,1,2015,Washington,,,
Chico McClatcher,RB,Federal Way,WA,5'8'',166,,80.0,Washington,33,56,3,2015,Washington,,,
Trey Adams,OT,Wenatchee,WA,6'6'',250,,80.0,Washington,32,58,5,2015,Washington,,,
Benning Potoae,DT,Lakewood,WA,6'3'',270,,79.0,Washington,6,,,2015,Washington,,,
Isaiah Renfro,WR,Chatsworth,CA,6'2'',189,,79.0,Washington,75,,,2015,Washington,,,
Henry Roberts,OT,Bellevue,WA,6'5'',255,,79.0,Washington,55,85,8,2015,Washington,,,
Ezekiel Turner,S,Glen Burnie,MD,6'2'',205,,79.0,Washington,4, None, None,2015,Washington,,,
D.J. Beavers,OLB,Encino,CA,6'1'',211,,78.0,Washington,38,,,2015,Washington,,,
Andre Baccellia,WR,Westlake Village,CA,5'11'',170,,78.0,Washington,104,,,2015,Washington,,,
Ben Burr-Kirven,OLB,Atherton,CA,6'0'',200,,77.0,Washington,55,135,92,2015,Washington,,,
Kyler Manu,OLB,Pocatello,ID,6'2'',200,,77.0,Washington,59,,,2015,Washington,,,
Myles Gaskin,RB,Seattle,WA,5'9'',185,,77.0,Washington,,,,2015,Washington,,,
Jason Scrempos,DE,Milpitas,CA,6'5'',245,,76.0,Washington,83,163,108,2015,Washington,,,
Michaeal Neal,TE-H,Rancho Cucamonga,CA,6'4'',215,,75.0,Washington,18,182,119,2015,Washington,,,
Myles Rice,DE,Houston,TX,6'3'',215,,75.0,Washington,97,210,170,2015,Washington,,,
Jared Hilbers,OT,Beaverton,OR,6'5'',270,,75.0,Washington,120,199,4,2015,Washington,,,
Tevis Bartlett,ATH,Cheyenne,WY,6'3'',214,,75.0,Washington,1,209,1,2015,Washington,,,
Ricky McCoy,TE-H,Fresno,CA,6'4'',235,,75.0,Washington,20,211,,2015,Washington,,,
Jordan Miller,CB,Oceanside,CA,6'1'',161,,74.0,Washington,86,224,146,2015,Washington,,,
Bryce Sterk,DE,Lynden,WA,6'4'',230,,74.0,Washington,, None, None,2015,Washington,,,
Jusstis Warren,OLB,Tacoma,WA,6'3'',230,,73.0,Washington,113,,,2015,Washington,,,
Quinten Pounds,ATH,Cypress,CA,6'0'',156,,71.0,Washington,,,,2015,Washington,,,
A.J. Carty,LS,Anaheim,CA,6'3'',235,,68.0,Washington,6,,,2015,Washington,,,
Devin Burleson,OT (LQ),Palmdale,CA,6'7'',275,,,Washington,, None, None,2015,Washington,,,
Nik Little,WR (JC),Anaheim,CA,6'4'',205,,,Washington,,,,2015,Washington,,,
Tony Rodriguez,QB-PP (JC),Stockton,CA,6'3'',185,,,Washington,NR,,,2015,Washington,,,
Byron Murphy,CB,Scottsdale,AZ,5'11'',168,82,Washington,,, None,187,2016,Washington,,,
Isaiah Gilchrist,ATH,Bellevue,WA,5'10'',180,81,Washington,,17,,,2016,Washington,,,
Camilo Eifler,OLB,Oakland,CA,6'2'',215,80,Washington,,15,39,31,2016,Washington,,,
Brandon Wellington,RB,Bellevue,WA,6'0'',217,80,Washington,,22,50,3,2016,Washington,,,
Taylor Rapp,S,Bellingham,WA,6'0'',199,80,Washington,,25,56,4,2016,Washington,,,
Sean McGrew,RB,Bellflower,CA,5'7'',174,80,Washington,,28,,,2016,Washington,,,
Luke Wattenberg,OT,San Juan Capistrano,CA,6'5'',265,80,Washington,,32,,,2016,Washington,,,
Jordan Chin,WR,West Hills,CA,6'0'',149,80,Washington,,78,62,48,2016,Washington,,,
Kentrell Love,CB,Corona,CA,6'1'',170,79,Washington,,28,71,54,2016,Washington,,,
Levi Onwuzurike,DE,Allen,TX,6'3'',235,79,Washington,,54,,,2016,Washington,,,
Amandre Williams,DE,Tacoma,WA,6'3'',230,78,Washington,,68,98,6,2016,Washington,,,
Aaron Fuller,WR,Allen,TX,5'11'',175,76,Washington,,144,,,2016,Washington,,,
Myles Rice,DE,Houston,TX,6'3'',220,75,Washington,,,,,2016,Washington,,,
Kamari Pleasant,ATH,Etiwanda,CA,6'1'',185,75,Washington,,, None, None,2016,Washington,,,
Van Soderberg,K,Olympia,WA,6'0'',200,74,Washington,,22,159,13,2016,Washington,,,
Nick Harris,OC,San Juan Capistrano,CA,6'1'',272,73,Washington,,14,,,2016,Washington,,,
Jacob Kizer,TE,Salem,OR,6'5'',235,73,Washington,,31,179,8,2016,Washington,,,
Daniel Bridge-Gadd,QB,Phoenix,AZ,6'2'',181,68,Washington,,271,64,19,2016,Washington,,,
Salvon Ahmed,RB,Kirkland,WA,6'0'',191,,83,Washington,,,,2017,Washington,,,
Henry Bainivalu,OT,Sammamish,WA,6'6'',302,,82,Washington,14,,,2017,Washington,,,
Terrell Bynum,WR,Bellflower,CA,6'1'',177,,82,Washington,26,,,2017,Washington,32,19,
Elijah Molden,CB,West Linn,OR,5'11'',181,,81,Washington,19,,,2017,Washington,36,2,
Hunter Bryant,TE,Bellevue,WA,6'3'',238,,81,Washington,4,,,2017,Washington,43,4,
Brandon McKinney,S,Orange,CA,6'1'',193,,80,Washington,24,,,2017,Washington,60,35,
Alex Cook,WR,Sacramento,CA,6'2'',174,,79,Washington,74,,,2017,Washington,68,41,
Joe Tryon,DE,Renton,WA,6'4'',235,,79,Washington,50,,,2017,Washington,,,
Jaxson Kirkland,OT,Portland,OR,6'7'',314,,78,Washington,48,,,2017,Washington,,,
Ariel Ngata,OLB,Folsom,CA,6'3'',200,,78,Washington,39,,,2017,Washington,,,
Keith Taylor,CB,Anaheim,CA,6'3'',186,,78,Washington,52,,,2017,Washington,,,
Jake Haener,QB,Danville,CA,6'1'',188,,77,Washington,67,,,2017,Washington,,,
Cade Otton,TE-Y,Tumwater,WA,6'5'',223,,77,Washington,22,,,2017,Washington,,,
Ty Jones,WR,Provo,UT,6'4'',200,,77,Washington,140,,,2017,Washington,,,
Jordan Lolohea,DE,Salt Lake City,UT,6'4'',230,,77,Washington,75,,,2017,Washington,,,
Ali Gaye,DE,Edmonds,WA,6'6'',260,,77,Washington,77,,,2017,Washington,,,
Cole Norgaard,OT,Stockton,CA,6'5'',271,,76,Washington,,,,2017,Washington,,,
Joel Whitford,K (JC),Santa Barbara,CA,6'3'',215,,76,Washington,1,,,2017,Washington,,,
Jacob Kizer,TE-Y (LQ),Salem,OR,6'5'',245,,73,Washington,,,,2017,Washington,,,
Jacob Sirmon,QB-PP,Bothell,WA,6'5'',226,87,Washington,,1,,,2018,Washington,4,1,
Colson Yankoff,QB-PP,Coeur D'Alene,ID,6'4'',200,85,Washington,,4,,,2018,Washington,10,2,
Tuli Letuligasenoa,DT,Concord,CA,6'2'',290,84,Washington,,8,,,2018,Washington,19,13,
Marquis Spiker,WR,Temecula,CA,6'4'',188,83,Washington,,18,,,2018,Washington,,,
Sam Taimani,OG,Salt Lake City,UT,6'3'',312,82,Washington,,9,,,2018,Washington,,,
Kyler Gordon,CB,Everett,WA,5'10'',180,81,Washington,,30,,,2018,Washington,44,3,
Julius Irvin,CB,Anaheim,CA,6'2'',181,81,Washington,,32,,,2018,Washington,45,29,
Austin Osborne,WR,Mission Viejo,CA,6'3'',182,80,Washington,,,,,2018,Washington,,,
Trey Lowe,RB,Portland,OR,5'9'',175,80,Washington,,24,,,2018,Washington,66,5,
Vick Curne,OG,Houston,TX,6'4'',309,79,Washington,,24,,,2018,Washington,,,
