Name,Pos,City,State,Height,Weight,Grade,University,Year,Team,Stars,Pos_rank,Reg_rank,State_rank, Reg_rank, State_rank,University 
Carl Lawson,DE,Alpharetta,GA,6'3'',251,92,Auburn,2013,Auburn,4.0,2,2,2,,,
Montravius Adams,DT,Vienna,GA,6'3'',281,89,Auburn,2013,Auburn,5.0,2,9,3,,,
Elijah Daniel,DE,Avon,IN,6'3'',249,87,Auburn,2013,Auburn,4.0,4,,,,,
Jeremy Johnson,QB-PP,Montgomery,AL,6'5'',215,83,Auburn,2013,Auburn,4.0,,,,,,
Tony Stevens,WR,Orlando,FL,6'4'',184,83,Auburn,2013,Auburn,4.0,30,101,39,,,
Dominic Walker,WR,Orlando,FL,6'2'',194,83,Auburn,2013,Auburn,4.0,238,,,,,
Earnest Robinson,WR,Pinson,AL,6'2'',200,82,Auburn,2013,Auburn,4.0,39,122,11,,,
Jason Smith,ATH,Mobile,AL,6'1'',180,82,Auburn,2013,Auburn,4.0,,,,,,
Deon Mix,OG,Batesville,MS,6'4'',315,81,Auburn,2013,Auburn,4.0,19,,,,,
Ben Bradley,DT,Norcross,GA,6'3'',310,80,Auburn,2013,Auburn,4.0,27th,,,,,
Peyton Barber,RB,Alpharetta,GA,5'10'',210,80,Auburn,2013,Auburn,4.0,34,193,42,,,
Nick Marshall,QB-DT (JC),Pineview,GA,6'2'',210,80,Auburn,2013,Auburn,4.0,1.0,,,,,
Cameron Toney,ILB,Huntsville,AL,6'2'',225,80,Auburn,2013,Auburn,4.0,24,,,,,
Cameron Artis-Payne,RB,Harrisburg,PA,5'11'',215,80,Auburn,2013,Auburn,4.0,2,,,,,
Brandon King,OLB,Highland,KS,6'2'',215,80,Auburn,2013,Auburn,4.0,2,NR,NR,,,
Khari Harding,S,Edmond,OK,6'1'',205,79,Auburn,2013,Auburn,3.0,,,,,,
Kamryn Melton,CB,Dothan,AL,5'10'',170,79,Auburn,2013,Auburn,4.0,41,242,19,,,
Daniel Carlson,K,Colorado Springs,CO,6'5'',195,79,Auburn,2013,Auburn,4.0,1,,,,,
Marcus Davis,ATH,Delray Beach,FL,5'10'',175,77,Auburn,2013,Auburn,3.0,,,,,,
Mackenro Alexander,S,Immokalee,FL,6'0'',190,77,Auburn,2013,Auburn,3.0,,,,,,
Kenny Flowers,OLB,Lilburn,GA,6'2'',228,77,Auburn,2013,Auburn,3.0,,,,,,
Devonte Danzey,OG,Tampa,FL,6'3'',303,75,Auburn,2013,Auburn,4.0,4,,,,,
Johnathan Ford,RB,New Hope,AL,5'11'',190,74,Auburn,2013,Auburn,3.0,,,,,,
Jimmy Hutchinson,K,Kennesaw,GA,6'2'',175,71,Auburn,2013,Auburn,3.0,33,,,,,
Racean Thomas,RB,Oxford,AL,5'11'',202,85,Auburn,2014,Auburn,5.0,5,,,16,3,
D'haquille Williams,WR,Laplace,LA,6'3'',210,85,Auburn,2014,Auburn,5.0,2,,,24,10,
Sean White,QB, Fort Lauderdale,FL,6'1'',199,84,Auburn,2014,Auburn,4.0,8,,,35,5,
Stephen Roberts,CB,Opelika,AL,6'0'',180,84,Auburn,2014,Auburn,4.0,9,,,,,
Kalvaraz Bessent,CB,Kingsland,GA,6'0'',175,84,Auburn,2014,Auburn,4.0,9,,,,,
Tre' Williams,ILB,Mobile,AL,6'2'',217,84,Auburn,2014,Auburn,4.0,155th,,,80,10,
Braden Smith,OG,Olathe,KS,6'6'',285,83,Auburn,2014,Auburn,4.0,156,,,81,9,
Nicholas Ruffin,ATH,Atlanta,GA,6'1'',185,83,Auburn,2014,Auburn,4.0,17,,,94,13,
Justin Thornton,DE,Prichard,AL,6'5'',225,83,Auburn,2014,Auburn,4.0,14,,,103,17,
Andrew Williams,DE,McDonough,GA,6'4'',251,83,Auburn,2014,Auburn,4.0,24,,,,,
Dontavius Russell,DT,Carrollton,GA,6'3'',300,83,Auburn,2014,Auburn,4.0,20,,,,,
Stanton Truitt,ATH,Monroe,GA,5'10'',182,82,Auburn,2014,Auburn,3.0,6.0,,, None, None,
Kamryn Pettway,RB,Prattville,AL,6'0'',220,82,Auburn,2014,Auburn,3.0,8,,,,,
DaVonte Lambert,DT,Waynesboro,GA,6'2'',275,82,Auburn,2014,Auburn,3.0,14,,,,,
Jakell Mitchell,TE,Opelika,AL,6'3'',213,81,Auburn,2014,Auburn,3.0,13,,, NR, NR,
Deshaun Davis,ILB,Prichard,AL,6'0'',230,81,Auburn,2014,Auburn,3.0,18,,, None, None,
Derrick Moncrief,OLB,Prattville,AL,6'3'',226,80,Auburn,2014,Auburn,3.0,11,,,,,
Devaroe Lawrence,DT,Milledgeville,GA,6'3'',275,77,Auburn,2014,Auburn,3.0,87,,,427,154,
Joseph Turner,CB,Sacramento,CA,6'2'',190,77,Auburn,2014,Auburn,3.0,38,,,,,
Raashed Kennion,DE,Jacksonville,FL,6'6'',225,76,Auburn,2014,Auburn,3.0,110,,,590,127,
Chris Laye,TE,Suwanee,GA,6'5'',240,74,Auburn,2014,Auburn,3.0,156,,,659,138,
Markell Boston,S,Sharpsburg,GA,6'0'',190,73,Auburn,2014,Auburn,3.0,10,,,,,
Myron Burton Jr.,ATH,Suwanee,GA,6'2'',202,72,Auburn,2014,Auburn,3.0,,,,,,
Xavier Dampeer,OG,Mendenhall,MS,6'3'',300,70,Auburn,2014,Auburn,3.0,,,,,,
Byron Cowart,DE,Seffner,FL,6'4'',258,93,Auburn,2015,Auburn,5.0,1,,,1,1,
Kerryon Johnson,ATH,Madison,AL,6'0'',200,90,Auburn,2015,Auburn,4.0,3,,,10,1,
Jeffery Holland,OLB,Jacksonville,FL,6'2'',226,86,Auburn,2015,Auburn,4.0,4,,,,,
Richard McBryde,OLB,Troy,AL,6'2'',210,84,Auburn,2015,Auburn,4.0,6,,,35,3,
Jordan Colbert,OLB,Griffin,GA,6'3'',205,83,Auburn,2015,Auburn,4.0,9,,,,,
Jovon Robinson,RB,Memphis,TN,6'0'',220,83,Auburn,2015,Auburn,4.0,1,,, NR, NR,
Darius Slayton,CB,Norcross,GA,6'1'',180,81,Auburn,2015,Auburn,4.0,18,,,,,
Bailey Sharp,OT,Marietta,GA,6'5'',282,81,Auburn,2015,Auburn,4.0,18,,,100,24,
Darrell Williams,OLB,Birmingham,AL,6'3'',226,81,Auburn,2015,Auburn,4.0,12,,,,,
Kaleb Kim,OG,Hoschton,GA,6'4'',280,81,Auburn,2015,Auburn,4.0,17,,,120,28,
Ryan Davis,ATH,Saint Petersburg,FL,5'10'',157,81,Auburn,2015,Auburn,4.0,22,,,,,
Jason Smith,ATH,Mobile,AL,6'1'',195,81,Auburn,2015,Auburn,4.0,1,,, NR,20,
Mike Horton,OG,Atlanta,GA,6'5'',318,80,Auburn,2015,Auburn,4.0,23,,,,,
Marquel Harrell,OG,Fairburn,GA,6'3'',310,80,Auburn,2015,Auburn,4.0,25,,,146,34,
Prince Tega Wanogho Jr.,DE,Elmore,AL,6'8'',240,80,Auburn,2015,Auburn,4.0,26,,,,,
