Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Austin Conrad,TE-Y,LaGrange,OH,6'4'',232,,NR,,NR,NR,NR,2016,Ohio,,,Ohio
Ilyaas Motley,CB,Centerville,OH,5'10'',150,,NR,,NR,NR,NR,2016,Ohio,,,Ohio
Desmond Noel,OG,Cincinnati,OH,6'3'',290,,NR,,NR,,,2016,Ohio,,,Ohio
Dylan Connor,ILB,Fort Wayne,IN,5'11'',203,,NR,,,,,2016,Ohio,,,Ohio
Taeshon Trotter,OT,Detroit,MI,6'5'',300,,NR,,NR,,,2016,Ohio,,,Ohio
Amir Miller,DE,Cleveland,OH,6'4'',244,,NR,,,,,2016,Ohio,,,Ohio
Sean Beadle,OT,Murrysville,PA,6'5'',308,,NR,,,,,2016,Ohio,,,Ohio
Aidan O'Neill,K,New Paltz,NY,6'1'',182,,NR,,,,,2016,Ohio,,,Ohio
Robbie Fusner,ILB,Grove City,OH,5'11'',234,,NR,,,,,2016,Ohio,,,Ohio
Nick Sink,OG,Fishers,IN,6'2'',301,,NR,,,,,2016,Ohio,,,Ohio
Marcus Coleman,DT,Upper Marlboro,MD,6'5'',295,4.0,76,,117,,,2017,Ohio,71,14,Ohio
T.J. Robinson,OLB,Jacksonville,FL,6'0'',210,4.0,75,,74,,,2017,Ohio,,,Ohio
Brett Kitrell,DT,Ashland,NE,6'4'',280,4.0,73,,90,,,2017,Ohio,,,Ohio
Jylton Tusha,OC,Jacksonville,FL,6'4'',305,4.0,70,,18,,,2017,Ohio,718,274,Ohio
Brevin Harris,WR,Creston,OH,6'4'',171,,NR,,,,,2017,Ohio,,,Ohio
K.J. Minter,ATH,Citra,FL,6'2'',210,,NR,,,,,2017,Ohio, None, None,Ohio
Isiah Cox,ATH,Jasper,AL,5'10'',169,,NR,,,,,2017,Ohio,,,Ohio
Marlin Brooks,CB,Miami,FL,5'10'',148,,NR,,,,,2017,Ohio,,,Ohio
Julian Ross,RB,Kansas City,MO,5'10'',174,,NR,,NR,,,2017,Ohio,,,Ohio
Kaieem Caesar,ATH,Cache,OK,6'2'',235,,NR,,,,,2017,Ohio, None, None,Ohio
Juan Watkins,TE,Lusby,MD,6'4'',218,,NR,,NR,,,2017,Ohio,,,Ohio
Drew Keszei,QB,Fort Wayne,IN,6'2'',185,,NR,,,,,2017,Ohio,,,Ohio
Willie Cherry,ATH,Wichita Falls,TX,6'2'',195,,NR,,,,,2017,Ohio, None, None,Ohio
Samson Jackson,OT,Palm Harbor,FL,6'4'',285,,NR,,,,,2017,Ohio,,,Ohio
