Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,University  ,Reg_rank,State_rank,School,School  
Casey Hughes,S,North Las Vegas,NV,6'0'',190,68,  ,,151,299,12,2014,Utah,,,,,
Tevin Carter,S,Los Angeles,CA,6'1'',213,NR,     ,,, None, None,2014,Utah,,,,,
Cory Butler,ATH,Compton,CA,5'10'',180,5,80,Utah,30th, NR, NR,2015,Utah,,,,,
Deniko Carter,WR,Baltimore,MD,6'4'',185,5,79,Utah,8, None,48,2015,Utah,,,,,
Darrin Paulo,OT,Sacramento,CA,6'5'',335,5,79,Utah,52,77,51,2015,Utah,,,,,
Kyle Fulks,WR,Katy,TX,5'9'',175,5,79,Utah,10,,,2015,Utah,,,,,
Chad Hekking,QB,Vacaville,CA,6'4'',220,4,78,Utah,21,91,59,2015,Utah,,,,,
Marcel Brooks-Brown,RB,Rio Linda,CA,6'0'',205,4,78,Utah,56,94,61,2015,Utah,,,,,
Chris Hart,DE,Fort Lauderdale,FL,6'2'',234,4,77,Utah,64,338,,2015,Utah,,,,,
Cody Barton,OLB,Salt Lake City,UT,6'2'',210,4,77,Utah,48,128,10,2015,Utah,,,,,
Caleb Repp,WR,Rancho Cucamonga,CA,6'5'',197,4,77,Utah,115,,,2015,Utah,,,,,
Jake Grant,OT,Scottsdale,AZ,6'3'',278,4,77,Utah,73,133,10,2015,Utah,,,,,
Keven Dixon,OT,Buena Park,CA,6'6'',271,4,77,Utah,145,98,145,2015,Utah,,,,,
T.J. Kautai,OLB,Euless,TX,5'11'',200,4,77,Utah,64,161,133,2015,Utah,,,,,
Alfred Smith,ATH,Destrehan,LA,5'9'',170,4,77,Utah,99,,,2015,Utah,,,,,
Vaha Vainuku,OG,Salt Lake City,UT,6'3'',298,3,76,Utah,, None, None,2015,Utah,,,,,
Austin Lee,S,Sandy,UT,6'0'',187,3,76,Utah,,,,2015,Utah,,,,,
Chayden Johnston,K,South Jordan,UT,6'1'',175,3,75,Utah,11,186,18,2015,Utah,,,,,
Johnny Capra,OT,Auburn,CA,6'6'',288,3,75,Utah,116,,,2015,Utah,,,,,
Tyson Cisrow,S,Fort Lauderdale,FL,5'11'',188,3,75,Utah,, None, None,2015,Utah,,,,,
Nick Carman,OT,Phoenix,AZ,6'4'',255,3,75,Utah,122,203,17,2015,Utah,,,,,
James Empey,OG,American Fork,UT,6'4'',270,3,74,Utah,91,218,19,2015,Utah,,,,,
Jake Jackson,OLB,Carlsbad,CA,6'3'',205,3,74,Utah,,,,2015,Utah,,,,,
Quinn Fabrizio,SS,Sandy,UT,6'3'',201,3,74,Utah,104,,,2015,Utah,,,,,
George Wilson,WR,Tustin,CA,6'2'',180,3,73,Utah,175,,,2015,Utah,,,,,
Philip Afia,S,Chino Hills,CA,6'2'',190,3,73,Utah,,,,2015,Utah,,,,,
Kendall Huey,DE,Tucson,AZ,6'4'',240,3,70,Utah,20, NR, NR,2015,Utah,,,,,
Britain Covey,ATH,Provo,UT,5'9'',165,3,70,Utah,166,278,25,2015,Utah,,,,,
Tyrone Smith,WR,Fresno,CA,6'4'',195,NR,,,, None, None,2015,Utah,,,,,
Joseph Williams,RB,Brooklyn,NY,5'11'',190,NR,Utah,,, None, None,2015,Utah,,,,,
Ahmad Christian,CB,Jacksonville,FL,5'10'',190,TR,Utah,,,,,2015,Utah,,,,,
Jaylon Johnson,CB,Fresno,CA,6'1'',181,4,82,Utah,16,34,21,2017,Utah,,,,,
Jordan Agasiva,OG,Mililani,HI,6'5'',300,4,81,Utah,19, None, None,2017,Utah,,,,,
Tareke Lewis,CB,Palatka,FL,6'0'',175,4,80,Utah,,,,2017,Utah,,,,,
Javelin Guidry,CB,Murrieta,CA,5'10'',180,4,80,Utah,28,55,32,2017,Utah,,,,,
Tyquez Hampton,WR,El Paso,TX,6'2'',197,4,80,Utah,74,62,70,2017,Utah,,,,,
Marquise Blair,OLB,Wooster,OH,6'2'',190,4,79,Utah,46th, None, None,2017,Utah,,,,,
John Penisini,DT,Ephraim,UT,6'2'',285,4,79,Utah,10,,,2017,Utah,,,,,
Bryan Thompson,WR,Moreno Valley,CA,6'2'',179,4,78,Utah,100,97,57,2017,Utah,,,,,
Aliki Vimahi,DE,Kahuku,HI,6'4'',244,4,78,Utah,60,,,2017,Utah,,,,,
Corrion Ballard,S,Houston,TX,6'3'',200,4,78,Utah,6, NR, NR,2017,Utah,,,,,
Jaylen Dixon,WR,Frisco,TX,5'10'',155,4,77,Utah,123,123,99,2017,Utah,,,,,
Michael Richardson,OT,American Fork,UT,6'5'',260,4,77,Utah,113,,,2017,Utah,,,,,
Nick Ford,OT,San Pedro,CA,6'5'',270,4,77,Utah,77,114,68,2017,Utah,,,,,
Jason Shelley,QB-DT,Frisco,TX,5'11'',170,4,77,Utah,27,,,2017,Utah,,,,,
Morris Unutoa,OT,Kapaa,HI,6'5'',280,4,76,Utah,74,131,6,2017,Utah,,,,,
Taniela Pututau,WR,Salt Lake City,UT,6'3'',203,4,76,Utah,,,,2017,Utah,,,,,
Orlando Umana,OG,Sacramento,CA,6'4'',310,4,76,Utah,65,147,86,2017,Utah,,,,,
T.J. Green,RB,Chandler,AZ,5'10'',185,3,73,Utah,95,190,23,2017,Utah,,,,,
Devin Lloyd,ATH,Chula Vista,CA,6'3'',215,3,73,Utah,193,,,2017,Utah,,,,,
Derrick Vickers,ATH,Bakersfield,CA,5'11'',195,0,NR,Utah,NR,NR,NR,2017,Utah,,,,,
Clark Phillips III,CB,La Habra,CA,5'10'',185,4.0,84.0,Utah,9,11,6,2020,Utah,,,,,
Tennessee Pututau,DE (LQ),Salt Lake City,UT,6'2'',260,4.0,82.0,Utah,,,,2020,Utah,,,,,
Van Fillinger,DE,Draper,UT,6'4'',250,4.0,81.0,Utah,26,36,2,2020,Utah,,,,,
Xavier Carlton,DE,Draper,UT,6'6'',236,4.0,80.0,Utah,29,44,3,2020,Utah,,,,,
Solatoa Moea'i,OT,Honolulu,HI,6'4'',290,4.0,80.0,Utah,27,75,60,2020,Utah,,,,,
Ty Jordan,RB,Mesquite,TX,5'8'',180,4.0,80.0,Utah,,,,2020,Utah,,,,,
Connor O'Toole,TE,Albuquerque,NM,6'3'',205,3.0,79.0,Utah,, None, None,2020,Utah,,,,,
Jaren Kump,OT,Herriman,UT,6'5'',280,3.0,78.0,Utah,43,,,2020,Utah,,,,,
Aliki Vimahi,DE,Kahuku,HI,6'4'',255,3.0,78.0,Utah,, None, None,2020,Utah,,,,,
Nate Ritchie,S,Highland,UT,6'3'',195,3.0,77.0,Utah,, None, None,2020,Utah,,,,,
Hunter Lotulelei,OT,Salt Lake City,UT,6'3'',322,3.0,77.0,Utah,131,152,114,2020,Utah,,,,,
Taniela Pututau,DE,Salt Lake City,UT,6'3'',228,3.0,76.0,Utah,24,124,7,2020,Utah,,,,,
Monterren Parks,WR,Aledo,TX,5'9'',165,3.0,76.0,Utah,135,,,2020,Utah,,,,,
Sione Fotu,ILB,South Jordan,UT,6'0'',225,3.0,76.0,Utah,77,,,2020,Utah,,,,,
Alex Harrison,OT,Bountiful,UT,6'6'',300,3.0,76.0,Utah,103,155,89,2020,Utah,,,,,
Keanu Tanuvasa,DE,Mission Viejo,CA,6'4'',275,3.0,76.0,Utah,108,,,2020,Utah,,,,,
Tyler Wegis,DE,San Juan Capistrano,CA,6'6'',205,3.0,75.0,Utah,29,192,108,2020,Utah,,,,,
Tanoa Togiai,DE,Rigby,ID,6'6'',295,3.0,75.0,Utah,112,197,216,2020,Utah,,,,,
Kamo'i Latu,S,Honolulu,HI,6'1'',180,3.0,75.0,Utah,117,282,207,2020,Utah,,,,,
Kenzel Lawler,QB,Corona,CA,6'0'',176,3.0,74.0,Utah,257,313,234,2020,Utah,,,,,
Caine Savage,WR,Anaheim,CA,5'11'',160,3.0,74.0,Utah,145,,,2020,Utah,,,,,
Faybian Marks,CB,Richmond,TX,5'10'',165,3.0,74.0,Utah,48,323,167,2020,Utah,,,,,
Ben Renfro,WR,Magnolia,TX,6'1'',190,3.0,73.0,Utah,, None, None,2020,Utah,,,,,
Graham Faloona,OLB,Southlake,TX,6'2'',200,3.0,73.0,Utah,,,,2020,Utah,,,,,
Jeremy Mercier,OLB,Gila Bend,AZ,6'3'',215,3.0,71.0,Utah,,,,2020,Utah,,,,,
