Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
Randy Williams,S,Miami Springs,FL,6'1'',184,,Florida International,,,,,2010,Florida International,,,,,
Justin Halley,S,Boca Raton,FL,6'2'',180,,Florida International,,,,,2010,Florida International,,,,,
Mark Grant,DT,Tampa Bay,FL,6'2'',260,,Florida International,,NR,,,2010,Florida International,,,,,
Greg Hickman,DE,Tampa,FL,6'1'',255,,Florida International,,,,,2010,Florida International,,,,,
Paul Crawford,DE,Lewisville,TX,6'8'',230,,Florida International,,,,,2010,Florida International,,,,,
Tray Schrey,TE,Fort Myers,FL,6'3'',210,,Florida International,,,,,2010,Florida International,,,,,
Isame Faciane,DE,Slidell,LA,6'4'',240,,Florida International,,NR,,,2010,Florida International,,,,,
Bryan Robinson,DE,Quincy,FL,6'4'',240,,Florida International,,NR,,,2010,Florida International,,,,,
Josh Brisk,K,Plantation,FL,6'0'',180,,Florida International,,,,,2010,Florida International,,,,,
Jeremiah Harden,RB,Fort Lauderdale,FL,5'9'',195,,Florida International,,,,,2010,Florida International,,,,,
Jeremy Jermin,DE,Brooklyn,NY,6'3'',235,Florida International,,,,,,2010,Florida International,,,,,
Jason Fitch,DT,Oklahoma City,OK,6'3'',270,Florida International,,,,,,2010,Florida International,,,,,
Caylin Hauptmann,OG,Beverly Hills,CA,6'4'',315,Florida International,,,,,,2010,Florida International,,,,,
Corey Tindal,ATH,Fort Lauderdale,FL,5'9'',165.0,78,Florida International,,78,,,2011,Florida International,254, None,,,
Giovani Francois,DE,Upper Marlboro,MD,6'1'',235.0,78,Florida International,,56,,,2011,Florida International,100,13,,,
Dominique Rhymes,TE,Miami,FL,6'3'',200.0,77,Florida International,,43,,,2011,Florida International,,,,,
Richard Leonard,CB,Miami,FL,5'8'',165.0,75,Florida International,,,,,2011,Florida International, None, None,,,
Cedric Walker,CB,Miami,FL,5'8'',166.0,75,Florida International,,67,,,2011,Florida International,506,NR,,,
