Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Ray Ball,OT,Westerville,OH,6'6'',320,77.0,Wisconsin,,72,107,48,2011,Wisconsin,,,
Michael Caputo,OLB,Imperial,PA,6'0'',195,77.0,Wisconsin,,136,83,24,2011,Wisconsin,,,
Austin Maly,TE,Waunakee,WI,6'5'',220,76.0,Wisconsin,,53,,,2011,Wisconsin,,,
Darius Hillary,CB,Cincinnati,OH,5'10'',175,75.0,Wisconsin,,61,155,70,2011,Wisconsin,,,
Jordan Fredrick,S,Madison,WI,6'2'',210,75.0,Wisconsin,,,,,2011,Wisconsin,,,
Kenzel Doe,WR,Oak Ridge,NC,5'8'',170,75.0,Wisconsin,,133,,,2011,Wisconsin,,,
Derek Landisch,ILB,Hartland,WI,5'11'',220,74.0,Wisconsin,,47,,,2011,Wisconsin,,,
Frederick Willis,WR,Brookfield,WI,6'2'',194,,Wisconsin,,275,,,2011,Wisconsin,,,
Nate Hammon,QB,Milton,WI,6'2'',215,,Wisconsin,,172,,,2011,Wisconsin,,,
Tyler Marz,OT,Springfield,MN,6'7'',280,,Wisconsin,,NR,NR,NR,2011,Wisconsin,,,
Russell Wilson,QB,Richmond,VA,5'11'',200,,Wisconsin,,,,,2011,Wisconsin,,,
Vince Biegel,OLB,Wisconsin Rapids,WI,6'3'',210,80.0,,,15,,,2012,Wisconsin,Wisconsin,13,1
Bart Houston,QB,Concord,CA,,200,80.0,,,15,,,2012,Wisconsin,Wisconsin,31,24
Dan Voltz,OT,Barrington,IL,6'5'',290,80.0,,,19,,,2012,Wisconsin,Wisconsin,,
D.J. Singleton,S,Jersey City,NJ,6'2'',200,79.0,,,,,,2012,Wisconsin,Wisconsin, None, None
Vonte Jackson,RB,Kenosha,WI,6'0'',175,79.0,,,21,,,2012,Wisconsin,Wisconsin,42,2
Hugs Etienne,CB,Plantation,FL,5'10'',175,78.0,,,31,,,2012,Wisconsin,Wisconsin,,
Jake Meador,OT,Whiteland,IN,6'6'',305,77.0,,,76,,,2012,Wisconsin,Wisconsin,,
Walker Williams,OT,Tacoma,WA,6'6'',320,76.0,,,110,,,2012,Wisconsin,Wisconsin,,
Arthur Goldberg,DT,Pittsburgh,PA,6'3'',250,75.0,,,110,,,2012,Wisconsin,Wisconsin,179,55
Reggie Mitchell,ATH,Pittsburgh,PA,5'11'',166,74.0,,,154,,,2012,Wisconsin,Wisconsin,,
Reggie Love,ATH,Boca Raton,FL,6'2'',200,72.0,,,,,,2012,Wisconsin,Wisconsin,847,302
Leo Musso,RB,Waunakee,WI,5'9'',186,,,,NR,,,2012,Wisconsin,Wisconsin,,
Corey Clement,RB,Glassboro,NJ,5'11'',200,,83,,,,,2013,Wisconsin,Wisconsin , None, None
Alec James,DE,Brookfield,WI,6'3'',219,,82,,29,,,2013,Wisconsin,Wisconsin,38,1
