Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank
Mike Hall,DT,Streetsboro,OH,6'3'',280,,Ohio State,8,8,3,2021,Ohio State,85,,
Marvin Harrison Jr.,WR,Philadelphia,PA,6'4'',185,,Ohio State,13,11,5,2021,Ohio State,85,,
Jakailin Johnson,CB,Saint Louis,MO,6'0'',170,,Ohio State,4,18,1,2021,Ohio State,85,,
Jordan Hancock,CB,Suwanee,GA,6'0'',170,,Ohio State,5,42,12,2021,Ohio State,84,,
Evan Pryor,RB,Cornelius,NC,5'11'',190,,Ohio State,128,55,7,2021,Ohio State,84,,
Reid Carrico,ILB,Ironton,OH,6'3'',220,,Ohio State,1,,,2021,Ohio State,84,,
Ben Christman,OT,Richfield,OH,6'6'',300,,Ohio State,16,11,5,2021,Ohio State,84,,
Andre Turrentine,ATH,Nashville,TN,6'0'',175,,Ohio State,132,57,2,2021,Ohio State,84,,
Jantzen Dunn,ATH,Bowling Green,KY,6'2'',175,,Ohio State,17,80,1,2021,Ohio State,83,,
Tyleik Williams,DT,Manassas,VA,6'3'',315,,Ohio State,13,26,6,2021,Ohio State,83,,
Denzel Burke,ATH,Scottsdale,AZ,6'0'',190,,Ohio State,22,42,6,2021,Ohio State,81,,
Jaylen Johnson,S,Cincinnati,OH,6'1'',205,,Ohio State,19,31,9,2021,Ohio State,80,,
Sam Hart,TE-Y,Aurora,CO,6'5'',225,,Ohio State,9,96,3,2021,Ohio State,79,,
Zen Michalski,OT,Floyds Knobs,IN,6'6'',265,,Ohio State,6,67,6,2021,Ohio State,78,,
Jesse Mirco,K,Melbourne,AUS,6'2'',200,,Ohio State,15,,,2021,Ohio State,74,,
Alex Styles,ATH,Pickerington,OH,6'4'',215,,,15,,,2022,Ohio State,90,2,1
C.J. Hicks,OLB,Kettering,OH,,6'3'',90.0,,2,,,2022,Ohio State,210,3,2
Omari Abor,DE,Duncanville,TX,,6'4'',87.0,,5,,,2022,Ohio State,240,6,6
Kenyatta Jackson Jr.,DE,Hollywood,FL,,6'5'',85.0,,8,,,2022,Ohio State,220,,
Devin Brown,QB-PP,Draper,UT,,6'3'',85.0,,4,,,2022,Ohio State,190,7,1
Kaleb Brown,ATH,Chicago,IL,,5'11'',84.0,,9,,,2022,Ohio State,180,,
Caleb Burton,WR,Austin,TX,,6'0'',84.0,,14,,,2022,Ohio State,165,,
Gabe Powers,OLB,Marysville,OH,,6'4'',84.0,,10,,,2022,Ohio State,215,11,5
Hero Kanu,DT,Rancho Santa Margarita,CA,,6'5'',84.0,,,,,2022,Ohio State,295,,
Kyion Grayes,WR,Chandler,AZ,,6'1'',83.0,,20,,,2022,Ohio State,175,18,2
Kojo Antwi,WR,Suwanee,GA,,6'1'',82.0,,23,,,2022,Ohio State,185,74,17
