Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,University,Reg_rank,State_rank
Tate Briggs,OG,Lombard,IL,6'3'',270,Northern Illinois,,132,,,2013,Northern Illinois,63,,,
Chad Beebe,WR,Aurora,IL,5'9'',165,Northern Illinois,,, None, None,2013,Northern Illinois,62,,,
Draco Smith,ATH,Chicago,IL,5'9'',190,Northern Illinois,,198,277,61,2013,Northern Illinois,62,,,
Robert Jones,OLB,Miami,FL,5'11'',200,Northern Illinois,,165,772,292,2013,Northern Illinois,62,,,
Sean Folliard,OLB,Crystal Lake,IL,6'1'',205,Northern Illinois,,166,,,2013,Northern Illinois,61,,,
Jordan Huff,RB,Mobile,AL,5'9'',190,Northern Illinois,,,,,2013,Northern Illinois,NR,,,
Blake Holder,WR,Streamwood,IL,6'2'',190,Northern Illinois,,, None, None,2013,Northern Illinois,NR,,,
Joel Bouagnon,RB,Aurora,IL,6'2'',224,Northern Illinois,,,,,2013,Northern Illinois,NR,,,
Kendall Short,RB,Shawnee,KS,6'2'',215,Northern Illinois,,,,,2013,Northern Illinois,NR,,,
Shane Wimann,TE,Wisconsin Dells,WI,6'4'',215,Northern Illinois,,,,,2013,Northern Illinois,NR,,,
Zeb McLaurin,CB,Chicago,IL,5'11'',170,Northern Illinois,,NR, NR, NR,2013,Northern Illinois,NR,,,
Jackson Abresch,CB,Hartland,WI,6'1'',185,Northern Illinois,,, None, None,2013,Northern Illinois,NR,,,
Josh Brebant,K,Akron,OH,6'0'',195,Northern Illinois,,, None, None,2013,Northern Illinois,NR,,,
Nick Calhoun,OT,Oshkosh,WI,6'5'',308,Northern Illinois,,, None, None,2013,Northern Illinois,NR,,,
Nick Cieslak,QB,Waukesha,WI,6'3'',170,Northern Illinois,,,,,2013,Northern Illinois,NR,,,
Justin Corbett,S,New Lenox,IL,6'2'',205,Northern Illinois,,, None, None,2013,Northern Illinois,NR,,,
Jake Heckel,TE,Waukesha,WI,6'4'',235,Northern Illinois,,NR, NR,,2013,Northern Illinois,NR,,,
Ben Maruska,OT,Fond Du Lac,WI,6'5'',290,Northern Illinois,,,,,2013,Northern Illinois,NR,,,
Jamaal Payton,OLB,Bellwood,IL,6'0'',210,Northern Illinois,,,,,2013,Northern Illinois,NR,,,
Ryan Stendler,TE,Mequon,WI,6'4'',250,Northern Illinois,,NR, NR, NR,2013,Northern Illinois,NR,,,
Spencer Tears,WR,Oak Lawn,IL,6'1'',175,80.0,,48,,,2015,Northern Illinois,,Northern Illinois,26,6
Lance Deveaux Jr.,SF,Fort Lauderdale,FL,5'10'',191,73.0,,111,,,2015,Northern Illinois,,Northern Illinois,,
Jordan Steckler,OT,Two Rivers,WI,6'5'',290,73.0,,135,,,2015,Northern Illinois,,Northern Illinois,,
Jeffrey Hill,CB,Miramar,FL,5'9'',167,72.0,,109,,,2015,Northern Illinois,,Northern Illinois,694,252
Nate Veloz,OG,Oak Creek,WI,6'4'',310,72.0,,139,,,2015,Northern Illinois,,Northern Illinois,,
Sutton Smith,RB,Saint Charles,MO,6'0'',193,72.0,,160,,,2015,Northern Illinois,,Northern Illinois,,
Daniel Santacaterina,QB-PP,Geneva,IL,6'1'',200,72.0,,48,,,2015,Northern Illinois,,Northern Illinois,203,58
Vincent Hughes,OT,Franklin,WI,6'5'',255,71.0,,170,,,2015,Northern Illinois,,Northern Illinois,219,10
Josh Corcoran,ILB,Lakeville,MN,6'3'',220,71.0,,58,,,2015,Northern Illinois,,Northern Illinois,220,5
Adam Buirge,CB,Brooklyn Center,MN,6'0'',181,70.0,,137,,,2015,Northern Illinois,,Northern Illinois,,
Steven Lee,WR,Champaign,IL,6'2'',215,70.0,,216,,,2015,Northern Illinois,,Northern Illinois,,
Marcus Jones,RB,Chicago,IL,5'9'',185,67.0,,189,,,2015,Northern Illinois,,Northern Illinois,248,54
Trequan Smith,,Boynton Beach,FL,6'0'',170,,,,,,2015,Northern Illinois,,Northern Illinois,,
