Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University ,School
Deion Sanders Jr.,CB (POST),Flower Mound,TX,5'8'',170,SMU,,62,,,2013,Southern Methodist,65,335,28,,
Travis Fister,OG,Tucson,AZ,6'3'',270,SMU,,,,,2013,Southern Methodist,62,,,,
JaBryce Taylor,WR,Lufkin,TX,6'1'',185,SMU,,,,,2013,Southern Methodist,NR, None, None,,
Myles Crosby,S,Colleyville,TX,6'3'',200,SMU,,,,,2013,Southern Methodist,NR,,,,
Nick Horton,OLB,Garland,TX,6'2'',213,SMU,,,,,2013,Southern Methodist,NR,,,,
Nathan Halverson,S,Portland,OR,5'11'',185,SMU,,,,,2013,Southern Methodist,NR, NR, NR,,
Spencer Hollie,DE,Dublin,CA,6'5'',270,SMU,,,,,2013,Southern Methodist,NR, None, None,,
Mason Gentry,DE,Plano,TX,6'7'',255,SMU,,,,,2013,Southern Methodist,NR, None, None,,
Jesse Montgomery,ATH,Dallas,TX,6'1'',175,SMU,,NR,,,2013,Southern Methodist,NR, NR, NR,,
Jerry Saena,OT,Pago Pago,SPFa'assao Marist,6'5'',270,SMU,,,,,2013,Southern Methodist,NR,,,,
Daniel Gresham,FB,Fort Worth,TX,5'10'',236,SMU,,2,,,2014,Southern Methodist,81,51,37,,
Evan Brown,OG,Southlake,TX,6'2'',290,SMU,,44,,,2014,Southern Methodist,77,160,118,,
Braylon Hyder,OC,Houston,TX,6'2'',277,SMU,,10,,,2014,Southern Methodist,77,,,,
Inoke Ngalo,ILB,Euless,TX,5'11'',209,SMU,,31,,,2014,Southern Methodist,76,,,,
Chris Jefferson,OLB,Athens,TX,6'2'',190,SMU,,90,,,2014,Southern Methodist,76,195,146,,
Michael Epley,DE,Leander,TX,6'3'',246,SMU,,101,,,2014,Southern Methodist,75,,,,
Kadeem Goulbourne,WR,Weston,FL,6'3'',186,SMU,,152,,,2014,Southern Methodist,75,487,171,,
Shelby Walker,WR,Houston,TX,6'1'',146,SMU,,154,,,2014,Southern Methodist,75,,,,
