Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School,University 
Herb Waters,ATH,Homestead,FL,6'0'',173,78,Miami,,36,,,2012,Miami (FL),,,,
Nathan Dortch,CB,Fort Myers,FL,5'11'',170,77,Miami,,42,,,2012,Miami (FL),,,,
Jake O'Donnell,DE,Doylestown,PA,6'5'',235,77,Miami,,, None, None,2012,Miami (FL),,,,
Rayshawn Jenkins,SS,Saint Petersburg,FL,6'1'',190,77,Miami,,491,60,170,2012,Miami (FL),,,,
Vernon Davis,CB,Miami,FL,5'9'',170,76,Miami,,6,544,191,2012,Miami (FL),,,,
Larry Hope,CB,Hialeah,FL,5'10'',160,76,Miami,,549,92,193,2012,Miami (FL),,,,
Gray Crow,QB,Clearwater,FL,6'3'',220,75,Miami,,128,665,240,2012,Miami (FL),,,,
Dequan Ivery,DT,Lake City,FL,6'1'',315,75,Miami,,, None, None,2012,Miami (FL),,,,
Earl Moore,DT,Tampa,FL,6'1'',280,74,Miami,,128,,,2012,Miami (FL),,,,
David Thompson,QB,Miami,FL,6'1'',195,74,Miami,,, None, None,2012,Miami (FL),,,,
Danny Dillard,RB,Venice,FL,6'1'',210,73,Miami,,170,,,2012,Miami (FL),,,,
Taylor Gadbois,OT,Dallas,GA,6'7'',300,73,Miami,,, None, None,2012,Miami (FL),,,,
Antonio Crawford,ATH,Tampa Bay,FL,5'11'',175,73,Miami,,,,,2012,Miami (FL),,,,
Ladarius Gunter,CB,Montgomery,AL,6'2'',200,NR,Miami,,,,,2012,Miami (FL),,,,
Derrick Griffin,TE,HR,Rosenberg,TX,6'6'',228,88,Miami,1,3,3,2013,Miami (FL),,,,
Stacy Coley,WR,Oakland Park,FL,,6'1'',173,87,Miami,4,,,2013,Miami (FL),,,,
Al-Quadin Muhammad,DE,Ramsey,NJ,,6'3'',230,85,Miami,7,,,2013,Miami (FL),,,,
Artie Burns,CB,Miami,FL,,6'0'',183,85,Miami,10,39,19,2013,Miami (FL),,,,
Kevin Olsen,QB,Wayne,NJ,,6'2'',195,84,Miami,5,,,2013,Miami (FL),,,,
Standish Dobard,TE,New Orleans,LA,,6'4'',245,83,Miami,4,62,4,2013,Miami (FL),,,,
Jermaine Grace,OLB,Miramar,FL,,6'1'',210,83,Miami,138,,,2013,Miami (FL),,,,
Cornelius Elder,RB,Nashville,TN,,5'10'',170,83,Miami,17,96,2,2013,Miami (FL),,,,
Beau Sandland,TE,Woodland Hills,CA,,6'5'',250,83,Miami,2,,,2013,Miami (FL),,,,
Jamal Carter,ATH,Miami,FL,,6'1'',190,82,Miami,40,,,2013,Miami (FL),,,,
Ufomba Kamalu,DT,Fayetteville,GA,,6'6'',280,78,Miami,12,,,2013,Miami (FL),,,,
Alex Figueroa,OLB,Stafford,VA,,6'3'',215,78,Miami,,,,2013,Miami (FL),,,,
Augustus Edwards,RB,Staten Island,NY,,6'2'',221,77,Miami,57,91,4,2013,Miami (FL),,,,
Alex Gall,OT,Cincinnati,OH,,6'5'',290,77,Miami,61,95,41,2013,Miami (FL),,,,
Sonny Odogwu,OT,Baltimore,MD,,6'8'',287,76,Miami,, None, None,2013,Miami (FL),,,,
Devante Bond,OLB,Roseville,CA,,6'3'',230,76,Miami,, NR, NR,2013,Miami (FL),,,,
Hunter Knighton,DT,Princeton,NJ,,6'5'',265,76,Miami,60,114,29,2013,Miami (FL),,,,
Ryheem Lockley,ATH,Saluda,VA,,6'3'',217,74,Miami,129,,,2013,Miami (FL),,,,
Ray Lewis III,ATH,Lake Mary,FL,,5'9'',190,74,Miami,5,526,193,2013,Miami (FL),,,,
Joseph Yearby,RB,Miami,FL,5'9'',191,4,87,Miami,4,,,2014,Miami (FL),14,5,,
Kc McDermott,OT,Wellington,FL,6'6'',301,4,85,Miami,4,,,2014,Miami (FL),21,8,,
Chad Thomas,DE,Miami,FL,6'5'',240,6,84,Miami,6,,,2014,Miami (FL),,,,
Brad Kaaya,QB-PP,West Hills,CA,6'4'',213,5,83,Miami,5,,,2014,Miami (FL),,,,
Trevor Darling,OG,Miami,FL,6'5'',330,7,83,Miami,115,,,2014,Miami (FL),,,,
Trent Harris,DE,Winter Park,FL,6'2'',227,14,83,Miami,14,,,2014,Miami (FL),,,,
Anthony Moten,DT,Fort Lauderdale,FL,6'4'',292,13,83,Miami,13,,,2014,Miami (FL),,,,
Kiy Hester,ATH,Wayne,NJ,6'2'',195,23,83,Miami,23,,,2014,Miami (FL),20,7,,
Darrion Owens,OLB,Orange Park,FL,6'3'',220,18,82,Miami,18,,,2014,Miami (FL),,,,
Darrell Langham,WR,Lantana,FL,6'4'',190,35,82,Miami,35,,,2014,Miami (FL),,,,
Braxton Berrios,WR,Raleigh,NC,5'9'',181,43,81,Miami,43,,,2014,Miami (FL),139,12,,
Trayone Gray,WR,Miami,FL,6'2'',197,54,81,Miami,54,,,2014,Miami (FL),168,59,,
Nick Linder,OC,Fort Lauderdale,FL,6'3'',282,9,78,Miami,9,,,2014,Miami (FL),260,99,,
Tyre Brady,WR,Homestead,FL,6'3'',193,81,78,Miami,81,,,2014,Miami (FL),263,102,,
Calvin Heurtelou,DT (JC),Spring Valley,NY,6'3'',305,13,78,Miami,42,,,2014,Miami (FL),,,,
Christopher Herndon,TE-H,Norcross,GA,6'4'',231,17,77,Miami,17,,,2014,Miami (FL),,,,
Demetrius Jackson,DE,Miami,FL,6'4'',225,69,77,Miami,69,,,2014,Miami (FL),345,120,,
Michael Wyche,DT (JC),Monterey Park,CA,6'4'',325,21,76,Miami,21,,,2014,Miami (FL),,,,
David Njoku,WR,Cedar Grove,NJ,6'4'',215,120,76,Miami,120,,,2014,Miami (FL),,,,
Ryan Mayes,S,Miami,FL,6'1'',183,69,76,Miami,,,,2014,Miami (FL),,,,
Marques Gayot,S,Lake Worth,FL,6'1'',203,74,76,Miami,415,,,2014,Miami (FL),,,,
Michael Smith,OLB,Miami,FL,6'2'',210,92,75,Miami,,,,2014,Miami (FL),,,,
Malik Rosier,QB-PP,Mobile,AL,6'1'',197,45,75,Miami,45,,,2014,Miami (FL),463,35,,
Terry McCray,OLB,Pompano Beach,FL,6'3'',205,139,73,Miami,,,,2014,Miami (FL),,,,
Juwon Young,OLB,Albany,GA,6'2'',230,156,70,Miami,156,,,2014,Miami (FL),766,162,,
Courtel Jenkins,DT,Jersey City,NJ,6'2'',318,133,69,Miami,133,,,2014,Miami (FL),,,,
Tyree St. Louis,OT,Bradenton,FL,6'5'',299,,83,Miami,9,,,2015,Miami (FL),53,20,,
Mark Walton,RB,Miami,FL,5'10'',185,,83,Miami,11,,,2015,Miami (FL),59,22,,
Kendrick Norton,OG,Jacksonville,FL,6'2'',300,,82,Miami,11,,,2015,Miami (FL),,,,
Jaquan Johnson,ATH,Miami,FL,5'10'',182,,82,Miami,16,,,2015,Miami (FL),,,,
Jack Allison,QB-PP,Palmetto,FL,6'5'',195,85.0,Miami,,6,36,12,2016,Miami (FL),,,,
Sam Bruce,WR,Fort Lauderdale,FL,5'8'',183,84.0,Miami,,8,40,15,2016,Miami (FL),,,,
Dionte Mullins,WR,Miami,FL,5'11'',179,83.0,Miami,,11,49,19,2016,Miami (FL),,,,
Shaquille Quarterman,ILB,Orange Park,FL,6'1'',239,83.0,Miami,,3,,,2016,Miami (FL),,,,
Patrick Bethel,DE,Vero Beach,FL,6'3'',245,83.0,Miami,,16,,,2016,Miami (FL),,,,
