Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University  , Reg_rank, State_rank,University,School
Corey Moore,S,Griffin,GA,6'1'',192.0,80.0,Griffin High School,,15,,,2011,Georgia,,102,22,,
Watts Dantzler,OT,Dalton,GA,6'7'',314.0,79.0,Dalton High School,,12,,,2011,Georgia,,119,25,,
Xzavier Ward,OT,Moultrie,GA,6'6'',260.0,79.0,Colquitt County High School,,17,,,2011,Georgia,,,,,
Chris Mayes,DT,Griffin,GA,6'4'',290.0,79.0,Spalding High School,,23,,,2011,Georgia,,,,,
Ramik Wilson,ILB,Tampa,FL,6'3'',225.0,79.0,Thomas Jefferson High School,,11,,,2011,Georgia,,129, None,,
David Andrews,OC,Norcross,GA,6'2'',275.0,79.0,Wesleyan School,,6,,,2011,Georgia,,,,,
Chris Sanders,S,Tucker,GA,6'0'',185.0,78.0,Tucker High School,,24,,,2011,Georgia,,169,38,,
Zach DeBell,OT,Tarpon Springs,FL,6'6'',270.0,78.0,Tarpon Springs High School,,30,,,2011,Georgia,,187, NR,,
Nick Marshall,QB,Rochelle,GA,6'2'',185.0,78.0,Wilcox County High School,,31,,,2011,Georgia,,243,55,,
Sanford Seay,WR,Leesburg,GA,6'2'',195.0,78.0,Lee County High School,,75,,,2011,Georgia,,257,58,,
Quintavious Harrow,OLB,Columbus,GA,5'11'',190.0,78.0,Carver High School,,,,,2011,Georgia,, None, None,,
Nathan Theus,OC,Jacksonville,FL,6'3'',255.0,77.0,The Bolles School,,14,,,2011,Georgia,,,,,
Hunter Long,OC,Eads,TN,6'3'',295.0,74.0,Briarcrest Christian High School,,18,,,2011,Georgia,,608,27,,
Johnathan Jenkins,DT,Meriden,CT,6'4'',340.0,,Mississippi Gulf Coast Comm College,,,,,2011,Georgia,, None, None,,
Keith Marshall,RB,Raleigh,NC,5'11'',190,,85.0,,2,,,2012,Georgia,,1,1,Georgia,
Josh Harvey-Clemons,OLB,Valdosta,GA,6'4'',210,,83.0,,1,,,2012,Georgia,,,,Georgia,
John Theus,OT,Jacksonville,FL,6'6'',295,,83.0,,5,,,2012,Georgia,,,,Georgia,
Jonathan Taylor,DT,Millen,GA,6'4'',315,,82.0,,6,,,2012,Georgia,,,,Georgia,
Jordan Jenkins,DE,Hamilton,GA,6'3'',245,,81.0,,8,,,2012,Georgia,,32,7,Georgia,
John Atkins,DT,Thomson,GA,6'3'',305,,80.0,,11,,,2012,Georgia,,55,12,Georgia,
Todd Gurley,ATH,Tarboro,NC,6'0'',205,,80.0,,22,,,2012,Georgia,,92,10,Georgia,
Ty Smith,TE,Moultrie,GA,6'3'',225,,79.0,,10,,,2012,Georgia,,113,23,Georgia,
