Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,State_rank ,State_rank  
Rick D'Abreu,DE,Chester,VA,Thomas Dale High School,6'2'',,East Carolina,,,,2019,East Carolina,240,,,,
Zech Byrd,TE-Y (JC),Millbrook,AL,Garden City Community College,6'6'',,East Carolina,, None, None,2019,East Carolina,260,,,,
Robert Mervin,OG (JC),Hutchinson,KS,Hutchinson Community College,6'3'',,East Carolina,,,,2019,East Carolina,320,,,,
Mason Garcia,QB-PP,Myrtle Beach,SC,6'4'',200,East Carolina,,33,,,2020,East Carolina,77,316,9,,
Teylor Jackson,S,Washington,DC,Woodrow Wilson High School,6'0'',75,East Carolina,,,,2020,East Carolina,210,,,,
Sean Tucker,CB,Washington,DC,Howard D. Woodson High School,5'11'',75,East Carolina,91,,,2020,East Carolina,165,,,,
Shane Calhoun,TE-H,Saint John's,FL,Creekside High School,6'2'',75,East Carolina,24,,,2020,East Carolina,230,,,,
Taji Hudson,QB-DT,Cedartown,GA,Cedartown High School,6'3'',74,East Carolina,31,,,2020,East Carolina,185,,,,
Xavier McIver,DT,Cheraw,SC,Cheraw High School,6'1'',74,East Carolina,609,,,2020,East Carolina,280,,,,
Suirad Ware,DT,Highland Springs,VA,Highland Springs High School,6'0'',74,East Carolina,91,,,2020,East Carolina,280,177,30,,
Isaiah Foote,OG,Prince Frederick,MD,Calvert High School,6'4'',74,East Carolina,100,,,2020,East Carolina,285,,,,
Eric Doctor,S,Orlando,FL,Edgewater High School,6'0'',74,East Carolina,99,,,2020,East Carolina,200,,,,
Henry Garrison,DE,Myrtle Beach,SC,Carolina Forest Education Center,6'5'',74,East Carolina,159,,,2020,East Carolina,265,668,30,,
Luke Larsen,K,Victoria,AUS,6'3'',240,East Carolina,,38,,,2020,East Carolina,74,15,7,,
Elijah Robinson,DE (JC),Wilmington,NC,Louisburg Community College,6'4'',73,East Carolina,24,,,2020,East Carolina,260,,,,
J'Vian McCray,DT,Shallotte,NC,West Brunswick High School,6'2'',73,East Carolina,13,,,2020,East Carolina,285,710,49,,
Jaquaez Powell,OC,Pinetops,NC,Southwest Edgecombe High School,6'4'',73,East Carolina,133,,,2020,East Carolina,300,718,50,,
C.J. Crump,CB,Greensboro,NC,Page High School,6'0'',73,East Carolina,259,,,2020,East Carolina,170,,,,
Tyler Savage,WR,Lorton,VA,John Champe High School,6'2'',73,East Carolina,143,,,2020,East Carolina,185,199,24,,
