Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Chris Pogi,ATH,Warr Acres,OK,6'2'',215,0,New Mexico,,,,,2015,New Mexico,,,
Alex Hart,OLB,Prior Lake,MN,6'2'',220,0,New Mexico,,,,,2015,New Mexico,,,
Izrael Castellanos,OT,Mission Viejo,CA,6'4'',278,0,New Mexico,,NR,,,2015,New Mexico,,,
Austin Apodaca,QB-DT,Longmont,CO,6'2'',195,0,New Mexico,,,,,2015,New Mexico,,,
Austin Ocasio,OLB,Harmony,FL,6'1'',220,0,New Mexico,,,,,2015,New Mexico, None, None,
Tevita Fonua,OG,Oakland,CA,6'3'',310,0,New Mexico,,NR,,,2015,New Mexico,,,
Daryl Chestnut,RB,Miami,FL,5'9'',195,0,New Mexico,,,,,2015,New Mexico, NR, NR,
Richard McQuarley,RB,Meridian,MS,5'10'',190,0,New Mexico,,,,,2015,New Mexico,,,
Chris Lewis,DE,Riverside,CA,6'4'',270,0,New Mexico,,,,,2015,New Mexico, None, None,
Delane Hart,WR,Van Nuys,CA,6'3'',215,0,New Mexico,,,,,2015,New Mexico, None, None,
Marquez Mackey,CB,Gulfport,FL,5'9'',164,0,New Mexico,,NR,,,2015,New Mexico, NR, NR,
Ewing Simmons,DT,Stockton,CA,6'2'',265,0,New Mexico,,,,,2015,New Mexico,,,
Kentrail Moran,RB,O'Fallon,IL,5'9'',190,78.0,New Mexico,,,,,2016,New Mexico, None, None,
Daevon Vigilant,RB,Downey,CA,5'9'',180,77.0,New Mexico,,76,,,2016,New Mexico,109,76,
Teton Saltes,DE,Albuquerque,NM,6'5'',235,72.0,New Mexico,,137,,,2016,New Mexico,,,
Patrick Peek,S,Aledo,TX,5'10'',180,72.0,New Mexico,,113,,,2016,New Mexico,,,
Jay Griffin,WR,Huntsville,TX,5'10'',165,71.0,New Mexico,,188,,,2016,New Mexico,264,205,
Gabe Ortega,ATH,Rio Rancho,NM,6'1'',190,71.0,New Mexico,,117,,,2016,New Mexico,,,
Kameron Miller,QB-DT,Las Cruces,NM,6'1'',190,70.0,New Mexico,,51,,,2016,New Mexico,238,4,
Nahjee Flowers,DE,Los Angeles,CA,6'3'',250,,New Mexico,,,,,2016,New Mexico, None, None,
Tevaka Tuioti,QB-DT,La Mirada,CA,6'1'',169,,New Mexico,,,,,2016,New Mexico, None, None,
Emmanuel Joseph,DE,Los Angeles,CA,6'4'',232,,New Mexico,,,,,2016,New Mexico, None, None,
Anietie Etuk,DT,Dickinson,TX,6'1'',246,,New Mexico,,NR,,,2016,New Mexico,,,
Jonathan Brys,TE-Y,Jackson,MI,6'6'',243,,New Mexico,,,,,2016,New Mexico, None, None,
Rhashaun Epting,ATH,Hillside,IL,6'3'',210,,New Mexico,,NR,,,2016,New Mexico, NR, NR,
David Swaby,OT,Los Angeles,CA,6'9'',285,,New Mexico,,,,,2016,New Mexico, None, None,
Marcus Williams,WR,Rio Rancho,NM,6'4'',200,,New Mexico,,NR,,,2016,New Mexico, NR, NR,
Corey Hightower,CB,Huntsville,TX,5'11'',175,,New Mexico,,,,,2016,New Mexico, None, None,
Kameron Smith,OT,Tacoma,WA,6'7'',310,,New Mexico,,,,,2016,New Mexico, None, None,
Stanley Barnwell Jr.,CB (JC),Miami,FL,6'0'',190,,New Mexico,,,,,2016,New Mexico,,,
Blaise Fountain,OC (JC),El Dorado,KS,6'2'',284,,New Mexico,,NR,,,2016,New Mexico, NR, NR,
Ray Baylor III,OG (JC),Missouri City,TX,6'4'',305,,New Mexico,,,,,2016,New Mexico, NR, NR,
Avery Jordan,OT (JC),Pearland,TX,6'6'',285,,New Mexico,,,,,2016,New Mexico,,,
Emmanuel Harris,WR (JC),Dallas,TX,5'10'',195,,New Mexico,,,,,2016,New Mexico,,,
Corey Bojorquez,K (JC),Bellflower,CA,6'0'',227,,New Mexico,,,,,2016,New Mexico,,,
Sheriron Jones,QB-DT,Moreno Valley,CA,6'2'',210,79.0,New Mexico,,3,,,2018,New Mexico, None, None,
Lawrence Johnson Jr.,RB,Waunakee,WI,5'9'',204,,New Mexico,,,,,2018,New Mexico,,,
Dylan Horton,S,Frisco,TX,6'3'',200,,New Mexico,,NR,,,2018,New Mexico,,,
John Ruffin,S,Beaumont,TX,5'11'',185,,New Mexico,,,,,2018,New Mexico,,,
Trae Hall,QB-DT,Henderson,TX,6'2'',185,,New Mexico,,NR,,,2018,New Mexico, NR, NR,
Blake Fehrmann,DE,Brookfield,WI,6'3'',221,,New Mexico,,,,,2018,New Mexico,,,
Cedric Patterson,WR,Crosby,TX,5'11'',175,,New Mexico,,,,,2018,New Mexico, None, None,
Donte Martin,CB,Oxnard,CA,5'10'',170,,New Mexico,,,,,2018,New Mexico, NR, NR,
Stephen Ruiz,K,Naperville,IL,6'4'',235,,New Mexico,,,,,2018,New Mexico,,,
Tre Bland,OG,Ontario,CA,6'3'',285,,New Mexico,,,,,2018,New Mexico,,,
David Zavala,OG,Norwalk,CA,6'3'',290,,New Mexico,,,,,2018,New Mexico,,,
Jarred Sylvester,OG,Dodge City,KS,6'3'',300,,New Mexico,,NR,,,2018,New Mexico,,,
Ahmari Davis,RB,Oakland,CA,5'10'',182,,New Mexico,,NR,,,2018,New Mexico, NR, NR,
Tyson Dyer,K,Queensland,,AUS,6'2'',198.0,,New Mexico,,,,2018,New Mexico,,,
A.J. Greeley,S,Fresno,CA,5'9'',216,,New Mexico,,,,,2018,New Mexico, NR, NR,
Patrick Peek,S,Fort Worth,TX,5'10'',199,,New Mexico,,,,,2018,New Mexico,,,
Trent Sellers,DE,Fayetteville,GA,6'4'',265,,New Mexico,,,,,2018,New Mexico,,,
Erin Austin,DT,Vallejo,CA,6'2'',278,,New Mexico,,,,,2018,New Mexico, None, None,
Jeffrey Jones Jr.,TE-H,Saint Louis,MO,6'4'',220,,New Mexico,,NR,,,2018,New Mexico,NR,NR,
Dejohn Rogers,CB,Paramus,NJ,5'9'',161,,New Mexico,,,,,2018,New Mexico, None, None,
Kyle Stapley,OG,Morgan,UT,6'3'',300,,New Mexico,,NR,,,2018,New Mexico,,,
Alexander Vainikolo,ILB,Kihei,HI,6'0'',240,,New Mexico,,,,,2018,New Mexico,,,
Ahina Aitogi,OT,Kailua-Kona,HI,6'6'',350,74,New Mexico,,21,,,2019,New Mexico, None, None,
Cade Briggs,OG,Las Vegas,NV,6'3'',283,72,New Mexico,,98,,,2019,New Mexico,,,
Marquae Kirkendoll,S,Chicago,IL,6'1'',170,,New Mexico,,,,,2019,New Mexico,,,
Antonio Hunt,ATH,Lancaster,CA,5'11'',165,,New Mexico,,,,,2019,New Mexico,,,
Chad Alexander,RB,New Orleans,LA,5'6'',153,,New Mexico,,,,,2019,New Mexico,,,
Jeremiah Webb,CB,Chicago,IL,5'11'',180,,New Mexico,,,,,2019,New Mexico,,,
Aiden Kneller,ATH,Englewood,CO,6'0'',205,,New Mexico,,NR,,,2019,New Mexico,,,
Tye Moore,ATH,Las Vegas,NV,5'7'',150,,New Mexico,,,,,2019,New Mexico,,,
Omar Darame,DE,San Antonio,TX,6'3'',238,,New Mexico,,,,,2019,New Mexico, None, None,
Jacobi Hearn,ILB,Jackson,MS,5'11'',237,,New Mexico,,,,,2019,New Mexico,,,
Eric Cuffee,CB,Waco,TX,5'11'',190,,New Mexico,,NR,,,2019,New Mexico, NR, NR,
Shaddrick Lowery Jr.,S,Plantation,FL,5'10'',185,,New Mexico,,NR,,,2019,New Mexico, NR, NR,
Kyle Jarvis,TE, Antioch,CA, 6'3'',244, None, New Mexico,,,,,2019,New Mexico,,,
Jordan Kress, WR, Loveland,CO, 6'0'',197, None, New Mexico,,,,,2019,New Mexico,,,
Brandt Hughes, QB-PP, Chico,CA, 6'2'',226, None, New Mexico,,,,,2019,New Mexico, None, None,
Jacob Jankoviak, OG, Corona,CA, 6'2'',285, None, New Mexico,,NR,,,2019,New Mexico,,,
James Lewis, ILB, Tulsa,OK, 5'11'',215, None, New Mexico,,,,,2019,New Mexico, None, None,
Jerrick Reed IIVideo, CB, Olive Branch,MS, 5'10'',188, None, New Mexico,,,,,2019,New Mexico, None, None,
Reco Hannah, OLB, Wedowee,AL, 6'2'',225, None, New Mexico,,,,,2019,New Mexico,,,
Devin Sanders,ILB,San Diego,CA,6'2'',235,,New Mexico,,,,,2019,New Mexico, None, None,
Joey Noble, DE, Los Alamitos,CA,6'4'',250,,New Mexico,,,,,2019,New Mexico, None, None,
Austin Cook,OG,El Dorado,KS,6'4'',315,,New Mexico,,,,,2019,New Mexico, None, None,
Justice Spates,OT,Santa Clarita,CA,6'4'',270,,New Mexico,,,,,2019,New Mexico,,,
Letayveon Beaton,OT,Saint Petersburg,FL,6'4'',271,,New Mexico,,,,,2019,New Mexico, None, None,
Ben Gansallo,DT,Missouri City,TX,6'2'',291,,New Mexico,,,,,2019,New Mexico, NR, NR,
Dion Hunter,CB,Lancaster,CA,5'8'',152,,New Mexico,,,,,2019,New Mexico,,,
Emmanuel Logan-Green,WR,Fort Lauderdale,FL,5'8'',160,,New Mexico,,,,,2019,New Mexico, None, None,
Elmer Pauni,DT,West Valley City,UT,6'3'',285,,New Mexico,,,,,2019,New Mexico,,,
Nathaniel Jones,RB,Bellflower,CA,5'11'',204,80.0,New Mexico,,25,,,2020,New Mexico,47,25,
Leke Asenuga,OC,Fort Bend,TX,6'2'',275,74.0,New Mexico,,11,,,2020,New Mexico,,,
Gabe Stonewall,WR,El Paso,TX,6'2'',175,73.0,New Mexico,,244,,,2020,New Mexico,300,222,
Jace Taylor,WR,Lake Havasu,AZ,6'4'',210,72.0,New Mexico,,292,,,2020,New Mexico,,,
O.J. Bartley,DT,Fresno,CA,6'2'',270,72.0,New Mexico,,129,,,2020,New Mexico,308,171,
Conner Kinslow,TE,H,Katy,TX,6'5'',230.0,71,New Mexico,44,,,2020,New Mexico,372,279,
Quinn Potts,OLB,Compton,CA,5'11'',195,71.0,New Mexico,,169,,,2020,New Mexico,330,185,
