Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,Grade  
Devante Davis,WR,Galena Park,TX,6'3'',190,,UNLV,,,,,2011,UNLV,,,,,
Brandon Baker,S,Lancaster,TX,6'2'',180,,UNLV,,,,,2011,UNLV,,,,,
Nick Gstrein,TE,Irvine,CA,6'4'',260,,UNLV,,109,,,2011,UNLV,,,,,
Fred Wilson,CB,Bakersfield,CA,5'10'',165,,UNLV,,128,,,2011,UNLV,,,,,
Nick White,OT,Gilbert,AZ,6'5'',265,,UNLV,,216,,,2011,UNLV,,,,,
Andrew Oberg,OT,Islip,NY,6'7'',260,,UNLV,,,,,2011,UNLV,,,,,
Connor Afoa,RB,Henderson,NV,6'0'',219,,UNLV,,246,,,2011,UNLV,,,,,
David Green,DE,Wasilla,AK,6'4'',245,,UNLV,,238,,,2011,UNLV,,,,,
Kenny Keys,,San Diego,CA,6'4'',190,,UNLV,,,,,2011,UNLV,,,,,
Sonny Sanitoa,DE,Pago Pago,SP,6'4'',235,,UNLV,,238,,,2011,UNLV,,,,,
Princeton Jackson,OLB,Houston,TX,6'1'',220,,UNLV,,,,,2011,UNLV,,,,,
Sean Reilly,QB,Trabuco Hills,CA,6'4'',215,,UNLV,,,,,2011,UNLV,,,,,
Eric Johnson,ATH,Green Cove Springs,FL,5'8'',180,,UNLV,,NR,NR,NR,2011,UNLV,,,,,
Chase Lansford,K,Yorba Linda,CA,6'2'',190,,UNLV,,NR,NR,NR,2011,UNLV,,,,,
Kenneth Spigner,CB,Miami,FL,5'11'',190,,UNLV,,,,,2011,UNLV,,,,,
Allen Carroll,OG,Oakland,CA,6'4'',300,,UNLV,,,,,2011,UNLV,,,,,
Louvan Green,DT,Huntington Beach,CA,6'2'',295,,UNLV,,,,,2011,UNLV,,,,,
Trent Allmang-Wilder,DT,Huntington Beach,CA,6'7'',280,,UNLV,,,,,2011,UNLV,,,,,
Jay'Onn Myles,CB,Palmdale,CA,5'8'',175,,77.0,Pierce College,,,,2015,UNLV,, None, None,,
